ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.06,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.76,0.05,0.13,0.07,0.01,0.21,0.02,0.0,1.0,0.1,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.76,0.05,0.14,0.14,0.01,0.42,0.02,0.0,1.0,0.21,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.76,0.05,0.11,0.69,0.0,0.56,0.02,0.03,0.01,0.3,0.01,0.99,0.01,0.98,0.02,0.41,0.57,0.77,0.2,0.03,0.57,0.33,0.2
0.75,0.1,0.08,0.1,0.07,0.1,0.22,0.0,0.06,0.05,0.14,0.94,0.06,0.77,0.22,0.32,0.67,0.76,0.22,0.03,0.67,0.28,0.22
0.68,0.19,0.01,0.05,0.29,0.06,0.78,0.0,0.39,0.03,0.58,0.61,0.39,0.18,0.78,0.21,0.74,0.72,0.27,0.07,0.74,0.11,0.27
0.64,0.28,0.04,0.16,0.33,0.19,0.79,0.03,0.6,0.11,0.7,0.39,0.6,0.04,0.79,0.19,0.68,0.73,0.26,0.2,0.68,0.03,0.26
0.67,0.41,0.19,0.39,0.24,0.41,0.57,0.13,0.51,0.27,0.54,0.45,0.51,0.05,0.57,0.23,0.55,0.78,0.22,0.35,0.55,0.04,0.22
0.75,0.55,0.39,0.83,0.05,0.75,0.21,0.46,0.18,0.6,0.2,0.79,0.18,0.46,0.21,0.35,0.42,0.86,0.14,0.45,0.42,0.18,0.14
0.81,0.61,0.49,0.21,0.2,0.3,0.48,0.21,0.14,0.26,0.31,0.85,0.14,0.4,0.48,0.61,0.25,0.93,0.06,0.6,0.25,0.59,0.06
0.81,0.62,0.49,0.02,0.27,0.05,0.69,0.0,0.21,0.03,0.45,0.79,0.21,0.28,0.69,0.76,0.2,0.96,0.03,0.51,0.2,0.76,0.03
0.82,0.6,0.49,0.01,0.24,0.03,0.65,0.0,1.0,0.01,0.82,0.0,1.0,0.34,0.65,0.0,1.0,0.94,0.05,0.0,1.0,0.67,0.05
0.82,0.55,0.46,0.01,0.18,0.03,0.5,0.0,1.0,0.01,0.75,0.0,1.0,0.49,0.5,0.0,1.0,0.9,0.09,0.0,1.0,0.53,0.09
0.8,0.39,0.38,0.02,0.1,0.05,0.28,0.0,1.0,0.03,0.64,0.0,1.0,0.72,0.28,0.0,1.0,0.84,0.14,0.0,1.0,0.42,0.14
0.79,0.3,0.33,0.02,0.07,0.07,0.19,0.0,1.0,0.04,0.59,0.0,1.0,0.8,0.19,0.0,1.0,0.82,0.16,0.0,1.0,0.39,0.16
0.8,0.31,0.34,0.02,0.07,0.07,0.21,0.0,1.0,0.04,0.6,0.0,1.0,0.79,0.21,0.0,1.0,0.82,0.16,0.0,1.0,0.39,0.16
0.79,0.28,0.32,0.05,0.06,0.14,0.16,0.02,0.01,0.08,0.09,0.99,0.01,0.83,0.16,0.95,0.05,0.81,0.17,0.69,0.05,0.38,0.17
0.8,0.31,0.34,0.29,0.05,0.7,0.06,0.4,0.01,0.55,0.03,0.99,0.01,0.93,0.06,0.84,0.13,0.81,0.17,0.53,0.13,0.34,0.17
0.8,0.39,0.37,0.57,0.04,0.94,0.02,0.88,0.0,0.91,0.01,1.0,0.0,0.98,0.02,0.66,0.28,0.81,0.17,0.37,0.28,0.31,0.17
0.81,0.48,0.41,0.55,0.06,0.94,0.02,0.94,0.0,0.94,0.01,1.0,0.0,0.97,0.02,0.61,0.3,0.83,0.16,0.42,0.3,0.32,0.16
0.82,0.57,0.47,0.43,0.1,0.71,0.14,0.59,0.03,0.65,0.09,0.96,0.03,0.78,0.14,0.63,0.27,0.87,0.12,0.5,0.27,0.37,0.12
0.82,0.61,0.5,0.35,0.14,0.57,0.25,0.4,0.07,0.48,0.16,0.92,0.07,0.61,0.25,0.66,0.24,0.9,0.1,0.57,0.24,0.44,0.1
0.83,0.61,0.5,0.29,0.15,0.5,0.29,0.32,0.08,0.41,0.18,0.92,0.08,0.58,0.29,0.7,0.21,0.9,0.09,0.59,0.21,0.46,0.09
0.83,0.56,0.47,0.34,0.11,0.57,0.21,0.47,0.04,0.52,0.12,0.96,0.04,0.71,0.21,0.65,0.26,0.87,0.12,0.48,0.26,0.4,0.12
0.81,0.43,0.41,0.42,0.06,0.77,0.07,0.81,0.01,0.79,0.04,0.99,0.01,0.91,0.07,0.66,0.28,0.83,0.16,0.37,0.28,0.34,0.16
