ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.1,0.14,0.02,0.03,0.0,1.0,0.05,0.01,0.03,0.51,0.99,0.01,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.32,0.2
0.78,0.22,0.22,0.06,0.06,0.04,0.14,0.11,0.03,0.07,0.09,0.97,0.03,0.86,0.14,0.27,0.5,0.8,0.18,0.39,0.5,0.34,0.18
0.8,0.42,0.36,0.06,0.12,0.08,0.31,0.09,0.06,0.08,0.18,0.94,0.06,0.68,0.31,0.46,0.38,0.84,0.14,0.44,0.38,0.4,0.14
0.81,0.46,0.39,0.07,0.14,0.1,0.36,0.11,0.07,0.11,0.21,0.93,0.07,0.63,0.36,0.49,0.36,0.86,0.13,0.45,0.36,0.42,0.13
0.81,0.5,0.42,0.07,0.15,0.11,0.39,0.09,0.08,0.1,0.24,0.92,0.08,0.59,0.39,0.58,0.29,0.87,0.12,0.5,0.29,0.44,0.12
0.82,0.5,0.42,0.05,0.15,0.1,0.4,0.06,0.08,0.08,0.24,0.92,0.08,0.58,0.4,0.71,0.2,0.87,0.12,0.59,0.2,0.44,0.12
0.82,0.52,0.44,0.04,0.16,0.08,0.43,0.04,0.09,0.06,0.26,0.91,0.09,0.55,0.43,0.75,0.17,0.88,0.11,0.63,0.17,0.45,0.11
0.82,0.55,0.45,0.04,0.19,0.09,0.48,0.03,0.11,0.06,0.29,0.89,0.11,0.49,0.48,0.89,0.07,0.89,0.1,0.81,0.07,0.48,0.1
0.82,0.54,0.45,0.04,0.18,0.08,0.47,0.03,0.1,0.06,0.28,0.9,0.1,0.51,0.47,0.85,0.1,0.89,0.1,0.75,0.1,0.48,0.1
0.82,0.55,0.46,0.03,0.18,0.08,0.48,0.02,0.1,0.05,0.29,0.9,0.1,0.5,0.48,0.97,0.02,0.89,0.1,0.94,0.02,0.49,0.1
0.82,0.56,0.47,0.03,0.19,0.07,0.51,0.02,0.11,0.05,0.31,0.89,0.11,0.47,0.51,0.99,0.01,0.9,0.09,0.98,0.01,0.5,0.09
0.82,0.56,0.47,0.02,0.19,0.06,0.5,0.01,0.1,0.03,0.3,0.9,0.1,0.48,0.5,0.85,0.12,0.9,0.09,0.6,0.12,0.5,0.09
0.83,0.56,0.47,0.02,0.18,0.08,0.49,0.01,0.1,0.04,0.29,0.9,0.1,0.49,0.49,0.82,0.15,0.9,0.1,0.48,0.15,0.49,0.1
0.83,0.54,0.47,0.03,0.17,0.08,0.45,0.01,0.08,0.04,0.27,0.92,0.08,0.53,0.45,0.84,0.14,0.89,0.1,0.51,0.14,0.47,0.1
0.83,0.56,0.47,0.04,0.17,0.14,0.45,0.01,0.09,0.08,0.27,0.91,0.09,0.52,0.45,0.84,0.14,0.89,0.1,0.53,0.14,0.47,0.1
0.83,0.58,0.49,0.05,0.18,0.15,0.47,0.02,0.1,0.08,0.28,0.9,0.1,0.49,0.47,0.84,0.13,0.9,0.09,0.56,0.13,0.49,0.09
0.83,0.58,0.49,0.06,0.19,0.17,0.47,0.03,0.1,0.1,0.28,0.9,0.1,0.49,0.47,0.94,0.05,0.9,0.09,0.85,0.05,0.49,0.09
0.83,0.6,0.5,0.08,0.19,0.22,0.45,0.04,0.11,0.13,0.28,0.89,0.11,0.48,0.45,0.94,0.05,0.9,0.09,0.85,0.05,0.49,0.09
0.83,0.59,0.5,0.09,0.18,0.24,0.43,0.05,0.11,0.14,0.27,0.89,0.11,0.5,0.43,0.94,0.04,0.9,0.09,0.86,0.04,0.48,0.09
0.83,0.61,0.51,0.1,0.19,0.27,0.44,0.05,0.12,0.16,0.28,0.88,0.12,0.48,0.44,0.94,0.04,0.91,0.09,0.86,0.04,0.49,0.09
0.83,0.61,0.51,0.11,0.19,0.31,0.41,0.06,0.11,0.18,0.26,0.89,0.11,0.49,0.41,0.93,0.05,0.9,0.09,0.83,0.05,0.48,0.09
0.83,0.6,0.51,0.12,0.18,0.34,0.38,0.06,0.1,0.2,0.24,0.9,0.1,0.52,0.38,0.92,0.06,0.9,0.09,0.81,0.06,0.46,0.09
0.83,0.6,0.51,0.13,0.18,0.36,0.37,0.08,0.1,0.22,0.23,0.9,0.1,0.53,0.37,0.96,0.03,0.9,0.1,0.92,0.03,0.45,0.1
0.83,0.58,0.5,0.14,0.16,0.38,0.33,0.09,0.08,0.23,0.21,0.91,0.08,0.59,0.33,0.99,0.0,0.88,0.11,0.99,0.0,0.42,0.11
0.83,0.6,0.51,0.15,0.17,0.4,0.34,0.09,0.1,0.24,0.22,0.9,0.1,0.56,0.34,0.99,0.01,0.89,0.1,0.98,0.01,0.44,0.1
0.84,0.6,0.51,0.17,0.16,0.46,0.3,0.1,0.09,0.28,0.2,0.91,0.09,0.59,0.3,0.96,0.03,0.89,0.1,0.89,0.03,0.42,0.1
0.83,0.59,0.5,0.18,0.15,0.48,0.27,0.11,0.08,0.29,0.18,0.92,0.08,0.63,0.27,0.98,0.01,0.88,0.11,0.95,0.01,0.4,0.11
0.84,0.59,0.5,0.18,0.15,0.5,0.26,0.11,0.08,0.3,0.17,0.92,0.08,0.64,0.26,0.99,0.01,0.88,0.11,0.96,0.01,0.39,0.11
0.84,0.6,0.51,0.17,0.16,0.48,0.29,0.11,0.08,0.29,0.18,0.91,0.08,0.61,0.29,0.98,0.01,0.88,0.11,0.95,0.01,0.41,0.11
0.84,0.61,0.52,0.18,0.16,0.5,0.28,0.11,0.09,0.3,0.18,0.91,0.09,0.61,0.28,0.96,0.03,0.89,0.11,0.91,0.03,0.4,0.11
0.84,0.6,0.51,0.18,0.15,0.5,0.28,0.11,0.08,0.3,0.18,0.91,0.08,0.62,0.28,0.98,0.02,0.88,0.11,0.94,0.02,0.4,0.11
0.84,0.62,0.53,0.19,0.16,0.54,0.27,0.1,0.1,0.32,0.18,0.9,0.1,0.6,0.27,0.94,0.04,0.89,0.1,0.85,0.04,0.4,0.1
0.84,0.61,0.52,0.22,0.15,0.6,0.23,0.12,0.09,0.36,0.16,0.91,0.09,0.66,0.23,0.96,0.03,0.88,0.11,0.89,0.03,0.38,0.11
0.84,0.6,0.52,0.23,0.14,0.66,0.18,0.14,0.07,0.4,0.12,0.92,0.07,0.72,0.18,0.96,0.03,0.87,0.12,0.9,0.03,0.35,0.12
0.84,0.62,0.53,0.21,0.16,0.61,0.23,0.11,0.1,0.36,0.17,0.9,0.1,0.65,0.23,0.93,0.05,0.89,0.11,0.83,0.05,0.38,0.11
0.84,0.62,0.53,0.22,0.16,0.61,0.23,0.12,0.09,0.36,0.16,0.91,0.09,0.65,0.23,0.94,0.05,0.89,0.11,0.84,0.05,0.38,0.11
0.84,0.61,0.52,0.24,0.14,0.68,0.18,0.14,0.08,0.41,0.13,0.92,0.08,0.72,0.18,0.96,0.03,0.88,0.12,0.89,0.03,0.35,0.12
0.84,0.61,0.52,0.24,0.14,0.67,0.18,0.14,0.08,0.41,0.13,0.92,0.08,0.71,0.18,0.96,0.03,0.88,0.12,0.89,0.03,0.35,0.12
0.84,0.61,0.52,0.24,0.14,0.67,0.18,0.14,0.08,0.41,0.13,0.92,0.08,0.71,0.18,0.96,0.03,0.88,0.12,0.89,0.03,0.35,0.12
0.84,0.6,0.52,0.24,0.14,0.68,0.17,0.14,0.07,0.41,0.12,0.92,0.07,0.73,0.17,0.96,0.03,0.87,0.12,0.89,0.03,0.35,0.12
0.84,0.61,0.53,0.26,0.14,0.71,0.16,0.16,0.08,0.43,0.12,0.92,0.08,0.74,0.16,0.98,0.02,0.88,0.12,0.94,0.02,0.34,0.12
0.84,0.61,0.52,0.28,0.13,0.76,0.13,0.18,0.07,0.47,0.1,0.93,0.07,0.79,0.13,1.0,0.0,0.87,0.12,0.99,0.0,0.33,0.12
0.84,0.61,0.52,0.28,0.13,0.76,0.13,0.18,0.07,0.47,0.1,0.93,0.07,0.79,0.13,0.99,0.01,0.87,0.12,0.97,0.01,0.33,0.12
0.84,0.6,0.52,0.28,0.12,0.78,0.11,0.18,0.06,0.48,0.08,0.94,0.06,0.82,0.11,0.99,0.01,0.86,0.13,0.96,0.01,0.32,0.13
0.84,0.61,0.53,0.27,0.13,0.77,0.12,0.17,0.07,0.47,0.1,0.93,0.07,0.79,0.12,0.98,0.01,0.87,0.12,0.95,0.01,0.33,0.12
0.84,0.6,0.52,0.27,0.12,0.78,0.11,0.17,0.06,0.48,0.08,0.94,0.06,0.81,0.11,0.97,0.02,0.86,0.13,0.91,0.02,0.32,0.13
0.84,0.6,0.53,0.28,0.13,0.78,0.11,0.18,0.06,0.48,0.08,0.94,0.06,0.81,0.11,0.99,0.01,0.86,0.13,0.95,0.01,0.32,0.13
0.84,0.59,0.52,0.3,0.11,0.85,0.07,0.21,0.05,0.53,0.06,0.95,0.05,0.87,0.07,0.99,0.01,0.86,0.14,0.98,0.01,0.3,0.14
0.84,0.59,0.52,0.29,0.12,0.82,0.09,0.2,0.06,0.51,0.07,0.94,0.06,0.85,0.09,1.0,0.0,0.86,0.13,1.0,0.0,0.31,0.13
0.84,0.58,0.51,0.3,0.11,0.84,0.08,0.21,0.05,0.53,0.07,0.95,0.05,0.87,0.08,0.99,0.01,0.85,0.14,0.97,0.01,0.31,0.14
