ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.07,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.77,0.18,0.21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.42,0.16
0.79,0.38,0.33,0.01,0.12,0.01,0.31,0.01,0.06,0.01,0.18,0.94,0.06,0.69,0.31,0.49,0.35,0.86,0.12,0.47,0.35,0.49,0.12
0.8,0.42,0.36,0.04,0.13,0.06,0.34,0.04,0.07,0.05,0.21,0.93,0.07,0.66,0.34,0.72,0.19,0.87,0.11,0.62,0.19,0.5,0.11
0.81,0.47,0.39,0.05,0.15,0.07,0.4,0.06,0.08,0.07,0.24,0.92,0.08,0.59,0.4,0.65,0.24,0.89,0.1,0.57,0.24,0.54,0.1
0.81,0.49,0.4,0.05,0.16,0.08,0.43,0.06,0.09,0.07,0.26,0.91,0.09,0.56,0.43,0.72,0.19,0.9,0.09,0.64,0.19,0.56,0.09
0.81,0.49,0.41,0.05,0.16,0.08,0.42,0.05,0.09,0.07,0.26,0.91,0.09,0.57,0.42,0.79,0.14,0.9,0.09,0.69,0.14,0.56,0.09
0.81,0.49,0.41,0.05,0.16,0.08,0.42,0.04,0.09,0.06,0.26,0.91,0.09,0.57,0.42,0.82,0.12,0.9,0.09,0.72,0.12,0.55,0.09
0.81,0.51,0.42,0.04,0.17,0.08,0.44,0.03,0.1,0.06,0.27,0.9,0.1,0.54,0.44,1.0,0.0,0.9,0.09,1.0,0.0,0.57,0.09
0.81,0.52,0.43,0.04,0.18,0.1,0.45,0.02,0.11,0.06,0.28,0.89,0.11,0.53,0.45,0.88,0.09,0.91,0.08,0.72,0.09,0.58,0.08
0.81,0.53,0.44,0.05,0.18,0.13,0.45,0.02,0.11,0.07,0.28,0.89,0.11,0.52,0.45,0.81,0.15,0.91,0.08,0.54,0.15,0.58,0.08
0.81,0.54,0.44,0.06,0.18,0.17,0.43,0.02,0.11,0.1,0.27,0.89,0.11,0.52,0.43,0.8,0.16,0.91,0.08,0.51,0.16,0.58,0.08
0.82,0.55,0.45,0.07,0.19,0.18,0.45,0.02,0.12,0.1,0.29,0.88,0.12,0.5,0.45,0.78,0.19,0.92,0.07,0.46,0.19,0.59,0.07
0.82,0.54,0.44,0.08,0.17,0.22,0.4,0.03,0.1,0.12,0.25,0.9,0.1,0.55,0.4,0.8,0.17,0.9,0.09,0.47,0.17,0.55,0.09
0.82,0.54,0.45,0.09,0.17,0.25,0.38,0.02,0.1,0.14,0.24,0.9,0.1,0.57,0.38,0.78,0.19,0.9,0.09,0.4,0.19,0.54,0.09
0.82,0.54,0.45,0.09,0.17,0.25,0.38,0.02,0.1,0.14,0.24,0.9,0.1,0.56,0.38,0.77,0.21,0.9,0.09,0.34,0.21,0.55,0.09
0.82,0.54,0.45,0.1,0.16,0.27,0.36,0.02,0.09,0.15,0.22,0.91,0.09,0.58,0.36,0.77,0.21,0.9,0.09,0.33,0.21,0.54,0.09
0.82,0.55,0.46,0.11,0.17,0.3,0.36,0.03,0.1,0.16,0.23,0.9,0.1,0.57,0.36,0.77,0.2,0.9,0.09,0.37,0.2,0.54,0.09
0.82,0.54,0.46,0.12,0.16,0.34,0.33,0.03,0.09,0.18,0.21,0.91,0.09,0.6,0.33,0.79,0.19,0.9,0.09,0.4,0.19,0.52,0.09
0.82,0.55,0.46,0.13,0.16,0.33,0.34,0.04,0.1,0.18,0.22,0.9,0.1,0.59,0.34,0.8,0.17,0.9,0.09,0.45,0.17,0.53,0.09
0.82,0.57,0.47,0.15,0.16,0.4,0.32,0.04,0.1,0.22,0.21,0.9,0.1,0.59,0.32,0.79,0.18,0.9,0.09,0.42,0.18,0.52,0.09
0.83,0.59,0.49,0.18,0.17,0.45,0.32,0.07,0.11,0.26,0.21,0.88,0.11,0.57,0.32,0.84,0.13,0.91,0.08,0.6,0.13,0.53,0.08
0.83,0.58,0.48,0.2,0.16,0.51,0.27,0.09,0.1,0.3,0.18,0.9,0.1,0.63,0.27,0.86,0.11,0.9,0.09,0.66,0.11,0.49,0.09
0.83,0.57,0.48,0.2,0.15,0.51,0.26,0.09,0.09,0.3,0.17,0.91,0.09,0.64,0.26,0.87,0.11,0.9,0.1,0.65,0.11,0.49,0.1
0.83,0.59,0.49,0.23,0.15,0.55,0.25,0.11,0.1,0.33,0.17,0.89,0.1,0.64,0.25,0.89,0.09,0.9,0.09,0.73,0.09,0.48,0.09
0.83,0.59,0.49,0.21,0.16,0.51,0.27,0.09,0.1,0.3,0.18,0.9,0.1,0.62,0.27,0.87,0.1,0.9,0.09,0.67,0.1,0.5,0.09
0.83,0.58,0.49,0.2,0.15,0.5,0.27,0.09,0.1,0.29,0.18,0.9,0.1,0.62,0.27,0.86,0.11,0.9,0.09,0.65,0.11,0.5,0.09
0.83,0.58,0.49,0.24,0.14,0.57,0.23,0.12,0.09,0.34,0.16,0.91,0.09,0.67,0.23,0.9,0.07,0.89,0.1,0.76,0.07,0.47,0.1
0.83,0.58,0.49,0.23,0.15,0.54,0.25,0.12,0.09,0.33,0.17,0.91,0.09,0.65,0.25,0.91,0.07,0.9,0.09,0.76,0.07,0.48,0.09
0.83,0.59,0.49,0.24,0.15,0.58,0.23,0.12,0.09,0.35,0.16,0.91,0.09,0.66,0.23,0.91,0.07,0.9,0.1,0.77,0.07,0.47,0.1
