ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.73,0.57,0.41,0.0,0.37,0.0,0.89,0.0,0.45,0.0,0.67,0.55,0.45,0.11,0.89,0.44,0.25,0.97,0.03,0.69,0.25,0.73,0.03
0.77,0.08,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.75,0.59,0.44,0.0,0.36,0.0,0.89,0.0,0.41,0.0,0.65,0.59,0.41,0.11,0.89,0.52,0.23,0.96,0.04,0.7,0.23,0.67,0.04
0.68,0.55,0.4,0.11,0.36,0.14,0.82,0.06,0.53,0.1,0.68,0.45,0.53,0.05,0.82,0.75,0.11,0.94,0.06,0.85,0.11,0.39,0.06
0.78,0.11,0.19,0.01,0.02,0.04,0.06,0.0,1.0,0.02,0.53,0.0,1.0,0.94,0.06,0.0,1.0,0.8,0.18,0.0,1.0,0.38,0.18
0.82,0.53,0.43,0.05,0.18,0.09,0.48,0.04,0.11,0.07,0.29,0.89,0.11,0.5,0.48,0.82,0.12,0.91,0.08,0.74,0.12,0.55,0.08
0.77,0.6,0.46,0.17,0.27,0.21,0.66,0.14,0.28,0.17,0.47,0.7,0.28,0.2,0.66,0.61,0.2,1.0,0.0,0.7,0.2,0.99,0.0
0.81,0.46,0.4,0.04,0.14,0.07,0.37,0.05,0.06,0.06,0.21,0.93,0.06,0.62,0.37,0.7,0.21,0.88,0.11,0.58,0.21,0.49,0.11
0.79,0.23,0.28,0.13,0.04,0.24,0.11,0.3,0.01,0.27,0.06,0.99,0.01,0.88,0.11,0.67,0.29,0.82,0.16,0.33,0.29,0.39,0.16
0.8,0.6,0.47,0.04,0.28,0.08,0.71,0.02,0.26,0.05,0.48,0.74,0.26,0.24,0.71,0.98,0.01,0.98,0.01,0.98,0.01,0.87,0.01
0.77,0.61,0.48,0.19,0.28,0.35,0.57,0.11,0.32,0.23,0.44,0.66,0.32,0.18,0.57,0.94,0.03,1.0,0.0,0.94,0.03,0.98,0.0
0.8,0.34,0.34,0.12,0.07,0.27,0.17,0.14,0.02,0.21,0.1,0.98,0.02,0.81,0.17,0.86,0.11,0.84,0.15,0.64,0.11,0.41,0.15
