ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.02,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.08,0.11,0.62,0.01,0.65,0.02,0.21,0.02,0.43,0.02,0.98,0.02,0.98,0.02,0.37,0.51,0.8,0.18,0.28,0.51,0.39,0.18
0.77,0.12,0.16,0.48,0.01,0.61,0.03,0.94,0.0,0.77,0.01,1.0,0.0,0.97,0.03,0.51,0.39,0.8,0.17,0.35,0.39,0.4,0.17
0.78,0.18,0.22,0.08,0.04,0.13,0.1,0.14,0.01,0.14,0.06,0.99,0.01,0.9,0.1,0.65,0.27,0.82,0.16,0.46,0.27,0.42,0.16
0.78,0.18,0.22,0.06,0.04,0.11,0.1,0.08,0.01,0.1,0.06,0.99,0.01,0.9,0.1,0.8,0.16,0.82,0.16,0.57,0.16,0.42,0.16
0.8,0.51,0.4,0.15,0.17,0.22,0.4,0.15,0.11,0.18,0.26,0.88,0.11,0.55,0.4,0.69,0.2,0.9,0.09,0.66,0.2,0.55,0.09
0.78,0.31,0.28,0.67,0.03,0.83,0.04,0.75,0.01,0.79,0.03,0.99,0.01,0.96,0.04,0.5,0.38,0.82,0.16,0.38,0.38,0.4,0.16
0.8,0.37,0.34,0.17,0.09,0.29,0.2,0.23,0.03,0.26,0.12,0.97,0.03,0.78,0.2,0.71,0.21,0.85,0.13,0.55,0.21,0.45,0.13
0.78,0.16,0.22,0.2,0.03,0.46,0.05,0.22,0.01,0.34,0.03,0.99,0.01,0.95,0.05,0.92,0.06,0.81,0.17,0.72,0.06,0.4,0.17
0.79,0.3,0.3,0.56,0.03,0.86,0.03,0.93,0.0,0.9,0.01,1.0,0.0,0.97,0.03,0.62,0.3,0.82,0.16,0.4,0.3,0.39,0.16
0.8,0.44,0.37,0.39,0.08,0.57,0.15,0.58,0.02,0.57,0.08,0.98,0.02,0.81,0.15,0.61,0.28,0.86,0.13,0.49,0.28,0.43,0.13
0.78,0.22,0.27,0.23,0.04,0.54,0.06,0.22,0.01,0.38,0.03,0.99,0.01,0.93,0.06,0.95,0.04,0.82,0.16,0.79,0.04,0.4,0.16
0.8,0.34,0.34,0.1,0.08,0.23,0.19,0.07,0.03,0.15,0.11,0.97,0.03,0.8,0.19,1.0,0.0,0.84,0.14,0.99,0.0,0.45,0.14
0.8,0.35,0.35,0.07,0.09,0.17,0.22,0.05,0.03,0.11,0.12,0.97,0.03,0.77,0.22,1.0,0.0,0.85,0.13,1.0,0.0,0.46,0.13
0.81,0.52,0.43,0.12,0.16,0.26,0.37,0.09,0.1,0.17,0.23,0.9,0.1,0.58,0.37,0.97,0.02,0.9,0.09,0.95,0.02,0.54,0.09
0.81,0.43,0.39,0.33,0.08,0.64,0.12,0.38,0.03,0.51,0.07,0.97,0.03,0.85,0.12,0.81,0.14,0.85,0.14,0.63,0.14,0.42,0.14
0.8,0.33,0.34,0.19,0.06,0.43,0.13,0.17,0.02,0.3,0.07,0.98,0.02,0.85,0.13,0.95,0.04,0.84,0.15,0.82,0.04,0.42,0.15
0.81,0.56,0.45,0.37,0.12,0.68,0.17,0.35,0.08,0.52,0.12,0.92,0.08,0.74,0.17,0.82,0.12,0.88,0.11,0.74,0.12,0.44,0.11
0.82,0.53,0.44,0.13,0.15,0.31,0.33,0.06,0.09,0.18,0.21,0.91,0.09,0.61,0.33,0.89,0.09,0.89,0.1,0.72,0.09,0.52,0.1
0.81,0.42,0.39,0.12,0.1,0.3,0.23,0.05,0.04,0.17,0.14,0.96,0.04,0.75,0.23,0.9,0.09,0.86,0.13,0.62,0.09,0.46,0.13
0.78,0.2,0.27,0.12,0.04,0.32,0.09,0.0,1.0,0.16,0.55,0.0,1.0,0.91,0.09,0.0,1.0,0.82,0.16,0.0,1.0,0.41,0.16
0.82,0.5,0.43,0.07,0.15,0.19,0.37,0.01,0.08,0.1,0.23,0.92,0.08,0.6,0.37,0.77,0.21,0.89,0.1,0.29,0.21,0.53,0.1
0.81,0.39,0.38,0.14,0.08,0.38,0.18,0.06,0.03,0.22,0.1,0.97,0.03,0.8,0.18,0.9,0.09,0.85,0.13,0.54,0.09,0.44,0.13
0.81,0.42,0.4,0.47,0.05,0.97,0.01,0.59,0.01,0.78,0.01,0.99,0.01,0.99,0.01,0.84,0.13,0.83,0.15,0.6,0.13,0.37,0.15
0.81,0.44,0.41,0.51,0.05,0.98,0.01,0.67,0.01,0.82,0.01,0.99,0.01,0.99,0.01,0.83,0.14,0.83,0.15,0.58,0.14,0.36,0.15
0.81,0.38,0.38,0.22,0.07,0.54,0.12,0.14,0.02,0.34,0.07,0.98,0.02,0.86,0.12,0.97,0.02,0.84,0.14,0.86,0.02,0.42,0.14
0.82,0.46,0.42,0.29,0.08,0.69,0.11,0.21,0.03,0.45,0.07,0.96,0.03,0.86,0.11,1.0,0.0,0.85,0.13,0.99,0.0,0.41,0.13
0.82,0.47,0.43,0.17,0.11,0.43,0.21,0.06,0.05,0.24,0.13,0.95,0.05,0.75,0.21,0.88,0.11,0.87,0.12,0.55,0.11,0.46,0.12
0.82,0.62,0.5,0.24,0.18,0.51,0.32,0.16,0.13,0.34,0.23,0.87,0.13,0.52,0.32,1.0,0.0,0.93,0.07,1.0,0.0,0.55,0.07
0.82,0.62,0.5,0.14,0.2,0.36,0.42,0.05,0.16,0.2,0.29,0.84,0.16,0.45,0.42,0.81,0.15,0.94,0.06,0.58,0.15,0.62,0.06
0.82,0.45,0.42,0.29,0.08,0.69,0.1,0.19,0.03,0.44,0.07,0.97,0.03,0.87,0.1,0.98,0.02,0.85,0.14,0.91,0.02,0.41,0.14
0.82,0.47,0.43,0.26,0.09,0.65,0.13,0.15,0.04,0.4,0.09,0.96,0.04,0.83,0.13,0.95,0.04,0.86,0.13,0.8,0.04,0.42,0.13
0.83,0.58,0.49,0.17,0.16,0.43,0.31,0.07,0.1,0.25,0.21,0.9,0.1,0.6,0.31,0.86,0.12,0.9,0.09,0.62,0.12,0.52,0.09
0.82,0.45,0.42,0.46,0.06,0.97,0.01,0.53,0.01,0.75,0.01,0.99,0.01,0.99,0.01,0.89,0.09,0.84,0.15,0.65,0.09,0.37,0.15
0.83,0.59,0.49,0.29,0.14,0.62,0.21,0.2,0.09,0.41,0.15,0.91,0.09,0.68,0.21,0.99,0.0,0.9,0.1,0.99,0.0,0.46,0.1
0.83,0.59,0.49,0.27,0.14,0.6,0.21,0.17,0.08,0.39,0.14,0.91,0.08,0.68,0.21,0.97,0.02,0.89,0.1,0.94,0.02,0.46,0.1
0.82,0.49,0.44,0.51,0.06,0.98,0.01,0.61,0.02,0.79,0.01,0.98,0.02,0.99,0.01,0.83,0.13,0.84,0.14,0.62,0.13,0.36,0.14
0.81,0.41,0.39,0.82,0.01,0.65,0.14,0.64,0.01,0.65,0.08,0.99,0.01,0.81,0.14,0.75,0.22,0.82,0.17,0.41,0.22,0.31,0.17
0.81,0.37,0.38,0.75,0.02,0.65,0.12,0.69,0.01,0.67,0.07,0.99,0.01,0.85,0.12,0.81,0.17,0.81,0.17,0.4,0.17,0.33,0.17
0.81,0.35,0.38,0.59,0.03,0.77,0.06,0.92,0.0,0.84,0.03,1.0,0.0,0.92,0.06,0.89,0.1,0.82,0.17,0.49,0.1,0.35,0.17
0.81,0.42,0.41,0.56,0.04,0.83,0.06,0.71,0.01,0.77,0.03,0.99,0.01,0.92,0.06,0.88,0.1,0.83,0.16,0.6,0.1,0.34,0.16
0.81,0.4,0.4,0.7,0.02,0.68,0.11,0.91,0.0,0.8,0.06,1.0,0.0,0.85,0.11,0.84,0.14,0.82,0.17,0.49,0.14,0.32,0.17
0.82,0.48,0.44,0.46,0.06,0.99,0.0,0.47,0.02,0.73,0.01,0.98,0.02,1.0,0.0,0.91,0.07,0.84,0.15,0.72,0.07,0.36,0.15
0.81,0.43,0.38,0.91,0.01,0.54,0.22,0.37,0.03,0.46,0.12,0.97,0.03,0.7,0.22,0.65,0.3,0.81,0.18,0.33,0.3,0.28,0.18
