ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.07,0.09,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.35,0.19
0.79,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.39,0.16
0.79,0.3,0.29,0.03,0.08,0.03,0.22,0.04,0.04,0.04,0.13,0.96,0.04,0.78,0.22,0.4,0.43,0.83,0.15,0.4,0.43,0.4,0.15
0.78,0.11,0.17,0.12,0.02,0.19,0.05,0.25,0.01,0.22,0.03,0.99,0.01,0.95,0.05,0.55,0.36,0.79,0.18,0.36,0.36,0.35,0.18
0.77,0.6,0.46,0.02,0.32,0.03,0.81,0.02,0.33,0.03,0.57,0.67,0.33,0.17,0.81,0.7,0.15,0.99,0.0,0.76,0.15,0.95,0.0
0.77,0.6,0.46,0.01,0.33,0.02,0.83,0.01,0.34,0.01,0.58,0.66,0.34,0.16,0.83,0.75,0.13,0.99,0.01,0.79,0.13,0.91,0.01
0.8,0.61,0.47,0.01,0.3,0.02,0.77,0.01,0.27,0.01,0.52,0.73,0.27,0.22,0.77,0.72,0.15,0.99,0.01,0.75,0.15,0.91,0.01
0.8,0.6,0.47,0.0,0.29,0.0,0.76,0.0,1.0,0.0,0.88,0.0,1.0,0.24,0.76,0.0,1.0,0.98,0.02,0.0,1.0,0.86,0.02
0.77,0.04,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.35,0.19
0.82,0.56,0.45,0.0,0.22,0.02,0.58,0.0,1.0,0.01,0.79,0.0,1.0,0.41,0.58,0.0,1.0,0.92,0.07,0.0,1.0,0.6,0.07
0.78,0.61,0.48,0.0,0.33,0.01,0.85,0.0,0.33,0.01,0.59,0.67,0.33,0.14,0.85,0.87,0.08,0.98,0.02,0.84,0.08,0.82,0.02
0.82,0.53,0.45,0.0,0.17,0.01,0.49,0.0,1.0,0.01,0.74,0.0,1.0,0.51,0.49,0.0,1.0,0.9,0.09,0.0,1.0,0.53,0.09
0.78,0.61,0.48,0.01,0.33,0.03,0.85,0.0,0.35,0.01,0.6,0.65,0.35,0.13,0.85,0.64,0.28,0.97,0.03,0.41,0.28,0.74,0.03
0.81,0.59,0.47,0.01,0.25,0.02,0.66,0.0,1.0,0.01,0.83,0.0,1.0,0.33,0.66,0.0,1.0,0.95,0.04,0.0,1.0,0.7,0.04
0.82,0.59,0.48,0.01,0.24,0.02,0.64,0.0,1.0,0.01,0.82,0.0,1.0,0.35,0.64,0.0,1.0,0.95,0.05,0.0,1.0,0.68,0.05
