ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.77,0.06,0.13,0.2,0.01,0.2,0.03,0.62,0.0,0.41,0.01,1.0,0.0,0.97,0.03,0.4,0.5,0.8,0.18,0.25,0.5,0.4,0.18
0.76,0.04,0.11,0.04,0.01,0.12,0.02,0.0,1.0,0.06,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.8,0.53,0.42,0.03,0.21,0.05,0.53,0.03,0.14,0.04,0.34,0.85,0.14,0.46,0.53,0.81,0.12,0.92,0.07,0.76,0.12,0.63,0.07
0.79,0.31,0.3,0.24,0.06,0.33,0.15,0.41,0.02,0.37,0.08,0.98,0.02,0.84,0.15,0.57,0.32,0.84,0.15,0.44,0.32,0.43,0.15
0.79,0.26,0.28,0.07,0.06,0.14,0.16,0.08,0.02,0.11,0.09,0.98,0.02,0.84,0.16,0.85,0.12,0.83,0.15,0.65,0.12,0.43,0.15
0.78,0.21,0.26,0.1,0.05,0.2,0.11,0.12,0.01,0.16,0.06,0.99,0.01,0.88,0.11,0.85,0.13,0.82,0.16,0.6,0.13,0.42,0.16
0.81,0.49,0.41,0.08,0.15,0.15,0.37,0.08,0.08,0.11,0.23,0.92,0.08,0.6,0.37,0.8,0.14,0.89,0.1,0.7,0.14,0.53,0.1
0.78,0.19,0.25,0.13,0.04,0.29,0.09,0.15,0.01,0.22,0.05,0.99,0.01,0.91,0.09,0.89,0.09,0.82,0.16,0.66,0.09,0.41,0.16
0.81,0.53,0.43,0.06,0.18,0.15,0.45,0.03,0.12,0.09,0.29,0.88,0.12,0.52,0.45,0.92,0.06,0.91,0.08,0.83,0.06,0.58,0.08
0.81,0.55,0.43,0.39,0.12,0.58,0.23,0.44,0.07,0.51,0.15,0.92,0.07,0.67,0.23,0.66,0.22,0.89,0.1,0.62,0.22,0.48,0.1
0.81,0.49,0.42,0.06,0.15,0.14,0.37,0.03,0.08,0.09,0.23,0.92,0.08,0.6,0.37,0.91,0.07,0.89,0.1,0.77,0.07,0.53,0.1
0.8,0.61,0.47,0.2,0.22,0.36,0.47,0.14,0.2,0.25,0.33,0.79,0.2,0.37,0.47,0.91,0.05,0.96,0.04,0.89,0.05,0.7,0.04
0.81,0.58,0.46,0.07,0.22,0.17,0.53,0.02,0.17,0.1,0.35,0.83,0.17,0.41,0.53,0.76,0.19,0.94,0.05,0.5,0.19,0.67,0.05
0.81,0.47,0.42,0.1,0.13,0.27,0.29,0.04,0.06,0.15,0.17,0.94,0.06,0.68,0.29,0.85,0.12,0.88,0.11,0.53,0.12,0.49,0.11
0.81,0.47,0.41,0.07,0.13,0.2,0.32,0.01,0.06,0.11,0.19,0.94,0.06,0.66,0.32,0.78,0.2,0.88,0.11,0.24,0.2,0.5,0.11
0.82,0.55,0.45,0.47,0.09,0.84,0.08,0.51,0.05,0.68,0.07,0.95,0.05,0.87,0.08,0.77,0.16,0.87,0.12,0.66,0.16,0.39,0.12
0.81,0.44,0.41,0.13,0.1,0.36,0.22,0.04,0.04,0.2,0.13,0.96,0.04,0.75,0.22,0.85,0.14,0.86,0.12,0.4,0.14,0.46,0.12
0.8,0.31,0.34,0.42,0.04,0.99,0.0,0.38,0.01,0.69,0.01,0.99,0.01,1.0,0.0,0.96,0.03,0.82,0.16,0.83,0.03,0.37,0.16
0.81,0.42,0.39,0.09,0.1,0.27,0.24,0.02,0.04,0.15,0.14,0.96,0.04,0.74,0.24,0.82,0.17,0.86,0.12,0.24,0.17,0.47,0.12
0.81,0.37,0.38,0.21,0.07,0.56,0.11,0.07,0.02,0.32,0.07,0.98,0.02,0.87,0.11,0.89,0.1,0.84,0.14,0.44,0.1,0.42,0.14
0.82,0.57,0.47,0.1,0.18,0.27,0.4,0.01,0.11,0.14,0.26,0.89,0.11,0.53,0.4,0.73,0.25,0.91,0.08,0.24,0.25,0.57,0.08
0.82,0.63,0.51,0.26,0.18,0.52,0.33,0.17,0.15,0.35,0.24,0.85,0.15,0.49,0.33,0.97,0.02,0.93,0.06,0.96,0.02,0.57,0.06
0.82,0.53,0.44,0.49,0.08,0.9,0.04,0.56,0.03,0.73,0.04,0.97,0.03,0.93,0.04,0.78,0.16,0.86,0.13,0.63,0.16,0.38,0.13
0.82,0.61,0.5,0.4,0.13,0.72,0.17,0.37,0.09,0.54,0.13,0.91,0.09,0.69,0.17,0.82,0.12,0.9,0.09,0.74,0.12,0.45,0.09
0.82,0.58,0.48,0.47,0.1,0.82,0.1,0.49,0.06,0.66,0.08,0.94,0.06,0.82,0.1,0.77,0.15,0.88,0.11,0.67,0.15,0.4,0.11
0.81,0.44,0.41,0.3,0.08,0.74,0.08,0.17,0.03,0.46,0.06,0.97,0.03,0.9,0.08,0.94,0.05,0.84,0.14,0.76,0.05,0.4,0.14
0.82,0.51,0.45,0.29,0.1,0.68,0.13,0.18,0.05,0.43,0.09,0.95,0.05,0.82,0.13,0.97,0.03,0.86,0.12,0.9,0.03,0.42,0.12
0.83,0.58,0.48,0.21,0.15,0.51,0.26,0.09,0.09,0.3,0.17,0.9,0.09,0.64,0.26,0.87,0.1,0.9,0.09,0.67,0.1,0.49,0.09
0.82,0.52,0.45,0.19,0.12,0.49,0.23,0.07,0.06,0.28,0.15,0.93,0.06,0.71,0.23,0.85,0.12,0.88,0.11,0.54,0.12,0.46,0.11
0.83,0.59,0.49,0.26,0.15,0.56,0.24,0.17,0.09,0.37,0.16,0.9,0.09,0.64,0.24,1.0,0.0,0.9,0.09,0.99,0.0,0.48,0.09
0.82,0.52,0.46,0.15,0.13,0.41,0.27,0.04,0.07,0.22,0.17,0.93,0.07,0.67,0.27,0.81,0.17,0.88,0.11,0.37,0.17,0.48,0.11
0.83,0.6,0.5,0.2,0.16,0.49,0.29,0.1,0.1,0.29,0.2,0.89,0.1,0.59,0.29,0.88,0.09,0.91,0.08,0.71,0.09,0.51,0.08
0.83,0.58,0.49,0.24,0.14,0.55,0.24,0.13,0.09,0.34,0.16,0.91,0.09,0.66,0.24,0.93,0.05,0.9,0.1,0.84,0.05,0.48,0.1
0.82,0.57,0.48,0.39,0.11,0.76,0.12,0.36,0.06,0.56,0.09,0.94,0.06,0.8,0.12,0.86,0.1,0.88,0.11,0.75,0.1,0.41,0.11
0.83,0.53,0.46,0.3,0.1,0.7,0.13,0.21,0.05,0.45,0.09,0.95,0.05,0.81,0.13,0.99,0.01,0.87,0.12,0.97,0.01,0.42,0.12
0.83,0.58,0.48,0.35,0.12,0.7,0.15,0.3,0.06,0.5,0.1,0.93,0.06,0.76,0.15,0.9,0.07,0.88,0.11,0.81,0.07,0.43,0.11
