ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.04,0.1,0.03,0.01,0.12,0.02,0.0,1.0,0.06,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.78,0.18,0.22,0.01,0.04,0.05,0.11,0.0,1.0,0.03,0.56,0.0,1.0,0.89,0.11,0.0,1.0,0.8,0.18,0.0,1.0,0.36,0.18
0.79,0.35,0.32,0.02,0.1,0.06,0.25,0.02,0.04,0.04,0.14,0.96,0.04,0.75,0.25,0.99,0.01,0.83,0.15,0.97,0.01,0.4,0.15
0.8,0.45,0.38,0.03,0.14,0.05,0.36,0.02,0.07,0.04,0.21,0.93,0.07,0.63,0.36,0.83,0.12,0.86,0.13,0.71,0.12,0.44,0.13
0.81,0.49,0.41,0.05,0.16,0.07,0.42,0.07,0.08,0.07,0.25,0.92,0.08,0.57,0.42,0.5,0.35,0.88,0.11,0.46,0.35,0.48,0.11
0.81,0.5,0.42,0.04,0.16,0.07,0.41,0.04,0.08,0.06,0.24,0.92,0.08,0.57,0.41,0.75,0.18,0.88,0.11,0.63,0.18,0.48,0.11
0.81,0.5,0.42,0.04,0.16,0.07,0.41,0.04,0.08,0.06,0.24,0.92,0.08,0.57,0.41,0.71,0.21,0.88,0.11,0.58,0.21,0.48,0.11
0.82,0.52,0.44,0.04,0.17,0.08,0.44,0.04,0.09,0.06,0.27,0.91,0.09,0.54,0.44,0.8,0.14,0.89,0.1,0.68,0.14,0.5,0.1
0.82,0.53,0.45,0.05,0.17,0.1,0.44,0.04,0.09,0.07,0.27,0.91,0.09,0.53,0.44,0.84,0.11,0.89,0.1,0.72,0.11,0.5,0.1
0.82,0.55,0.46,0.05,0.18,0.1,0.47,0.04,0.1,0.07,0.28,0.9,0.1,0.5,0.47,0.86,0.09,0.9,0.09,0.76,0.09,0.52,0.09
0.82,0.53,0.45,0.04,0.17,0.1,0.43,0.02,0.08,0.06,0.26,0.92,0.08,0.54,0.43,0.94,0.05,0.89,0.1,0.84,0.05,0.49,0.1
0.82,0.55,0.46,0.05,0.17,0.12,0.45,0.03,0.09,0.07,0.27,0.91,0.09,0.52,0.45,0.96,0.03,0.89,0.1,0.9,0.03,0.51,0.1
0.82,0.56,0.47,0.06,0.18,0.16,0.44,0.03,0.1,0.1,0.27,0.9,0.1,0.52,0.44,0.93,0.05,0.89,0.1,0.82,0.05,0.5,0.1
0.82,0.56,0.47,0.08,0.17,0.2,0.41,0.04,0.09,0.12,0.25,0.91,0.09,0.54,0.41,0.96,0.03,0.89,0.1,0.89,0.03,0.49,0.1
0.82,0.55,0.47,0.08,0.16,0.21,0.39,0.05,0.08,0.13,0.24,0.92,0.08,0.56,0.39,0.96,0.03,0.89,0.1,0.9,0.03,0.48,0.1
0.83,0.55,0.47,0.12,0.15,0.33,0.33,0.06,0.08,0.2,0.21,0.92,0.08,0.6,0.33,0.93,0.06,0.88,0.11,0.8,0.06,0.45,0.11
0.83,0.56,0.48,0.12,0.16,0.31,0.35,0.06,0.08,0.18,0.21,0.92,0.08,0.58,0.35,0.94,0.05,0.89,0.1,0.83,0.05,0.46,0.1
0.83,0.56,0.48,0.12,0.16,0.33,0.34,0.07,0.08,0.2,0.21,0.92,0.08,0.59,0.34,0.94,0.05,0.88,0.11,0.82,0.05,0.46,0.11
0.83,0.56,0.48,0.13,0.15,0.34,0.33,0.07,0.08,0.21,0.21,0.92,0.08,0.6,0.33,0.93,0.05,0.88,0.11,0.81,0.05,0.45,0.11
0.83,0.57,0.48,0.15,0.15,0.4,0.3,0.08,0.08,0.24,0.19,0.92,0.08,0.62,0.3,0.94,0.05,0.88,0.11,0.82,0.05,0.44,0.11
0.83,0.57,0.49,0.16,0.15,0.42,0.3,0.09,0.08,0.26,0.19,0.92,0.08,0.61,0.3,0.96,0.03,0.88,0.11,0.9,0.03,0.44,0.11
0.83,0.58,0.49,0.18,0.15,0.43,0.3,0.12,0.08,0.28,0.19,0.92,0.08,0.62,0.3,0.98,0.02,0.88,0.11,0.94,0.02,0.44,0.11
0.83,0.59,0.5,0.19,0.15,0.49,0.27,0.12,0.08,0.3,0.18,0.92,0.08,0.63,0.27,1.0,0.0,0.88,0.11,0.99,0.0,0.43,0.11
0.83,0.58,0.5,0.18,0.15,0.46,0.29,0.12,0.08,0.29,0.18,0.92,0.08,0.62,0.29,1.0,0.0,0.88,0.11,0.99,0.0,0.43,0.11
0.83,0.59,0.5,0.19,0.16,0.48,0.29,0.12,0.09,0.3,0.19,0.91,0.09,0.61,0.29,1.0,0.0,0.89,0.1,1.0,0.0,0.44,0.1
0.83,0.59,0.51,0.2,0.15,0.52,0.26,0.13,0.08,0.33,0.17,0.92,0.08,0.64,0.26,0.99,0.01,0.88,0.11,0.97,0.01,0.42,0.11
0.83,0.59,0.5,0.21,0.14,0.53,0.25,0.13,0.08,0.33,0.17,0.92,0.08,0.66,0.25,0.99,0.01,0.88,0.11,0.96,0.01,0.41,0.11
0.83,0.59,0.5,0.21,0.14,0.53,0.25,0.13,0.07,0.33,0.16,0.93,0.07,0.66,0.25,0.99,0.01,0.88,0.11,0.98,0.01,0.41,0.11
0.83,0.59,0.51,0.22,0.14,0.55,0.24,0.15,0.07,0.35,0.15,0.93,0.07,0.67,0.24,0.99,0.01,0.88,0.11,0.97,0.01,0.41,0.11
0.84,0.6,0.51,0.21,0.15,0.53,0.26,0.14,0.08,0.34,0.17,0.92,0.08,0.64,0.26,1.0,0.0,0.88,0.11,1.0,0.0,0.42,0.11
0.83,0.59,0.51,0.22,0.14,0.53,0.25,0.15,0.07,0.34,0.16,0.93,0.07,0.66,0.25,0.98,0.01,0.88,0.11,0.95,0.01,0.42,0.11
0.84,0.59,0.51,0.24,0.14,0.58,0.22,0.17,0.07,0.38,0.15,0.93,0.07,0.68,0.22,0.96,0.03,0.88,0.11,0.9,0.03,0.4,0.11
0.83,0.59,0.51,0.25,0.13,0.61,0.2,0.19,0.06,0.4,0.13,0.94,0.06,0.71,0.2,0.95,0.03,0.87,0.12,0.88,0.03,0.39,0.12
0.83,0.59,0.51,0.24,0.13,0.6,0.21,0.18,0.07,0.39,0.14,0.93,0.07,0.7,0.21,0.97,0.02,0.88,0.12,0.92,0.02,0.4,0.12
0.83,0.58,0.5,0.25,0.13,0.62,0.19,0.17,0.06,0.4,0.12,0.94,0.06,0.73,0.19,0.98,0.01,0.87,0.12,0.96,0.01,0.38,0.12
0.84,0.6,0.51,0.25,0.14,0.62,0.21,0.17,0.07,0.4,0.14,0.93,0.07,0.69,0.21,0.99,0.01,0.88,0.11,0.97,0.01,0.4,0.11
0.84,0.59,0.51,0.27,0.13,0.68,0.16,0.2,0.06,0.44,0.11,0.94,0.06,0.75,0.16,0.97,0.02,0.87,0.12,0.92,0.02,0.37,0.12
0.84,0.58,0.51,0.27,0.12,0.67,0.16,0.19,0.06,0.43,0.11,0.94,0.06,0.76,0.16,0.98,0.02,0.87,0.12,0.94,0.02,0.37,0.12
0.83,0.58,0.5,0.28,0.12,0.71,0.15,0.2,0.06,0.45,0.1,0.94,0.06,0.77,0.15,0.97,0.02,0.87,0.12,0.92,0.02,0.36,0.12
0.84,0.59,0.51,0.27,0.13,0.68,0.17,0.19,0.06,0.44,0.12,0.94,0.06,0.75,0.17,0.98,0.01,0.87,0.12,0.96,0.01,0.37,0.12
0.84,0.6,0.52,0.26,0.13,0.67,0.17,0.17,0.07,0.42,0.12,0.93,0.07,0.73,0.17,1.0,0.0,0.87,0.12,1.0,0.0,0.38,0.12
0.84,0.6,0.52,0.26,0.13,0.66,0.18,0.17,0.07,0.42,0.12,0.93,0.07,0.72,0.18,1.0,0.0,0.88,0.12,0.99,0.0,0.38,0.12
0.84,0.59,0.52,0.28,0.13,0.72,0.14,0.19,0.06,0.45,0.1,0.94,0.06,0.77,0.14,1.0,0.0,0.87,0.12,0.99,0.0,0.36,0.12
0.84,0.59,0.52,0.29,0.12,0.76,0.12,0.2,0.06,0.48,0.09,0.94,0.06,0.8,0.12,1.0,0.0,0.87,0.12,0.99,0.0,0.35,0.12
0.84,0.6,0.52,0.31,0.12,0.78,0.11,0.22,0.06,0.5,0.08,0.94,0.06,0.81,0.11,0.98,0.01,0.87,0.13,0.94,0.01,0.35,0.13
0.84,0.6,0.52,0.32,0.12,0.8,0.1,0.23,0.06,0.52,0.08,0.94,0.06,0.83,0.1,0.98,0.02,0.87,0.13,0.93,0.02,0.34,0.13
0.84,0.6,0.52,0.32,0.12,0.81,0.1,0.24,0.06,0.53,0.08,0.94,0.06,0.83,0.1,0.97,0.02,0.87,0.13,0.92,0.02,0.34,0.13
0.84,0.6,0.52,0.32,0.12,0.82,0.09,0.23,0.06,0.53,0.07,0.94,0.06,0.84,0.09,0.98,0.01,0.87,0.13,0.96,0.01,0.34,0.13
0.84,0.61,0.53,0.33,0.12,0.82,0.09,0.23,0.06,0.53,0.07,0.94,0.06,0.83,0.09,0.98,0.02,0.87,0.12,0.94,0.02,0.34,0.12
0.84,0.61,0.52,0.34,0.12,0.85,0.08,0.26,0.06,0.55,0.07,0.94,0.06,0.86,0.08,0.96,0.03,0.87,0.13,0.89,0.03,0.33,0.13
