ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.01,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.36,0.19
0.77,0.15,0.2,0.01,0.04,0.03,0.09,0.0,1.0,0.01,0.55,0.0,1.0,0.91,0.09,0.0,1.0,0.8,0.18,0.0,1.0,0.38,0.18
0.79,0.36,0.33,0.03,0.1,0.07,0.26,0.02,0.05,0.05,0.15,0.95,0.05,0.74,0.26,0.97,0.02,0.84,0.14,0.92,0.02,0.43,0.14
0.81,0.47,0.4,0.07,0.15,0.13,0.37,0.07,0.08,0.1,0.23,0.92,0.08,0.61,0.37,0.75,0.17,0.87,0.11,0.65,0.17,0.48,0.11
0.81,0.48,0.41,0.07,0.15,0.12,0.38,0.07,0.08,0.1,0.23,0.92,0.08,0.6,0.38,0.74,0.18,0.88,0.11,0.63,0.18,0.49,0.11
0.81,0.52,0.42,0.09,0.17,0.15,0.42,0.1,0.1,0.12,0.26,0.9,0.1,0.55,0.42,0.71,0.19,0.89,0.1,0.63,0.19,0.52,0.1
0.81,0.53,0.43,0.08,0.18,0.14,0.44,0.08,0.11,0.11,0.28,0.89,0.11,0.52,0.44,0.74,0.17,0.9,0.09,0.66,0.17,0.53,0.09
0.81,0.54,0.44,0.06,0.18,0.12,0.46,0.05,0.11,0.08,0.29,0.89,0.11,0.51,0.46,0.89,0.07,0.9,0.09,0.82,0.07,0.54,0.09
0.81,0.54,0.44,0.04,0.19,0.11,0.47,0.02,0.12,0.07,0.29,0.88,0.12,0.5,0.47,0.92,0.06,0.9,0.09,0.82,0.06,0.55,0.09
0.81,0.54,0.44,0.04,0.19,0.11,0.47,0.02,0.12,0.07,0.29,0.88,0.12,0.5,0.47,0.87,0.1,0.91,0.08,0.71,0.1,0.55,0.08
