ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.24,0.39,0.0,0.99,0.0,0.0,1.0,0.99,0.01,0.49,0.51,0.07,0.01,0.0,1.0,0.36,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.59,0.49,0.3,0.45,0.23,0.28,0.67,0.36,0.41,0.32,0.54,0.46,0.41,0.1,0.67,0.32,0.27,0.97,0.03,0.7,0.27,0.76,0.03
0.77,0.5,0.36,0.04,0.24,0.06,0.54,0.03,0.22,0.04,0.38,0.78,0.22,0.45,0.54,0.76,0.13,0.9,0.09,0.79,0.13,0.55,0.09
0.79,0.44,0.35,0.01,0.16,0.02,0.39,0.01,0.11,0.01,0.25,0.89,0.11,0.6,0.39,0.8,0.12,0.87,0.12,0.75,0.12,0.48,0.12
0.79,0.37,0.32,0.01,0.11,0.02,0.29,0.02,0.06,0.02,0.17,0.94,0.06,0.71,0.29,0.58,0.29,0.84,0.14,0.52,0.29,0.44,0.14
0.8,0.37,0.34,0.02,0.11,0.03,0.29,0.03,0.05,0.03,0.17,0.95,0.05,0.71,0.29,0.6,0.29,0.85,0.14,0.5,0.29,0.45,0.14
0.8,0.4,0.36,0.03,0.12,0.07,0.31,0.04,0.06,0.06,0.18,0.94,0.06,0.69,0.31,0.8,0.14,0.85,0.13,0.67,0.14,0.45,0.13
0.8,0.43,0.37,0.04,0.13,0.07,0.34,0.05,0.07,0.06,0.21,0.93,0.07,0.65,0.34,0.72,0.19,0.86,0.12,0.62,0.19,0.47,0.12
0.81,0.48,0.4,0.07,0.15,0.11,0.38,0.08,0.08,0.1,0.23,0.92,0.08,0.6,0.38,0.66,0.23,0.88,0.11,0.58,0.23,0.49,0.11
0.81,0.5,0.41,0.09,0.15,0.15,0.39,0.1,0.09,0.12,0.24,0.91,0.09,0.59,0.39,0.7,0.21,0.88,0.11,0.61,0.21,0.5,0.11
