ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.25,0.36,-0.13,0.96,0.02,0.88,0.11,0.95,0.05,0.92,0.08,0.25,0.05,0.2,0.11,0.41,0.17,0.63,0.3,0.81,0.17,0.38,0.3
0.25,0.35,-0.13,0.96,0.02,0.88,0.11,0.95,0.05,0.92,0.08,0.35,0.05,0.29,0.11,0.41,0.17,0.65,0.28,0.81,0.17,0.4,0.28
0.26,0.35,-0.11,0.96,0.02,0.87,0.12,0.95,0.05,0.91,0.08,0.54,0.05,0.35,0.12,0.41,0.17,0.65,0.3,0.81,0.17,0.31,0.3
0.29,0.35,-0.08,0.98,0.01,0.92,0.07,0.98,0.02,0.95,0.05,0.88,0.02,0.66,0.07,0.41,0.17,0.7,0.26,0.81,0.17,0.33,0.26
0.37,0.36,-0.01,0.93,0.03,0.92,0.06,0.88,0.1,0.9,0.08,0.7,0.1,0.8,0.06,0.4,0.17,0.76,0.22,0.8,0.17,0.35,0.22
0.58,0.4,0.14,0.6,0.14,0.47,0.34,0.52,0.25,0.49,0.3,0.66,0.25,0.51,0.34,0.37,0.22,0.85,0.13,0.75,0.22,0.47,0.13
0.7,0.38,0.18,0.27,0.18,0.2,0.35,0.24,0.22,0.22,0.28,0.77,0.22,0.61,0.35,0.37,0.25,0.85,0.14,0.7,0.25,0.46,0.14
0.74,0.29,0.17,0.12,0.13,0.1,0.23,0.12,0.12,0.11,0.17,0.88,0.12,0.76,0.23,0.38,0.28,0.82,0.15,0.67,0.28,0.43,0.15
0.76,0.19,0.14,0.04,0.08,0.04,0.13,0.04,0.06,0.04,0.1,0.94,0.06,0.87,0.13,0.42,0.28,0.81,0.17,0.65,0.28,0.41,0.17
0.76,0.12,0.13,0.01,0.04,0.0,1.0,0.01,0.03,0.01,0.52,0.97,0.03,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.41,0.17
0.76,0.09,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.4,0.17
0.76,0.07,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.76,0.07,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.77,0.07,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.77,0.08,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.4,0.18
0.77,0.08,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.4,0.17
0.77,0.09,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.4,0.17
0.77,0.1,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.41,0.17
0.77,0.12,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.41,0.17
0.77,0.15,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.42,0.17
0.78,0.17,0.22,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.42,0.16
0.78,0.2,0.23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.16,0.0,1.0,0.43,0.16
0.78,0.22,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.15,0.0,1.0,0.43,0.15
0.78,0.26,0.27,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.15,0.0,1.0,0.44,0.15
0.79,0.29,0.29,0.01,0.08,0.02,0.21,0.0,1.0,0.01,0.6,0.0,1.0,0.79,0.21,0.0,1.0,0.84,0.14,0.0,1.0,0.45,0.14
0.79,0.32,0.3,0.01,0.09,0.02,0.24,0.01,0.04,0.01,0.14,0.96,0.04,0.76,0.24,0.93,0.05,0.84,0.14,0.85,0.05,0.46,0.14
0.79,0.34,0.31,0.01,0.1,0.02,0.26,0.01,0.05,0.01,0.15,0.95,0.05,0.74,0.26,0.95,0.04,0.85,0.13,0.88,0.04,0.47,0.13
0.79,0.36,0.32,0.01,0.11,0.02,0.28,0.01,0.06,0.01,0.17,0.94,0.06,0.72,0.28,0.97,0.02,0.85,0.13,0.93,0.02,0.48,0.13
0.79,0.38,0.33,0.01,0.12,0.02,0.31,0.01,0.06,0.01,0.18,0.94,0.06,0.69,0.31,0.91,0.07,0.86,0.12,0.79,0.07,0.49,0.12
0.8,0.4,0.35,0.01,0.13,0.02,0.33,0.01,0.07,0.01,0.2,0.93,0.07,0.66,0.33,0.88,0.08,0.87,0.12,0.79,0.08,0.5,0.12
0.8,0.43,0.36,0.03,0.13,0.06,0.34,0.02,0.07,0.04,0.21,0.93,0.07,0.65,0.34,0.97,0.02,0.87,0.11,0.93,0.02,0.51,0.11
0.8,0.44,0.37,0.04,0.14,0.07,0.36,0.03,0.07,0.05,0.21,0.93,0.07,0.63,0.36,0.86,0.1,0.88,0.11,0.76,0.1,0.52,0.11
0.8,0.45,0.38,0.04,0.15,0.07,0.38,0.03,0.08,0.05,0.23,0.92,0.08,0.61,0.38,0.85,0.1,0.88,0.1,0.76,0.1,0.53,0.1
0.8,0.47,0.39,0.04,0.15,0.08,0.39,0.04,0.09,0.06,0.24,0.91,0.09,0.6,0.39,0.84,0.1,0.89,0.1,0.76,0.1,0.53,0.1
0.8,0.48,0.39,0.06,0.16,0.08,0.4,0.07,0.09,0.08,0.24,0.91,0.09,0.58,0.4,0.64,0.24,0.89,0.1,0.58,0.24,0.54,0.1
0.8,0.49,0.4,0.07,0.16,0.1,0.41,0.08,0.09,0.09,0.25,0.9,0.09,0.57,0.41,0.65,0.23,0.9,0.09,0.6,0.23,0.55,0.09
0.8,0.49,0.39,0.08,0.17,0.1,0.42,0.09,0.1,0.1,0.26,0.9,0.1,0.56,0.42,0.6,0.26,0.9,0.09,0.57,0.26,0.56,0.09
0.8,0.5,0.4,0.1,0.17,0.13,0.43,0.11,0.1,0.12,0.27,0.9,0.1,0.55,0.43,0.6,0.26,0.9,0.09,0.58,0.26,0.56,0.09
0.8,0.51,0.4,0.12,0.17,0.14,0.43,0.13,0.11,0.14,0.27,0.89,0.11,0.54,0.43,0.58,0.27,0.9,0.09,0.58,0.27,0.56,0.09
0.8,0.51,0.4,0.14,0.17,0.17,0.42,0.15,0.11,0.16,0.27,0.89,0.11,0.54,0.42,0.59,0.26,0.9,0.09,0.59,0.26,0.56,0.09
0.8,0.52,0.4,0.16,0.17,0.18,0.43,0.19,0.11,0.18,0.27,0.89,0.11,0.53,0.43,0.53,0.29,0.91,0.08,0.56,0.29,0.57,0.08
0.8,0.53,0.41,0.19,0.17,0.24,0.41,0.21,0.11,0.22,0.26,0.89,0.11,0.53,0.41,0.59,0.26,0.91,0.08,0.6,0.26,0.57,0.08
0.8,0.53,0.41,0.24,0.16,0.29,0.39,0.26,0.11,0.28,0.25,0.89,0.11,0.53,0.39,0.57,0.27,0.91,0.08,0.59,0.27,0.56,0.08
0.8,0.54,0.41,0.28,0.16,0.35,0.37,0.31,0.11,0.33,0.24,0.89,0.11,0.54,0.37,0.57,0.26,0.91,0.08,0.6,0.26,0.56,0.08
0.79,0.54,0.41,0.34,0.14,0.42,0.33,0.39,0.1,0.41,0.22,0.9,0.1,0.56,0.33,0.56,0.27,0.91,0.08,0.59,0.27,0.54,0.08
0.79,0.55,0.41,0.4,0.14,0.51,0.28,0.43,0.09,0.47,0.18,0.9,0.09,0.6,0.28,0.59,0.25,0.9,0.09,0.62,0.25,0.51,0.09
0.79,0.55,0.41,0.44,0.13,0.58,0.24,0.49,0.09,0.53,0.16,0.91,0.09,0.63,0.24,0.6,0.24,0.9,0.09,0.62,0.24,0.49,0.09
0.79,0.55,0.41,0.5,0.12,0.63,0.22,0.56,0.07,0.59,0.15,0.92,0.07,0.65,0.22,0.57,0.26,0.9,0.09,0.61,0.26,0.48,0.09
0.78,0.56,0.41,0.55,0.1,0.69,0.18,0.63,0.06,0.66,0.12,0.93,0.06,0.69,0.18,0.56,0.26,0.9,0.09,0.6,0.26,0.47,0.09
0.78,0.56,0.41,0.6,0.09,0.76,0.14,0.7,0.05,0.73,0.1,0.94,0.05,0.74,0.14,0.56,0.26,0.89,0.1,0.6,0.26,0.44,0.1
