ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.05,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.35,0.19
0.78,0.16,0.21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.8,0.32,0.31,0.05,0.09,0.08,0.22,0.07,0.04,0.08,0.13,0.96,0.04,0.77,0.22,0.59,0.29,0.83,0.15,0.48,0.29,0.4,0.15
0.8,0.4,0.35,0.11,0.11,0.14,0.28,0.18,0.05,0.16,0.17,0.95,0.05,0.71,0.28,0.47,0.37,0.85,0.13,0.44,0.37,0.42,0.13
0.81,0.45,0.38,0.15,0.12,0.21,0.3,0.21,0.06,0.21,0.18,0.94,0.06,0.67,0.3,0.54,0.32,0.86,0.12,0.49,0.32,0.44,0.12
0.81,0.49,0.4,0.2,0.13,0.24,0.33,0.29,0.06,0.27,0.2,0.94,0.06,0.63,0.33,0.48,0.36,0.87,0.11,0.46,0.36,0.46,0.11
0.81,0.51,0.42,0.23,0.13,0.27,0.34,0.33,0.06,0.3,0.2,0.94,0.06,0.61,0.34,0.47,0.36,0.88,0.11,0.46,0.36,0.47,0.11
0.81,0.52,0.42,0.26,0.13,0.31,0.33,0.37,0.06,0.34,0.2,0.94,0.06,0.62,0.33,0.48,0.36,0.88,0.11,0.47,0.36,0.46,0.11
0.81,0.52,0.43,0.28,0.12,0.36,0.31,0.4,0.05,0.38,0.18,0.94,0.05,0.63,0.31,0.51,0.34,0.88,0.11,0.47,0.34,0.46,0.11
0.81,0.53,0.43,0.3,0.12,0.39,0.3,0.42,0.05,0.41,0.17,0.94,0.05,0.64,0.3,0.52,0.33,0.88,0.11,0.48,0.33,0.45,0.11
0.81,0.53,0.43,0.32,0.12,0.42,0.28,0.46,0.05,0.44,0.17,0.95,0.05,0.64,0.28,0.51,0.34,0.88,0.11,0.48,0.34,0.45,0.11
0.81,0.53,0.42,0.35,0.12,0.44,0.27,0.5,0.05,0.47,0.16,0.95,0.05,0.65,0.27,0.49,0.35,0.88,0.11,0.48,0.35,0.44,0.11
0.81,0.53,0.42,0.38,0.11,0.46,0.27,0.55,0.04,0.51,0.15,0.95,0.04,0.65,0.27,0.48,0.36,0.88,0.11,0.47,0.36,0.44,0.11
0.81,0.53,0.42,0.4,0.11,0.51,0.25,0.58,0.04,0.54,0.14,0.95,0.04,0.67,0.25,0.49,0.35,0.88,0.11,0.48,0.35,0.43,0.11
0.81,0.53,0.42,0.44,0.1,0.55,0.23,0.64,0.04,0.59,0.14,0.96,0.04,0.69,0.23,0.48,0.35,0.88,0.11,0.48,0.35,0.43,0.11
