ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.78,0.16,0.21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.79,0.31,0.3,0.03,0.08,0.04,0.22,0.06,0.04,0.05,0.13,0.96,0.04,0.78,0.22,0.46,0.39,0.83,0.15,0.41,0.39,0.4,0.15
0.8,0.41,0.35,0.12,0.11,0.17,0.27,0.19,0.05,0.18,0.16,0.95,0.05,0.71,0.27,0.51,0.34,0.85,0.13,0.46,0.34,0.42,0.13
0.81,0.44,0.38,0.14,0.12,0.21,0.29,0.19,0.05,0.2,0.17,0.95,0.05,0.69,0.29,0.59,0.29,0.86,0.13,0.51,0.29,0.43,0.13
0.81,0.48,0.4,0.16,0.12,0.22,0.32,0.22,0.06,0.22,0.19,0.94,0.06,0.65,0.32,0.55,0.32,0.87,0.12,0.48,0.32,0.45,0.12
0.81,0.48,0.41,0.15,0.13,0.24,0.31,0.2,0.06,0.22,0.18,0.94,0.06,0.65,0.31,0.63,0.26,0.87,0.12,0.53,0.26,0.44,0.12
0.82,0.5,0.42,0.14,0.14,0.23,0.34,0.16,0.07,0.2,0.21,0.93,0.07,0.62,0.34,0.66,0.24,0.88,0.11,0.56,0.24,0.46,0.11
0.82,0.5,0.42,0.13,0.14,0.21,0.35,0.15,0.07,0.18,0.21,0.93,0.07,0.61,0.35,0.66,0.24,0.88,0.11,0.56,0.24,0.47,0.11
0.82,0.52,0.43,0.13,0.15,0.22,0.38,0.14,0.08,0.18,0.23,0.92,0.08,0.57,0.38,0.69,0.21,0.89,0.1,0.6,0.21,0.48,0.1
0.82,0.51,0.43,0.12,0.14,0.21,0.35,0.14,0.07,0.17,0.21,0.93,0.07,0.61,0.35,0.71,0.21,0.88,0.11,0.59,0.21,0.47,0.11
0.82,0.51,0.43,0.09,0.14,0.16,0.38,0.11,0.07,0.14,0.23,0.93,0.07,0.59,0.38,0.69,0.22,0.88,0.11,0.57,0.22,0.48,0.11
0.82,0.51,0.43,0.08,0.15,0.14,0.4,0.1,0.07,0.12,0.24,0.93,0.07,0.58,0.4,0.68,0.23,0.89,0.1,0.56,0.23,0.49,0.1
0.82,0.51,0.43,0.08,0.15,0.14,0.39,0.08,0.07,0.11,0.23,0.93,0.07,0.58,0.39,0.74,0.18,0.88,0.1,0.61,0.18,0.48,0.1
0.82,0.51,0.44,0.06,0.16,0.13,0.4,0.05,0.08,0.09,0.24,0.92,0.08,0.57,0.4,0.91,0.06,0.89,0.1,0.83,0.06,0.49,0.1
0.82,0.53,0.44,0.07,0.16,0.15,0.41,0.05,0.09,0.1,0.25,0.91,0.09,0.55,0.41,0.91,0.06,0.89,0.1,0.83,0.06,0.5,0.1
0.82,0.53,0.45,0.07,0.16,0.17,0.4,0.06,0.08,0.12,0.24,0.92,0.08,0.56,0.4,0.92,0.06,0.89,0.1,0.83,0.06,0.49,0.1
0.82,0.54,0.45,0.07,0.16,0.18,0.41,0.05,0.09,0.11,0.25,0.91,0.09,0.55,0.41,0.97,0.02,0.89,0.1,0.94,0.02,0.5,0.1
