ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.04,0.1,0.48,0.0,0.64,0.01,0.71,0.0,0.68,0.01,1.0,0.0,0.99,0.01,0.46,0.45,0.79,0.19,0.27,0.45,0.34,0.19
0.77,0.06,0.12,0.68,0.0,0.88,0.0,0.56,0.0,0.72,0.0,1.0,0.0,1.0,0.0,0.44,0.45,0.79,0.19,0.3,0.45,0.34,0.19
0.77,0.08,0.12,0.87,0.0,0.91,0.0,0.45,0.01,0.68,0.01,0.99,0.01,1.0,0.0,0.44,0.45,0.79,0.19,0.31,0.45,0.34,0.19
0.77,0.06,0.11,0.79,0.0,0.64,0.02,0.23,0.01,0.43,0.01,0.99,0.01,0.98,0.02,0.42,0.49,0.78,0.19,0.22,0.49,0.34,0.19
0.77,0.05,0.11,0.92,0.0,0.56,0.02,0.24,0.0,0.4,0.01,1.0,0.0,0.98,0.02,0.56,0.4,0.78,0.2,0.21,0.4,0.34,0.2
0.77,0.03,0.1,0.72,0.0,0.45,0.02,0.0,1.0,0.23,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.03,0.09,0.89,0.0,0.61,0.01,0.0,1.0,0.3,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.2,0.0,1.0,0.34,0.2
0.77,0.02,0.08,0.76,0.0,0.98,0.0,0.0,1.0,0.49,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.03,0.11,0.4,0.0,0.67,0.01,0.0,1.0,0.34,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.34,0.19
0.77,0.05,0.13,0.38,0.01,0.68,0.01,0.32,0.0,0.5,0.01,1.0,0.0,0.99,0.01,0.62,0.36,0.79,0.19,0.09,0.36,0.34,0.19
0.77,0.07,0.15,0.27,0.01,0.54,0.02,0.9,0.0,0.72,0.01,1.0,0.0,0.98,0.02,0.69,0.28,0.79,0.19,0.23,0.28,0.35,0.19
0.78,0.09,0.17,0.25,0.01,0.49,0.03,0.79,0.0,0.64,0.01,1.0,0.0,0.97,0.03,0.68,0.29,0.79,0.19,0.25,0.29,0.35,0.19
0.78,0.12,0.19,0.19,0.02,0.38,0.04,0.45,0.0,0.42,0.02,1.0,0.0,0.96,0.04,0.69,0.27,0.8,0.18,0.33,0.27,0.35,0.18
0.78,0.13,0.21,0.22,0.02,0.47,0.04,0.47,0.0,0.47,0.02,1.0,0.0,0.96,0.04,0.76,0.22,0.8,0.18,0.35,0.22,0.35,0.18
