ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.78,0.24,0.26,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.17,0.0,1.0,0.4,0.17
0.81,0.55,0.44,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.92,0.07,0.0,1.0,0.6,0.07
0.81,0.58,0.46,0.01,0.25,0.01,0.65,0.01,0.19,0.01,0.42,0.81,0.19,0.35,0.65,0.71,0.18,0.94,0.05,0.69,0.18,0.68,0.05
0.81,0.54,0.44,0.1,0.18,0.1,0.49,0.14,0.11,0.12,0.3,0.89,0.11,0.49,0.49,0.44,0.37,0.91,0.08,0.47,0.37,0.56,0.08
0.81,0.49,0.4,0.22,0.13,0.2,0.35,0.37,0.05,0.29,0.2,0.95,0.05,0.61,0.35,0.37,0.44,0.88,0.11,0.4,0.44,0.48,0.11
0.79,0.45,0.35,0.52,0.07,0.43,0.22,0.96,0.0,0.69,0.11,1.0,0.0,0.74,0.22,0.32,0.49,0.86,0.13,0.36,0.49,0.43,0.13
0.78,0.41,0.31,0.86,0.02,0.62,0.13,0.49,0.06,0.55,0.1,0.94,0.06,0.84,0.13,0.26,0.55,0.84,0.14,0.32,0.55,0.41,0.14
0.79,0.37,0.32,0.58,0.04,0.59,0.11,0.75,0.01,0.67,0.06,0.99,0.01,0.87,0.11,0.37,0.48,0.83,0.15,0.32,0.48,0.39,0.15
0.8,0.37,0.34,0.23,0.07,0.28,0.2,0.49,0.02,0.39,0.11,0.98,0.02,0.79,0.2,0.46,0.42,0.84,0.15,0.34,0.42,0.41,0.15
0.8,0.38,0.37,0.05,0.1,0.08,0.27,0.08,0.03,0.08,0.15,0.97,0.03,0.72,0.27,0.64,0.28,0.84,0.14,0.44,0.28,0.43,0.14
0.81,0.45,0.41,0.02,0.13,0.05,0.36,0.01,0.06,0.03,0.21,0.94,0.06,0.63,0.36,0.86,0.13,0.87,0.12,0.5,0.13,0.47,0.12
0.82,0.54,0.46,0.01,0.18,0.03,0.51,0.0,1.0,0.01,0.76,0.0,1.0,0.48,0.51,0.0,1.0,0.91,0.08,0.0,1.0,0.56,0.08
0.82,0.59,0.48,0.01,0.24,0.02,0.64,0.0,1.0,0.01,0.82,0.0,1.0,0.35,0.64,0.0,1.0,0.95,0.05,0.0,1.0,0.69,0.05
0.81,0.62,0.49,0.01,0.29,0.02,0.76,0.0,1.0,0.01,0.88,0.0,1.0,0.23,0.76,0.0,1.0,0.99,0.01,0.0,1.0,0.91,0.01
0.8,0.62,0.49,0.01,0.3,0.02,0.78,0.0,0.26,0.01,0.52,0.74,0.26,0.21,0.78,0.67,0.28,1.0,0.0,0.33,0.28,0.96,0.0
0.79,0.62,0.49,0.02,0.32,0.05,0.8,0.01,0.31,0.03,0.56,0.69,0.31,0.17,0.8,0.86,0.09,0.99,0.01,0.8,0.09,0.89,0.01
0.79,0.62,0.49,0.06,0.31,0.12,0.74,0.03,0.31,0.07,0.53,0.69,0.31,0.18,0.74,0.96,0.02,0.99,0.01,0.95,0.02,0.93,0.01
0.82,0.63,0.51,0.08,0.25,0.17,0.62,0.04,0.2,0.11,0.41,0.79,0.2,0.29,0.62,0.98,0.01,0.97,0.03,0.97,0.01,0.78,0.03
0.82,0.56,0.46,0.11,0.17,0.24,0.41,0.09,0.1,0.16,0.26,0.9,0.1,0.53,0.41,0.89,0.07,0.9,0.09,0.81,0.07,0.51,0.09
0.81,0.46,0.41,0.17,0.11,0.35,0.24,0.19,0.04,0.27,0.14,0.96,0.04,0.73,0.24,0.82,0.14,0.85,0.13,0.62,0.14,0.42,0.13
0.81,0.44,0.41,0.21,0.09,0.45,0.19,0.23,0.03,0.34,0.11,0.97,0.03,0.78,0.19,0.84,0.13,0.85,0.14,0.63,0.13,0.4,0.14
0.81,0.46,0.42,0.07,0.12,0.14,0.33,0.09,0.05,0.12,0.19,0.95,0.05,0.65,0.33,0.77,0.18,0.87,0.12,0.57,0.18,0.46,0.12
0.81,0.39,0.38,0.04,0.1,0.12,0.26,0.01,0.03,0.07,0.15,0.97,0.03,0.73,0.26,0.87,0.13,0.85,0.14,0.36,0.13,0.43,0.14
0.81,0.44,0.41,0.02,0.12,0.05,0.34,0.01,0.04,0.03,0.19,0.96,0.04,0.65,0.34,0.89,0.09,0.86,0.12,0.57,0.09,0.46,0.12
0.82,0.47,0.43,0.02,0.14,0.05,0.38,0.0,1.0,0.03,0.69,0.0,1.0,0.61,0.38,0.0,1.0,0.87,0.11,0.0,1.0,0.49,0.11
0.82,0.49,0.44,0.01,0.14,0.05,0.4,0.0,1.0,0.03,0.7,0.0,1.0,0.59,0.4,0.0,1.0,0.88,0.11,0.0,1.0,0.5,0.11
0.82,0.52,0.46,0.01,0.16,0.04,0.44,0.0,1.0,0.02,0.72,0.0,1.0,0.55,0.44,0.0,1.0,0.89,0.1,0.0,1.0,0.52,0.1
0.82,0.53,0.46,0.01,0.16,0.04,0.46,0.0,1.0,0.02,0.73,0.0,1.0,0.54,0.46,0.0,1.0,0.89,0.09,0.0,1.0,0.53,0.09
0.83,0.58,0.5,0.03,0.18,0.08,0.51,0.0,0.09,0.04,0.3,0.91,0.09,0.47,0.51,0.78,0.21,0.92,0.07,0.23,0.21,0.58,0.07
0.83,0.6,0.5,0.05,0.19,0.13,0.52,0.02,0.11,0.07,0.32,0.89,0.11,0.44,0.52,0.84,0.14,0.92,0.07,0.53,0.14,0.6,0.07
0.83,0.61,0.51,0.04,0.21,0.11,0.56,0.01,0.12,0.06,0.34,0.88,0.12,0.4,0.56,0.78,0.2,0.94,0.06,0.36,0.2,0.64,0.06
0.83,0.63,0.52,0.08,0.22,0.2,0.53,0.03,0.14,0.12,0.34,0.86,0.14,0.38,0.53,0.88,0.09,0.94,0.05,0.71,0.09,0.65,0.05
0.83,0.62,0.52,0.06,0.22,0.17,0.55,0.02,0.14,0.1,0.35,0.86,0.14,0.38,0.55,0.84,0.13,0.94,0.05,0.6,0.13,0.66,0.05
0.83,0.61,0.51,0.05,0.22,0.13,0.56,0.02,0.13,0.07,0.35,0.87,0.13,0.39,0.56,0.84,0.13,0.94,0.05,0.61,0.13,0.65,0.05
0.83,0.62,0.52,0.07,0.21,0.19,0.53,0.03,0.14,0.11,0.34,0.86,0.14,0.39,0.53,0.85,0.12,0.94,0.05,0.64,0.12,0.64,0.05
0.83,0.63,0.53,0.08,0.22,0.21,0.54,0.04,0.15,0.12,0.35,0.85,0.15,0.37,0.54,0.87,0.1,0.95,0.05,0.7,0.1,0.67,0.05
0.83,0.63,0.53,0.12,0.2,0.31,0.46,0.06,0.14,0.18,0.3,0.86,0.14,0.42,0.46,0.9,0.08,0.93,0.06,0.77,0.08,0.6,0.06
0.83,0.62,0.52,0.23,0.16,0.49,0.31,0.18,0.09,0.33,0.2,0.9,0.09,0.56,0.31,0.91,0.07,0.91,0.09,0.82,0.07,0.48,0.09
0.83,0.61,0.51,0.19,0.17,0.42,0.35,0.13,0.1,0.28,0.22,0.9,0.1,0.54,0.35,0.95,0.03,0.91,0.08,0.9,0.03,0.51,0.08
0.83,0.64,0.53,0.11,0.22,0.29,0.5,0.05,0.16,0.17,0.33,0.84,0.16,0.37,0.5,0.87,0.1,0.95,0.05,0.72,0.1,0.66,0.05
0.82,0.65,0.53,0.14,0.25,0.33,0.53,0.06,0.22,0.2,0.38,0.77,0.22,0.28,0.53,0.89,0.08,0.97,0.02,0.81,0.08,0.78,0.02
0.81,0.66,0.54,0.11,0.28,0.28,0.61,0.04,0.27,0.16,0.44,0.72,0.27,0.19,0.61,0.81,0.14,1.0,0.0,0.68,0.14,0.97,0.0
0.83,0.64,0.53,0.2,0.19,0.44,0.38,0.13,0.13,0.29,0.26,0.87,0.13,0.47,0.38,0.96,0.03,0.93,0.07,0.93,0.03,0.55,0.07
0.83,0.57,0.49,0.37,0.1,0.74,0.12,0.43,0.04,0.58,0.08,0.96,0.04,0.81,0.12,0.79,0.16,0.87,0.12,0.6,0.16,0.38,0.12
0.82,0.48,0.42,0.84,0.02,0.64,0.18,0.61,0.02,0.62,0.1,0.98,0.02,0.73,0.18,0.67,0.27,0.81,0.18,0.39,0.27,0.25,0.18
0.81,0.42,0.38,0.84,0.02,0.46,0.28,0.29,0.04,0.38,0.16,0.96,0.04,0.62,0.28,0.62,0.33,0.79,0.2,0.27,0.33,0.22,0.2
0.81,0.41,0.39,0.96,0.0,0.54,0.21,0.44,0.02,0.49,0.11,0.98,0.02,0.72,0.21,0.68,0.28,0.8,0.19,0.33,0.28,0.25,0.19
0.82,0.47,0.43,0.48,0.06,0.97,0.01,0.73,0.01,0.85,0.01,0.99,0.01,0.98,0.01,0.76,0.2,0.83,0.16,0.48,0.2,0.33,0.16
0.83,0.58,0.5,0.09,0.17,0.24,0.41,0.04,0.08,0.14,0.24,0.92,0.08,0.53,0.41,0.91,0.07,0.9,0.09,0.73,0.07,0.52,0.09
0.83,0.63,0.52,0.03,0.24,0.1,0.62,0.0,0.16,0.05,0.39,0.84,0.16,0.33,0.62,0.72,0.26,0.96,0.04,0.23,0.26,0.73,0.04
0.78,0.63,0.5,0.02,0.34,0.06,0.85,0.0,1.0,0.03,0.93,0.0,1.0,0.11,0.85,0.0,1.0,0.96,0.04,0.0,1.0,0.63,0.04
0.78,0.63,0.51,0.05,0.32,0.15,0.76,0.01,0.35,0.08,0.55,0.65,0.35,0.12,0.76,0.66,0.27,0.97,0.03,0.43,0.27,0.7,0.03
0.81,0.65,0.54,0.1,0.27,0.28,0.59,0.03,0.25,0.16,0.42,0.75,0.25,0.23,0.59,0.75,0.19,0.99,0.01,0.54,0.19,0.9,0.01
0.84,0.63,0.53,0.18,0.19,0.42,0.37,0.1,0.12,0.26,0.24,0.88,0.12,0.49,0.37,0.95,0.03,0.92,0.07,0.89,0.03,0.53,0.07
0.84,0.62,0.52,0.16,0.18,0.4,0.37,0.08,0.11,0.24,0.24,0.89,0.11,0.52,0.37,0.93,0.05,0.91,0.08,0.83,0.05,0.52,0.08
0.84,0.62,0.52,0.11,0.2,0.28,0.46,0.04,0.12,0.16,0.29,0.88,0.12,0.44,0.46,0.86,0.11,0.93,0.07,0.64,0.11,0.58,0.07
0.83,0.58,0.5,0.07,0.17,0.18,0.45,0.03,0.08,0.1,0.27,0.92,0.08,0.51,0.45,0.89,0.09,0.91,0.08,0.66,0.09,0.55,0.08
0.82,0.44,0.42,0.1,0.1,0.25,0.25,0.07,0.03,0.16,0.14,0.97,0.03,0.72,0.25,0.99,0.01,0.85,0.13,0.95,0.01,0.43,0.13
0.82,0.46,0.44,0.13,0.1,0.34,0.24,0.08,0.03,0.21,0.14,0.97,0.03,0.73,0.24,0.97,0.02,0.85,0.13,0.87,0.02,0.42,0.13
0.84,0.6,0.51,0.11,0.17,0.3,0.4,0.04,0.09,0.17,0.24,0.91,0.09,0.52,0.4,0.87,0.1,0.91,0.08,0.63,0.1,0.52,0.08
0.81,0.65,0.52,0.06,0.28,0.18,0.66,0.02,0.24,0.1,0.45,0.75,0.24,0.23,0.66,0.72,0.23,0.99,0.01,0.43,0.23,0.92,0.01
