ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.79,0.31,0.29,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.15,0.0,1.0,0.42,0.15
0.8,0.58,0.45,0.04,0.26,0.05,0.66,0.03,0.22,0.04,0.44,0.78,0.22,0.31,0.66,0.68,0.18,0.96,0.04,0.71,0.18,0.72,0.04
0.78,0.6,0.46,0.1,0.28,0.09,0.73,0.09,0.26,0.09,0.49,0.73,0.26,0.22,0.73,0.44,0.3,0.99,0.01,0.6,0.3,0.94,0.01
0.78,0.6,0.46,0.17,0.24,0.15,0.66,0.18,0.22,0.16,0.44,0.77,0.22,0.26,0.66,0.41,0.32,0.98,0.02,0.58,0.32,0.85,0.02
0.79,0.58,0.44,0.21,0.21,0.22,0.53,0.22,0.16,0.22,0.35,0.83,0.16,0.38,0.53,0.47,0.31,0.94,0.05,0.58,0.31,0.65,0.05
0.81,0.55,0.43,0.21,0.17,0.24,0.43,0.25,0.1,0.24,0.27,0.89,0.1,0.5,0.43,0.49,0.32,0.91,0.08,0.53,0.32,0.54,0.08
0.81,0.52,0.43,0.17,0.15,0.23,0.38,0.23,0.08,0.23,0.23,0.92,0.08,0.58,0.38,0.55,0.31,0.89,0.1,0.51,0.31,0.5,0.1
0.81,0.48,0.4,0.12,0.13,0.19,0.34,0.15,0.07,0.17,0.21,0.93,0.07,0.63,0.34,0.65,0.24,0.87,0.11,0.55,0.24,0.47,0.11
0.81,0.45,0.39,0.08,0.13,0.11,0.34,0.1,0.06,0.11,0.2,0.94,0.06,0.64,0.34,0.62,0.27,0.87,0.12,0.51,0.27,0.47,0.12
0.81,0.46,0.4,0.03,0.13,0.07,0.36,0.03,0.06,0.05,0.21,0.94,0.06,0.63,0.36,0.83,0.12,0.87,0.11,0.7,0.12,0.47,0.11
0.82,0.49,0.43,0.02,0.15,0.03,0.42,0.02,0.07,0.03,0.24,0.93,0.07,0.57,0.42,0.77,0.17,0.89,0.1,0.62,0.17,0.51,0.1
0.82,0.52,0.44,0.01,0.17,0.02,0.47,0.01,0.09,0.01,0.28,0.91,0.09,0.52,0.47,0.95,0.04,0.9,0.09,0.89,0.04,0.54,0.09
