ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.03,0.09,0.22,0.0,0.2,0.01,0.0,1.0,0.1,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.05,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.36,0.18
0.78,0.2,0.23,0.62,0.02,0.63,0.05,0.5,0.01,0.56,0.03,0.99,0.01,0.95,0.05,0.36,0.53,0.81,0.17,0.24,0.53,0.37,0.17
0.79,0.31,0.29,0.36,0.05,0.41,0.13,0.79,0.01,0.6,0.07,0.99,0.01,0.86,0.13,0.42,0.44,0.83,0.15,0.34,0.44,0.39,0.15
0.78,0.18,0.23,0.52,0.02,0.6,0.04,0.52,0.01,0.56,0.03,0.99,0.01,0.95,0.04,0.42,0.5,0.81,0.17,0.21,0.5,0.37,0.17
0.8,0.32,0.31,0.22,0.06,0.3,0.16,0.44,0.01,0.37,0.09,0.99,0.01,0.83,0.16,0.52,0.38,0.83,0.15,0.37,0.38,0.4,0.15
0.8,0.31,0.32,0.25,0.05,0.39,0.13,0.51,0.01,0.45,0.07,0.99,0.01,0.86,0.13,0.59,0.33,0.83,0.15,0.37,0.33,0.39,0.15
