ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.77,0.04,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.6,0.45,0.03,0.33,0.02,0.84,0.02,0.36,0.02,0.6,0.64,0.36,0.15,0.84,0.38,0.31,0.98,0.02,0.61,0.31,0.85,0.02
0.81,0.53,0.42,0.15,0.16,0.12,0.45,0.22,0.09,0.17,0.27,0.91,0.09,0.52,0.45,0.36,0.43,0.9,0.09,0.44,0.43,0.53,0.09
0.73,0.58,0.44,0.15,0.31,0.14,0.78,0.11,0.39,0.12,0.58,0.59,0.39,0.1,0.78,0.49,0.24,0.96,0.03,0.69,0.24,0.65,0.03
0.8,0.4,0.35,0.23,0.09,0.25,0.24,0.44,0.03,0.34,0.14,0.97,0.03,0.74,0.24,0.42,0.43,0.85,0.14,0.37,0.43,0.42,0.14
0.81,0.47,0.41,0.05,0.14,0.08,0.38,0.07,0.07,0.08,0.23,0.93,0.07,0.61,0.38,0.61,0.28,0.88,0.11,0.5,0.28,0.48,0.11
0.79,0.26,0.3,0.07,0.06,0.13,0.16,0.14,0.01,0.14,0.09,0.99,0.01,0.84,0.16,0.68,0.27,0.82,0.16,0.36,0.27,0.39,0.16
0.78,0.6,0.46,0.12,0.28,0.14,0.69,0.09,0.27,0.12,0.48,0.72,0.27,0.22,0.69,0.6,0.22,0.99,0.01,0.68,0.22,0.9,0.01
0.81,0.4,0.38,0.08,0.1,0.13,0.27,0.11,0.03,0.12,0.15,0.97,0.03,0.71,0.27,0.67,0.26,0.85,0.13,0.47,0.26,0.43,0.13
0.81,0.46,0.41,0.09,0.12,0.17,0.31,0.12,0.05,0.15,0.18,0.95,0.05,0.66,0.31,0.71,0.22,0.87,0.12,0.53,0.22,0.45,0.12
0.78,0.16,0.25,0.06,0.03,0.18,0.08,0.0,1.0,0.09,0.54,0.0,1.0,0.92,0.08,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.82,0.51,0.43,0.2,0.13,0.29,0.32,0.28,0.06,0.29,0.19,0.94,0.06,0.63,0.32,0.59,0.29,0.88,0.11,0.49,0.29,0.47,0.11
