ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.16,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.76,0.03,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.8,0.38,0.34,0.03,0.11,0.03,0.3,0.06,0.05,0.04,0.17,0.95,0.05,0.7,0.3,0.35,0.46,0.85,0.14,0.39,0.46,0.44,0.14
0.75,0.59,0.44,0.1,0.32,0.07,0.82,0.08,0.37,0.08,0.59,0.62,0.37,0.12,0.82,0.36,0.31,0.97,0.02,0.62,0.31,0.76,0.02
0.74,0.58,0.43,0.25,0.26,0.15,0.73,0.24,0.28,0.2,0.51,0.69,0.28,0.16,0.73,0.3,0.35,0.99,0.01,0.59,0.35,0.87,0.01
0.68,0.55,0.4,0.67,0.12,0.54,0.41,0.7,0.13,0.62,0.27,0.82,0.13,0.19,0.41,0.34,0.32,0.99,0.01,0.62,0.32,0.86,0.01
0.69,0.56,0.4,0.72,0.1,0.6,0.35,0.82,0.07,0.71,0.21,0.9,0.07,0.27,0.35,0.33,0.34,0.99,0.01,0.6,0.34,0.91,0.01
0.62,0.52,0.36,0.94,0.02,0.96,0.04,0.71,0.16,0.83,0.1,0.73,0.16,0.69,0.04,0.33,0.33,0.94,0.06,0.61,0.33,0.27,0.06
0.61,0.53,0.37,0.97,0.01,0.95,0.04,0.85,0.08,0.9,0.06,0.86,0.08,0.65,0.04,0.35,0.3,0.97,0.03,0.64,0.3,0.5,0.03
0.59,0.52,0.36,0.99,0.0,0.98,0.02,0.81,0.11,0.9,0.07,0.79,0.11,0.83,0.02,0.34,0.3,0.97,0.03,0.64,0.3,0.43,0.03
0.54,0.5,0.33,0.99,0.0,0.99,0.01,0.85,0.1,0.92,0.06,0.78,0.1,0.77,0.01,0.34,0.28,0.98,0.02,0.67,0.28,0.47,0.02
0.53,0.49,0.32,0.94,0.02,0.98,0.02,0.76,0.17,0.87,0.1,0.64,0.17,0.71,0.02,0.32,0.3,0.97,0.03,0.66,0.3,0.31,0.03
0.56,0.5,0.34,0.98,0.01,1.0,0.0,0.81,0.12,0.91,0.06,0.76,0.12,0.95,0.0,0.34,0.3,0.97,0.03,0.65,0.3,0.39,0.03
0.57,0.51,0.34,0.97,0.01,0.98,0.02,0.79,0.13,0.89,0.07,0.74,0.13,0.77,0.02,0.34,0.3,0.96,0.04,0.65,0.3,0.3,0.04
0.55,0.5,0.33,0.96,0.02,0.98,0.02,0.78,0.15,0.88,0.08,0.7,0.15,0.7,0.02,0.33,0.3,0.96,0.04,0.65,0.3,0.28,0.04
0.52,0.48,0.31,0.93,0.03,0.98,0.02,0.76,0.18,0.87,0.1,0.61,0.18,0.55,0.02,0.32,0.29,0.96,0.04,0.66,0.29,0.25,0.04
0.4,0.44,0.23,0.93,0.03,0.99,0.01,0.79,0.19,0.89,0.1,0.36,0.19,0.29,0.01,0.31,0.26,0.98,0.02,0.71,0.26,0.22,0.02
0.31,0.41,0.15,0.97,0.01,1.0,0.0,0.91,0.08,0.96,0.04,0.38,0.08,0.38,0.0,0.33,0.22,0.98,0.02,0.75,0.22,0.28,0.02
0.27,0.39,0.1,0.98,0.01,1.0,0.0,0.93,0.07,0.97,0.04,0.08,0.07,0.7,0.0,0.33,0.21,0.96,0.04,0.76,0.21,0.22,0.04
0.27,0.39,0.1,0.97,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.01,0.07,0.0,1.0,0.33,0.21,0.0,1.0,0.76,0.21,0.0,1.0
0.28,0.4,0.11,0.96,0.02,0.0,1.0,0.9,0.1,0.45,0.55,0.0,0.1,0.0,1.0,0.33,0.22,0.0,1.0,0.76,0.22,0.0,1.0
0.3,0.4,0.13,0.95,0.03,0.0,1.0,0.86,0.14,0.43,0.57,0.0,0.14,0.0,1.0,0.32,0.23,0.0,1.0,0.75,0.23,0.0,1.0
0.49,0.45,0.23,0.74,0.13,0.86,0.14,0.45,0.52,0.66,0.33,0.09,0.52,0.02,0.14,0.24,0.35,0.91,0.09,0.6,0.35,0.07,0.09
0.6,0.39,0.14,0.38,0.28,0.45,0.55,0.13,0.7,0.29,0.62,0.22,0.7,0.01,0.55,0.2,0.53,0.79,0.21,0.4,0.53,0.01,0.21
0.73,0.21,0.08,0.08,0.2,0.08,0.63,0.01,0.23,0.04,0.43,0.77,0.23,0.34,0.63,0.27,0.69,0.74,0.24,0.07,0.69,0.16,0.24
0.77,0.04,0.11,0.98,0.0,0.75,0.01,0.0,1.0,0.38,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.78,0.19,0.0,1.0,0.35,0.19
0.76,0.01,0.07,0.31,0.0,0.88,0.0,0.0,1.0,0.44,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.01,0.05,0.25,0.0,0.72,0.0,0.0,1.0,0.36,0.5,0.0,1.0,1.0,0.0,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.76,0.04,0.08,0.44,0.01,0.52,0.02,0.0,1.0,0.26,0.51,0.0,1.0,0.98,0.02,0.0,1.0,0.78,0.2,0.0,1.0,0.35,0.2
0.54,0.44,0.2,0.6,0.19,0.73,0.27,0.29,0.66,0.51,0.47,0.09,0.66,0.01,0.27,0.21,0.42,0.86,0.14,0.53,0.42,0.04,0.14
0.24,0.38,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
0.24,0.38,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.35,0.2,0.0,1.0,0.78,0.2,0.0,1.0
