ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.76,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.2,0.0,1.0,0.36,0.2
0.77,0.17,0.21,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.17,0.0,1.0,0.39,0.17
0.8,0.54,0.41,0.01,0.23,0.02,0.58,0.01,0.18,0.01,0.38,0.82,0.18,0.42,0.58,0.77,0.13,0.92,0.07,0.76,0.13,0.6,0.07
0.76,0.59,0.44,0.1,0.3,0.12,0.73,0.07,0.34,0.1,0.54,0.66,0.34,0.19,0.73,0.65,0.18,1.0,0.0,0.74,0.18,0.97,0.0
0.73,0.58,0.43,0.23,0.28,0.19,0.74,0.19,0.35,0.19,0.54,0.62,0.35,0.11,0.74,0.43,0.27,0.96,0.04,0.66,0.27,0.64,0.04
0.7,0.57,0.42,0.34,0.25,0.25,0.69,0.29,0.33,0.27,0.51,0.62,0.33,0.1,0.69,0.37,0.29,0.95,0.04,0.64,0.29,0.57,0.04
0.7,0.57,0.42,0.45,0.2,0.41,0.54,0.4,0.27,0.41,0.41,0.67,0.27,0.14,0.54,0.43,0.27,0.98,0.02,0.66,0.27,0.74,0.02
0.7,0.57,0.41,0.56,0.15,0.55,0.39,0.55,0.18,0.55,0.29,0.77,0.18,0.24,0.39,0.43,0.28,0.99,0.01,0.65,0.28,0.9,0.01
0.71,0.56,0.39,0.69,0.1,0.7,0.24,0.75,0.09,0.72,0.16,0.89,0.09,0.47,0.24,0.42,0.29,0.94,0.05,0.62,0.29,0.57,0.05
0.73,0.55,0.38,0.79,0.06,0.86,0.1,0.95,0.01,0.91,0.06,0.98,0.01,0.76,0.1,0.43,0.31,0.9,0.09,0.59,0.31,0.4,0.09
0.76,0.54,0.38,0.82,0.04,0.95,0.03,0.89,0.02,0.92,0.03,0.97,0.02,0.94,0.03,0.44,0.34,0.88,0.12,0.54,0.34,0.35,0.12
0.79,0.53,0.4,0.73,0.05,0.92,0.04,0.95,0.01,0.94,0.03,0.99,0.01,0.92,0.04,0.49,0.34,0.86,0.13,0.5,0.34,0.36,0.13
0.8,0.48,0.38,0.61,0.06,0.89,0.04,0.91,0.01,0.9,0.03,0.99,0.01,0.93,0.04,0.56,0.31,0.84,0.14,0.49,0.31,0.36,0.14
0.8,0.41,0.36,0.48,0.06,0.83,0.05,0.72,0.01,0.77,0.03,0.99,0.01,0.93,0.05,0.66,0.25,0.83,0.16,0.49,0.25,0.36,0.16
0.79,0.31,0.32,0.21,0.06,0.45,0.12,0.27,0.02,0.36,0.07,0.98,0.02,0.87,0.12,0.82,0.15,0.82,0.16,0.56,0.15,0.39,0.16
0.79,0.24,0.29,0.13,0.05,0.32,0.11,0.13,0.01,0.23,0.06,0.99,0.01,0.89,0.11,0.95,0.05,0.81,0.17,0.75,0.05,0.39,0.17
