ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.76,0.02,0.08,0.09,0.0,0.25,0.01,0.0,1.0,0.12,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.79,0.18,0.0,1.0,0.39,0.18
0.77,0.05,0.12,0.12,0.01,0.27,0.02,0.17,0.0,0.22,0.01,1.0,0.0,0.98,0.02,0.87,0.11,0.8,0.18,0.56,0.11,0.4,0.18
0.79,0.31,0.29,0.18,0.07,0.23,0.18,0.27,0.03,0.25,0.1,0.97,0.03,0.81,0.18,0.55,0.32,0.84,0.14,0.47,0.32,0.44,0.14
0.79,0.28,0.28,0.16,0.06,0.26,0.15,0.23,0.02,0.24,0.08,0.98,0.02,0.84,0.15,0.66,0.25,0.83,0.15,0.52,0.25,0.43,0.15
0.79,0.38,0.32,0.41,0.06,0.49,0.15,0.7,0.01,0.59,0.08,0.98,0.01,0.83,0.15,0.5,0.36,0.85,0.14,0.44,0.36,0.44,0.14
0.8,0.51,0.4,0.27,0.14,0.35,0.32,0.33,0.08,0.34,0.2,0.92,0.08,0.61,0.32,0.58,0.27,0.89,0.1,0.57,0.27,0.52,0.1
0.79,0.36,0.32,0.47,0.05,0.61,0.1,0.82,0.01,0.71,0.06,0.99,0.01,0.88,0.1,0.54,0.34,0.84,0.15,0.43,0.34,0.42,0.15
0.8,0.45,0.38,0.25,0.1,0.36,0.24,0.34,0.05,0.35,0.14,0.95,0.05,0.72,0.24,0.63,0.26,0.87,0.12,0.53,0.26,0.47,0.12
0.81,0.48,0.4,0.08,0.15,0.18,0.36,0.06,0.09,0.12,0.22,0.91,0.09,0.61,0.36,0.97,0.02,0.89,0.1,0.94,0.02,0.52,0.1
0.8,0.44,0.36,0.58,0.05,0.75,0.09,0.96,0.0,0.85,0.04,1.0,0.0,0.88,0.09,0.54,0.33,0.85,0.14,0.45,0.33,0.41,0.14
0.8,0.56,0.43,0.13,0.21,0.22,0.49,0.11,0.16,0.17,0.33,0.83,0.16,0.44,0.49,0.8,0.12,0.93,0.06,0.77,0.12,0.63,0.06
0.81,0.52,0.42,0.11,0.17,0.21,0.39,0.09,0.11,0.15,0.25,0.89,0.11,0.56,0.39,0.9,0.07,0.9,0.09,0.84,0.07,0.55,0.09
0.8,0.34,0.33,0.29,0.06,0.55,0.11,0.36,0.02,0.46,0.07,0.98,0.02,0.87,0.11,0.79,0.16,0.83,0.15,0.59,0.16,0.42,0.15
0.79,0.54,0.41,0.54,0.1,0.66,0.19,0.66,0.05,0.66,0.12,0.94,0.05,0.7,0.19,0.54,0.29,0.89,0.1,0.57,0.29,0.47,0.1
0.8,0.49,0.4,0.43,0.09,0.62,0.16,0.57,0.04,0.59,0.1,0.96,0.04,0.79,0.16,0.63,0.26,0.87,0.12,0.54,0.26,0.44,0.12
0.8,0.48,0.39,0.51,0.07,0.72,0.11,0.72,0.02,0.72,0.07,0.98,0.02,0.84,0.11,0.6,0.28,0.86,0.13,0.52,0.28,0.42,0.13
0.8,0.47,0.38,0.43,0.08,0.63,0.14,0.61,0.03,0.62,0.09,0.97,0.03,0.81,0.14,0.62,0.27,0.86,0.13,0.52,0.27,0.43,0.13
0.8,0.53,0.41,0.53,0.09,0.72,0.14,0.66,0.04,0.69,0.09,0.96,0.04,0.78,0.14,0.59,0.27,0.88,0.11,0.57,0.27,0.43,0.11
0.79,0.34,0.31,0.78,0.02,0.88,0.03,0.63,0.01,0.76,0.02,0.99,0.01,0.96,0.03,0.58,0.33,0.82,0.16,0.39,0.33,0.37,0.16
0.78,0.23,0.26,0.69,0.01,0.82,0.03,0.72,0.0,0.77,0.01,1.0,0.0,0.97,0.03,0.7,0.25,0.81,0.17,0.39,0.25,0.37,0.17
0.79,0.37,0.32,0.8,0.02,0.89,0.03,0.62,0.02,0.76,0.03,0.98,0.02,0.96,0.03,0.56,0.35,0.82,0.16,0.38,0.35,0.37,0.16
0.81,0.46,0.39,0.31,0.09,0.48,0.19,0.42,0.03,0.45,0.11,0.97,0.03,0.77,0.19,0.67,0.24,0.86,0.12,0.53,0.24,0.45,0.12
0.8,0.5,0.4,0.36,0.11,0.52,0.21,0.45,0.05,0.48,0.13,0.95,0.05,0.72,0.21,0.63,0.25,0.88,0.11,0.57,0.25,0.46,0.11
0.8,0.32,0.33,0.29,0.05,0.61,0.08,0.32,0.02,0.46,0.05,0.98,0.02,0.9,0.08,0.88,0.1,0.83,0.15,0.67,0.1,0.41,0.15
0.8,0.42,0.35,0.82,0.02,0.86,0.05,0.65,0.02,0.76,0.04,0.98,0.02,0.93,0.05,0.57,0.33,0.83,0.16,0.42,0.33,0.35,0.16
0.79,0.29,0.29,0.83,0.01,0.76,0.05,0.56,0.01,0.66,0.03,0.99,0.01,0.93,0.05,0.63,0.31,0.81,0.17,0.36,0.31,0.36,0.17
0.79,0.27,0.28,0.84,0.01,0.71,0.06,0.54,0.01,0.62,0.03,0.99,0.01,0.93,0.06,0.66,0.29,0.81,0.17,0.36,0.29,0.36,0.17
0.81,0.47,0.39,0.42,0.08,0.64,0.13,0.6,0.02,0.62,0.07,0.98,0.02,0.82,0.13,0.65,0.26,0.86,0.13,0.51,0.26,0.43,0.13
0.8,0.33,0.34,0.22,0.06,0.56,0.1,0.13,0.02,0.35,0.06,0.98,0.02,0.89,0.1,0.96,0.04,0.83,0.15,0.81,0.04,0.41,0.15
0.8,0.31,0.33,0.21,0.06,0.53,0.1,0.12,0.02,0.33,0.06,0.98,0.02,0.89,0.1,0.96,0.04,0.83,0.15,0.79,0.04,0.41,0.15
0.79,0.23,0.28,0.32,0.03,0.8,0.03,0.24,0.01,0.52,0.02,0.99,0.01,0.97,0.03,0.99,0.01,0.81,0.17,0.96,0.01,0.39,0.17
0.8,0.37,0.36,0.18,0.07,0.46,0.14,0.09,0.03,0.28,0.09,0.97,0.03,0.84,0.14,0.93,0.06,0.84,0.14,0.71,0.06,0.43,0.14
0.81,0.47,0.41,0.12,0.12,0.32,0.26,0.05,0.06,0.18,0.16,0.94,0.06,0.7,0.26,0.87,0.11,0.87,0.12,0.59,0.11,0.48,0.12
0.81,0.41,0.38,0.09,0.1,0.24,0.25,0.04,0.04,0.14,0.14,0.96,0.04,0.73,0.25,0.88,0.1,0.86,0.12,0.57,0.1,0.47,0.12
0.81,0.51,0.43,0.21,0.13,0.41,0.26,0.17,0.07,0.29,0.17,0.93,0.07,0.68,0.26,0.91,0.07,0.88,0.11,0.82,0.07,0.48,0.11
0.81,0.45,0.4,0.24,0.09,0.5,0.18,0.24,0.04,0.37,0.11,0.96,0.04,0.79,0.18,0.88,0.09,0.86,0.13,0.73,0.09,0.44,0.13
0.8,0.34,0.35,0.23,0.06,0.57,0.1,0.14,0.02,0.35,0.06,0.98,0.02,0.89,0.1,0.96,0.03,0.83,0.15,0.84,0.03,0.41,0.15
0.79,0.28,0.32,0.31,0.04,0.75,0.04,0.28,0.01,0.52,0.03,0.99,0.01,0.95,0.04,0.97,0.02,0.82,0.16,0.85,0.02,0.39,0.16
0.79,0.24,0.3,0.39,0.03,0.91,0.01,0.46,0.0,0.69,0.01,1.0,0.0,0.98,0.01,0.93,0.06,0.81,0.17,0.65,0.06,0.38,0.17
0.79,0.25,0.3,0.36,0.03,0.86,0.02,0.35,0.01,0.6,0.01,0.99,0.01,0.98,0.02,0.96,0.03,0.81,0.17,0.79,0.03,0.39,0.17
0.79,0.26,0.31,0.32,0.04,0.77,0.04,0.26,0.01,0.52,0.03,0.99,0.01,0.96,0.04,0.99,0.01,0.82,0.16,0.91,0.01,0.39,0.16
0.8,0.33,0.34,0.4,0.04,0.85,0.03,0.53,0.01,0.69,0.02,0.99,0.01,0.96,0.03,0.86,0.12,0.82,0.16,0.58,0.12,0.39,0.16
0.8,0.33,0.34,0.41,0.04,0.86,0.03,0.56,0.01,0.71,0.02,0.99,0.01,0.96,0.03,0.85,0.13,0.82,0.16,0.56,0.13,0.39,0.16
