ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.65,0.53,0.36,0.17,0.34,0.1,0.87,0.12,0.53,0.11,0.7,0.43,0.53,0.04,0.87,0.33,0.27,0.93,0.07,0.69,0.27,0.36,0.07
0.78,0.58,0.43,0.03,0.29,0.03,0.73,0.03,0.29,0.03,0.51,0.71,0.29,0.25,0.73,0.56,0.23,0.98,0.02,0.68,0.23,0.83,0.02
0.69,0.55,0.39,0.19,0.32,0.11,0.84,0.15,0.45,0.13,0.65,0.52,0.45,0.07,0.84,0.3,0.3,0.94,0.05,0.65,0.3,0.47,0.05
0.59,0.5,0.32,0.32,0.3,0.23,0.76,0.22,0.55,0.23,0.66,0.35,0.55,0.01,0.76,0.4,0.22,0.92,0.08,0.74,0.22,0.16,0.08
0.66,0.54,0.39,0.36,0.25,0.26,0.7,0.3,0.38,0.28,0.54,0.55,0.38,0.06,0.7,0.37,0.27,0.94,0.05,0.68,0.27,0.43,0.05
0.71,0.56,0.41,0.42,0.2,0.29,0.63,0.41,0.24,0.35,0.43,0.72,0.24,0.16,0.63,0.33,0.32,0.98,0.02,0.61,0.32,0.78,0.02
0.72,0.57,0.42,0.44,0.19,0.32,0.58,0.45,0.2,0.39,0.39,0.76,0.2,0.2,0.58,0.33,0.33,0.99,0.01,0.6,0.33,0.93,0.01
0.74,0.56,0.41,0.51,0.15,0.41,0.46,0.58,0.13,0.49,0.3,0.85,0.13,0.33,0.46,0.34,0.34,0.97,0.03,0.58,0.34,0.76,0.03
