ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.06,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.18,0.0,1.0,0.37,0.18
0.77,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.01,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.08,0.15,0.02,0.02,0.06,0.05,0.0,1.0,0.03,0.53,0.0,1.0,0.95,0.05,0.0,1.0,0.8,0.18,0.0,1.0,0.37,0.18
0.79,0.27,0.27,0.11,0.06,0.12,0.17,0.2,0.02,0.16,0.1,0.98,0.02,0.83,0.17,0.42,0.42,0.83,0.16,0.4,0.42,0.4,0.16
0.8,0.52,0.39,0.22,0.16,0.16,0.44,0.31,0.09,0.23,0.27,0.9,0.09,0.52,0.44,0.3,0.43,0.91,0.08,0.47,0.43,0.55,0.08
0.8,0.46,0.36,0.33,0.1,0.28,0.29,0.56,0.04,0.42,0.16,0.96,0.04,0.67,0.29,0.34,0.45,0.87,0.12,0.42,0.45,0.46,0.12
0.8,0.42,0.34,0.45,0.07,0.39,0.21,0.86,0.01,0.62,0.11,0.99,0.01,0.75,0.21,0.34,0.47,0.86,0.13,0.38,0.47,0.43,0.13
0.79,0.4,0.32,0.64,0.04,0.6,0.13,0.78,0.01,0.69,0.07,0.98,0.01,0.84,0.13,0.35,0.47,0.85,0.14,0.37,0.47,0.4,0.14
0.79,0.37,0.3,0.73,0.03,0.7,0.08,0.62,0.02,0.66,0.05,0.97,0.02,0.9,0.08,0.35,0.48,0.84,0.15,0.34,0.48,0.39,0.15
0.79,0.31,0.27,0.93,0.01,0.95,0.01,0.43,0.03,0.69,0.02,0.97,0.03,0.99,0.01,0.37,0.49,0.82,0.16,0.31,0.49,0.36,0.16
0.78,0.23,0.23,0.77,0.01,0.7,0.06,0.22,0.04,0.46,0.05,0.96,0.04,0.93,0.06,0.39,0.52,0.8,0.18,0.23,0.52,0.34,0.18
0.78,0.18,0.2,0.61,0.02,0.5,0.09,0.14,0.03,0.32,0.06,0.97,0.03,0.9,0.09,0.43,0.51,0.79,0.19,0.18,0.51,0.33,0.19
0.78,0.13,0.18,0.55,0.01,0.39,0.09,0.08,0.02,0.24,0.06,0.98,0.02,0.9,0.09,0.5,0.47,0.79,0.19,0.11,0.47,0.33,0.19
0.78,0.11,0.17,0.58,0.01,0.36,0.08,0.08,0.01,0.22,0.04,0.99,0.01,0.92,0.08,0.57,0.41,0.79,0.19,0.12,0.41,0.33,0.19
0.78,0.09,0.17,0.69,0.01,0.4,0.06,0.08,0.01,0.24,0.03,0.99,0.01,0.94,0.06,0.62,0.37,0.79,0.19,0.09,0.37,0.34,0.19
0.78,0.1,0.17,0.81,0.0,0.43,0.06,0.13,0.01,0.28,0.03,0.99,0.01,0.94,0.06,0.68,0.31,0.79,0.19,0.13,0.31,0.34,0.19
0.78,0.11,0.18,0.81,0.0,0.43,0.06,0.12,0.01,0.28,0.03,0.99,0.01,0.93,0.06,0.67,0.32,0.79,0.19,0.11,0.32,0.34,0.19
0.78,0.17,0.23,0.89,0.0,0.6,0.06,0.34,0.01,0.47,0.03,0.99,0.01,0.94,0.06,0.67,0.3,0.8,0.19,0.24,0.3,0.34,0.19
0.8,0.3,0.3,0.63,0.02,0.95,0.01,0.72,0.01,0.83,0.01,0.99,0.01,0.99,0.01,0.61,0.32,0.81,0.17,0.35,0.32,0.35,0.17
0.81,0.47,0.4,0.49,0.06,0.77,0.08,0.78,0.01,0.78,0.04,0.99,0.01,0.88,0.08,0.6,0.3,0.85,0.14,0.46,0.3,0.37,0.14
0.79,0.57,0.43,0.46,0.13,0.7,0.18,0.48,0.09,0.59,0.14,0.9,0.09,0.68,0.18,0.63,0.22,0.9,0.1,0.65,0.22,0.42,0.1
0.74,0.58,0.43,0.46,0.17,0.7,0.24,0.38,0.21,0.54,0.22,0.76,0.21,0.48,0.24,0.68,0.16,0.93,0.06,0.77,0.16,0.48,0.06
0.69,0.56,0.42,0.45,0.21,0.68,0.29,0.33,0.33,0.51,0.31,0.6,0.33,0.25,0.29,0.72,0.12,0.98,0.02,0.82,0.12,0.7,0.02
0.6,0.52,0.37,0.47,0.23,0.7,0.29,0.3,0.47,0.5,0.38,0.41,0.47,0.13,0.29,0.76,0.09,1.0,0.0,0.87,0.09,0.93,0.0
0.57,0.5,0.34,0.46,0.24,0.71,0.29,0.28,0.54,0.49,0.42,0.32,0.54,0.09,0.29,0.8,0.07,1.0,0.0,0.9,0.07,1.0,0.0
0.54,0.49,0.33,0.46,0.25,0.72,0.27,0.27,0.59,0.49,0.43,0.25,0.59,0.07,0.27,0.83,0.06,1.0,0.0,0.92,0.06,0.94,0.0
0.53,0.48,0.32,0.46,0.25,0.76,0.24,0.26,0.63,0.51,0.43,0.2,0.63,0.06,0.24,0.88,0.04,1.0,0.0,0.95,0.04,0.99,0.0
0.54,0.49,0.32,0.41,0.28,0.72,0.28,0.22,0.65,0.47,0.47,0.21,0.65,0.06,0.28,0.96,0.01,1.0,0.0,0.98,0.01,0.98,0.0
0.6,0.51,0.35,0.31,0.31,0.6,0.38,0.15,0.63,0.38,0.51,0.29,0.63,0.08,0.38,0.91,0.03,1.0,0.0,0.95,0.03,0.95,0.0
