ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.77,0.1,0.12,0.54,0.01,0.5,0.05,0.16,0.02,0.33,0.04,0.98,0.02,0.95,0.05,0.38,0.52,0.79,0.19,0.23,0.52,0.35,0.19
0.77,0.07,0.12,0.61,0.01,0.6,0.02,0.07,0.01,0.33,0.01,0.99,0.01,0.98,0.02,0.37,0.6,0.79,0.19,0.08,0.6,0.35,0.19
0.78,0.34,0.28,0.76,0.02,0.99,0.0,0.78,0.01,0.89,0.01,0.99,0.01,1.0,0.0,0.48,0.36,0.82,0.16,0.45,0.36,0.35,0.16
0.77,0.04,0.13,0.32,0.0,0.76,0.01,0.0,1.0,0.38,0.51,0.0,1.0,0.99,0.01,0.0,1.0,0.79,0.19,0.0,1.0,0.36,0.19
0.78,0.1,0.18,0.57,0.01,0.93,0.0,0.35,0.0,0.64,0.0,1.0,0.0,1.0,0.0,0.59,0.38,0.8,0.18,0.16,0.38,0.36,0.18
0.79,0.26,0.27,0.72,0.02,0.88,0.02,0.64,0.01,0.76,0.01,0.99,0.01,0.97,0.02,0.57,0.35,0.81,0.17,0.36,0.35,0.34,0.17
