ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.56,0.72,0.13,0.99,0.0,0.0,1.0,0.97,0.03,0.48,0.52,0.26,0.03,0.0,1.0,0.83,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.6,0.73,0.24,0.95,0.02,1.0,0.0,0.82,0.17,0.91,0.09,0.12,0.17,0.79,0.0,0.9,0.06,0.55,0.41,0.86,0.06,0.17,0.41
0.62,0.73,0.25,0.93,0.03,0.97,0.03,0.79,0.2,0.88,0.12,0.27,0.2,0.48,0.03,0.91,0.06,0.76,0.2,0.86,0.06,0.48,0.2
0.63,0.73,0.27,0.91,0.04,0.94,0.06,0.74,0.24,0.84,0.15,0.29,0.24,0.38,0.06,0.92,0.05,0.81,0.15,0.88,0.05,0.59,0.15
0.63,0.73,0.27,0.91,0.05,0.94,0.06,0.73,0.25,0.83,0.15,0.27,0.25,0.38,0.06,0.93,0.05,0.79,0.17,0.89,0.05,0.56,0.17
0.63,0.73,0.26,0.91,0.04,0.94,0.06,0.73,0.24,0.83,0.15,0.27,0.24,0.35,0.06,0.92,0.05,0.82,0.14,0.88,0.05,0.61,0.14
0.63,0.73,0.26,0.91,0.05,0.94,0.06,0.73,0.25,0.83,0.15,0.24,0.25,0.32,0.06,0.92,0.05,0.81,0.15,0.89,0.05,0.6,0.15
0.63,0.73,0.26,0.91,0.05,0.94,0.06,0.73,0.25,0.83,0.15,0.24,0.25,0.32,0.06,0.92,0.05,0.81,0.15,0.89,0.05,0.6,0.15
0.63,0.73,0.27,0.91,0.05,0.94,0.06,0.73,0.25,0.83,0.15,0.24,0.25,0.33,0.06,0.93,0.05,0.81,0.15,0.89,0.05,0.58,0.15
0.63,0.74,0.27,0.91,0.05,0.94,0.06,0.72,0.25,0.83,0.15,0.24,0.25,0.33,0.06,0.93,0.05,0.81,0.15,0.89,0.05,0.58,0.15
0.63,0.74,0.27,0.91,0.05,0.94,0.06,0.72,0.25,0.83,0.15,0.24,0.25,0.33,0.06,0.93,0.05,0.81,0.15,0.89,0.05,0.58,0.15
0.63,0.74,0.27,0.9,0.05,0.94,0.06,0.72,0.26,0.83,0.16,0.24,0.26,0.32,0.06,0.93,0.04,0.81,0.15,0.89,0.04,0.59,0.15
0.63,0.74,0.27,0.9,0.05,0.94,0.06,0.72,0.26,0.83,0.16,0.24,0.26,0.32,0.06,0.93,0.04,0.81,0.15,0.89,0.04,0.59,0.15
0.63,0.73,0.27,0.9,0.05,0.93,0.06,0.72,0.26,0.82,0.16,0.24,0.26,0.31,0.06,0.93,0.05,0.81,0.15,0.89,0.05,0.6,0.15
0.63,0.74,0.27,0.9,0.05,0.93,0.06,0.72,0.25,0.82,0.15,0.25,0.25,0.31,0.06,0.93,0.05,0.83,0.13,0.89,0.05,0.63,0.13
0.63,0.74,0.27,0.9,0.05,0.93,0.06,0.72,0.25,0.82,0.15,0.25,0.25,0.31,0.06,0.93,0.05,0.83,0.13,0.89,0.05,0.63,0.13
0.63,0.74,0.27,0.9,0.05,0.93,0.06,0.72,0.25,0.82,0.15,0.25,0.25,0.31,0.06,0.93,0.05,0.83,0.13,0.89,0.05,0.63,0.13
0.63,0.74,0.27,0.9,0.05,0.93,0.06,0.72,0.25,0.82,0.15,0.25,0.25,0.31,0.06,0.93,0.05,0.83,0.13,0.89,0.05,0.63,0.13
0.63,0.74,0.27,0.9,0.05,0.93,0.06,0.72,0.25,0.82,0.15,0.25,0.25,0.31,0.06,0.93,0.05,0.83,0.13,0.89,0.05,0.63,0.13
0.63,0.74,0.27,0.9,0.05,0.93,0.06,0.72,0.25,0.82,0.15,0.25,0.25,0.31,0.06,0.93,0.05,0.83,0.13,0.89,0.05,0.63,0.13
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
0.63,0.73,0.27,0.9,0.05,0.93,0.07,0.72,0.25,0.82,0.16,0.25,0.25,0.3,0.07,0.92,0.05,0.84,0.12,0.89,0.05,0.64,0.12
