ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.48,0.54,-0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.57,0.29,0.0,1.0,0.54,0.29
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.6,0.73,0.23,0.95,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.56,0.41,0.21,0.12,0.29,0.12,0.51,0.03,0.32,0.07,0.42,0.68,0.32,0.45,0.51,0.85,0.13,0.97,0.01,0.49,0.13,0.97,0.01
0.55,0.4,0.2,0.09,0.3,0.09,0.54,0.02,0.33,0.06,0.44,0.67,0.33,0.43,0.54,0.85,0.13,0.99,0.01,0.5,0.13,0.99,0.01
0.59,0.5,0.25,0.13,0.34,0.12,0.68,0.03,0.45,0.07,0.57,0.55,0.45,0.24,0.68,0.85,0.13,0.86,0.09,0.52,0.13,0.82,0.09
0.61,0.59,0.26,0.26,0.33,0.24,0.69,0.08,0.64,0.16,0.67,0.33,0.64,0.12,0.69,0.84,0.13,0.8,0.14,0.6,0.13,0.7,0.14
0.64,0.67,0.27,0.49,0.25,0.46,0.54,0.2,0.72,0.33,0.63,0.12,0.72,0.02,0.54,0.89,0.08,0.7,0.26,0.77,0.08,0.37,0.26
0.64,0.7,0.28,0.59,0.2,0.57,0.42,0.26,0.72,0.41,0.57,0.05,0.72,0.02,0.42,0.89,0.08,0.94,0.04,0.8,0.08,0.89,0.04
0.65,0.73,0.29,0.79,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.98,0.01,0.0,1.0,0.97,0.01,0.0,1.0
0.64,0.74,0.29,0.87,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.02,0.0,1.0,0.95,0.02,0.0,1.0
0.6,0.73,0.22,0.94,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.61,0.73,0.23,0.92,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.05,0.0,1.0,0.88,0.05,0.0,1.0
0.6,0.73,0.23,0.93,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.87,0.06,0.0,1.0
0.63,0.74,0.28,0.88,0.06,0.92,0.08,0.66,0.33,0.79,0.21,0.06,0.33,0.08,0.08,0.95,0.03,0.84,0.13,0.93,0.03,0.61,0.13
0.69,0.74,0.36,0.75,0.12,0.76,0.22,0.45,0.41,0.6,0.32,0.38,0.41,0.21,0.22,0.98,0.02,0.96,0.03,0.95,0.02,0.91,0.03
0.65,0.65,0.32,0.53,0.19,0.51,0.4,0.28,0.37,0.4,0.39,0.57,0.37,0.32,0.4,0.96,0.03,0.95,0.03,0.9,0.03,0.93,0.03
0.62,0.55,0.29,0.45,0.19,0.44,0.36,0.22,0.27,0.33,0.32,0.71,0.27,0.5,0.36,0.95,0.04,0.95,0.03,0.83,0.04,0.94,0.03
0.63,0.59,0.32,0.45,0.2,0.44,0.39,0.22,0.28,0.33,0.34,0.69,0.28,0.43,0.39,0.95,0.04,1.0,0.0,0.83,0.04,0.99,0.0
0.65,0.65,0.3,0.44,0.25,0.42,0.52,0.17,0.55,0.29,0.54,0.38,0.55,0.17,0.52,0.89,0.08,0.87,0.09,0.74,0.08,0.8,0.09
0.63,0.64,0.26,0.37,0.31,0.34,0.65,0.11,0.79,0.23,0.72,0.11,0.79,0.02,0.65,0.83,0.13,0.66,0.29,0.63,0.13,0.33,0.29
0.62,0.64,0.25,0.33,0.33,0.0,1.0,0.07,0.91,0.04,0.96,0.02,0.91,0.0,1.0,0.76,0.2,0.0,1.0,0.47,0.2,0.0,1.0
0.58,0.57,0.17,0.16,0.42,0.0,1.0,0.02,0.97,0.01,0.98,0.01,0.97,0.0,1.0,0.72,0.24,0.0,1.0,0.36,0.24,0.0,1.0
0.55,0.51,0.13,0.03,0.48,0.0,1.0,0.0,0.98,0.0,0.99,0.02,0.98,0.0,1.0,0.69,0.29,0.0,1.0,0.24,0.29,0.0,1.0
0.54,0.51,0.11,0.02,0.49,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.21,0.0,1.0,0.44,0.21,0.0,1.0
0.55,0.52,0.12,0.04,0.48,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.2,0.0,1.0,0.46,0.2,0.0,1.0
0.64,0.68,0.27,0.5,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.12,0.0,1.0,0.67,0.12,0.0,1.0
0.66,0.74,0.32,0.8,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.02,0.0,1.0,0.95,0.02,0.0,1.0
0.62,0.74,0.26,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.93,0.04,0.0,1.0,0.9,0.04,0.0,1.0
0.65,0.74,0.31,0.83,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.99,0.0,0.0,1.0,0.99,0.0,0.0,1.0
0.64,0.69,0.28,0.53,0.23,0.0,1.0,0.2,0.8,0.1,0.9,0.01,0.8,0.0,1.0,0.85,0.11,0.0,1.0,0.71,0.11,0.0,1.0
0.6,0.59,0.21,0.22,0.39,0.21,0.79,0.04,0.91,0.12,0.85,0.05,0.91,0.01,0.79,0.75,0.21,0.67,0.26,0.42,0.21,0.43,0.26
0.62,0.61,0.26,0.24,0.36,0.22,0.77,0.05,0.78,0.14,0.78,0.19,0.78,0.02,0.77,0.78,0.19,0.63,0.32,0.44,0.19,0.3,0.32
0.64,0.65,0.27,0.38,0.3,0.35,0.64,0.11,0.78,0.23,0.71,0.14,0.78,0.02,0.64,0.82,0.14,0.65,0.31,0.61,0.14,0.28,0.31
0.63,0.63,0.28,0.29,0.34,0.27,0.71,0.06,0.73,0.17,0.72,0.23,0.73,0.03,0.71,0.79,0.18,0.64,0.31,0.47,0.18,0.31,0.31
0.64,0.65,0.29,0.4,0.28,0.37,0.59,0.14,0.65,0.26,0.62,0.27,0.65,0.1,0.59,0.86,0.11,0.81,0.13,0.66,0.11,0.69,0.13
0.66,0.69,0.31,0.49,0.25,0.47,0.53,0.18,0.69,0.32,0.61,0.18,0.69,0.02,0.53,0.87,0.1,0.67,0.29,0.72,0.1,0.26,0.29
0.67,0.75,0.34,0.81,0.09,0.0,1.0,0.5,0.48,0.25,0.74,0.05,0.48,0.0,1.0,0.97,0.02,0.0,1.0,0.95,0.02,0.0,1.0
0.6,0.73,0.21,0.93,0.03,0.0,1.0,0.8,0.2,0.4,0.6,0.03,0.2,0.0,1.0,0.89,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.65,0.75,0.32,0.85,0.08,0.0,1.0,0.57,0.42,0.28,0.71,0.05,0.42,0.0,1.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0
0.64,0.74,0.3,0.89,0.06,0.0,1.0,0.66,0.33,0.33,0.67,0.05,0.33,0.0,1.0,0.96,0.03,0.0,1.0,0.94,0.03,0.0,1.0
0.59,0.73,0.21,0.95,0.02,0.0,1.0,0.85,0.15,0.42,0.57,0.1,0.15,0.0,1.0,0.88,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.57,0.72,0.14,0.98,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.14,0.07,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.61,0.73,0.25,0.97,0.02,0.98,0.02,0.9,0.09,0.94,0.06,0.53,0.09,0.25,0.02,0.86,0.09,0.97,0.03,0.8,0.09,0.78,0.03
0.67,0.74,0.34,0.92,0.03,0.86,0.12,0.75,0.14,0.8,0.13,0.76,0.14,0.5,0.12,0.83,0.13,0.77,0.18,0.66,0.13,0.55,0.18
0.64,0.68,0.26,0.71,0.12,0.58,0.37,0.5,0.27,0.54,0.32,0.63,0.27,0.27,0.37,0.83,0.13,0.62,0.29,0.66,0.13,0.44,0.29
0.6,0.64,0.2,0.45,0.24,0.33,0.61,0.25,0.44,0.29,0.53,0.49,0.44,0.14,0.61,0.8,0.15,0.53,0.37,0.6,0.15,0.35,0.37
0.66,0.68,0.31,0.76,0.09,0.62,0.31,0.64,0.15,0.63,0.23,0.8,0.15,0.39,0.31,0.89,0.09,0.64,0.27,0.74,0.09,0.49,0.27
0.68,0.7,0.35,0.68,0.14,0.68,0.28,0.4,0.34,0.54,0.31,0.55,0.34,0.34,0.28,0.98,0.01,0.99,0.0,0.96,0.01,0.99,0.0
0.64,0.66,0.28,0.43,0.28,0.4,0.6,0.15,0.75,0.28,0.68,0.14,0.75,0.02,0.6,0.85,0.11,0.66,0.29,0.68,0.11,0.3,0.29
0.67,0.73,0.34,0.65,0.18,0.0,1.0,0.28,0.71,0.14,0.85,0.02,0.71,0.0,1.0,0.86,0.1,0.0,1.0,0.74,0.1,0.0,1.0
0.64,0.74,0.31,0.87,0.07,0.0,1.0,0.62,0.38,0.31,0.69,0.04,0.38,0.0,1.0,0.97,0.02,0.0,1.0,0.96,0.02,0.0,1.0
