ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.57,0.73,0.05,1.0,0.0,1.0,0.0,0.99,0.01,0.99,0.01,0.69,0.01,0.51,0.0,0.83,0.11,0.83,0.12,0.76,0.11,0.67,0.12
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.58,0.73,0.1,0.99,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.78,0.1,0.0,1.0
0.63,0.75,0.25,0.91,0.05,0.0,1.0,0.73,0.27,0.36,0.64,0.05,0.27,0.0,1.0,0.92,0.05,0.0,1.0,0.87,0.05,0.0,1.0
0.64,0.74,0.25,0.83,0.08,0.82,0.18,0.62,0.35,0.72,0.27,0.21,0.35,0.09,0.18,0.94,0.04,0.9,0.07,0.9,0.04,0.78,0.07
0.65,0.74,0.28,0.83,0.08,0.81,0.18,0.61,0.34,0.71,0.26,0.3,0.34,0.14,0.18,0.94,0.04,0.91,0.06,0.9,0.04,0.81,0.06
0.65,0.74,0.28,0.83,0.08,0.82,0.17,0.61,0.34,0.71,0.26,0.26,0.34,0.13,0.17,0.95,0.04,0.92,0.06,0.9,0.04,0.83,0.06
0.66,0.74,0.28,0.83,0.08,0.81,0.18,0.62,0.32,0.72,0.25,0.33,0.32,0.15,0.18,0.94,0.04,0.91,0.07,0.89,0.04,0.8,0.07
0.66,0.74,0.28,0.83,0.08,0.81,0.18,0.62,0.31,0.72,0.24,0.37,0.31,0.18,0.18,0.94,0.04,0.92,0.06,0.88,0.04,0.83,0.06
0.66,0.74,0.28,0.82,0.08,0.8,0.19,0.61,0.31,0.71,0.25,0.37,0.31,0.19,0.19,0.94,0.04,0.93,0.05,0.89,0.04,0.86,0.05
0.66,0.74,0.29,0.82,0.08,0.8,0.19,0.61,0.32,0.71,0.26,0.37,0.32,0.19,0.19,0.94,0.04,0.93,0.05,0.89,0.04,0.86,0.05
0.66,0.74,0.29,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.4,0.3,0.18,0.19,0.93,0.05,0.91,0.07,0.88,0.05,0.81,0.07
0.66,0.74,0.29,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.93,0.05,0.9,0.07,0.87,0.05,0.79,0.07
0.66,0.74,0.29,0.82,0.08,0.8,0.19,0.62,0.31,0.71,0.25,0.4,0.31,0.18,0.19,0.94,0.04,0.91,0.07,0.88,0.04,0.8,0.07
0.66,0.74,0.29,0.82,0.08,0.8,0.19,0.62,0.31,0.71,0.25,0.4,0.31,0.18,0.19,0.94,0.04,0.91,0.07,0.88,0.04,0.8,0.07
0.66,0.74,0.29,0.82,0.08,0.8,0.19,0.62,0.31,0.71,0.25,0.4,0.31,0.18,0.19,0.94,0.04,0.91,0.07,0.88,0.04,0.8,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
0.66,0.74,0.3,0.82,0.08,0.8,0.19,0.62,0.3,0.71,0.24,0.41,0.3,0.18,0.19,0.94,0.04,0.9,0.07,0.88,0.04,0.78,0.07
