ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.5,0.24,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.04,0.0,1.0,0.93,0.04
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.54,0.45,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.17,0.0,1.0,0.68,0.17
0.55,0.51,0.14,0.11,0.44,0.09,0.89,0.03,0.96,0.06,0.93,0.02,0.96,0.02,0.89,0.79,0.17,0.86,0.07,0.55,0.17,0.88,0.07
0.65,0.72,0.27,0.74,0.13,0.73,0.27,0.43,0.56,0.58,0.42,0.02,0.56,0.01,0.27,0.97,0.02,0.99,0.01,0.94,0.02,0.98,0.01
0.46,0.07,0.05,0.32,0.04,0.35,0.04,0.27,0.03,0.31,0.04,0.97,0.03,0.95,0.04,0.94,0.04,0.78,0.1,0.88,0.04,0.83,0.1
0.61,0.73,0.22,0.98,0.01,0.96,0.04,0.92,0.07,0.94,0.06,0.67,0.07,0.27,0.04,0.83,0.11,0.78,0.2,0.75,0.11,0.34,0.2
0.64,0.67,0.28,0.82,0.07,0.71,0.21,0.66,0.14,0.69,0.17,0.8,0.14,0.55,0.21,0.86,0.11,0.71,0.2,0.69,0.11,0.62,0.2
0.59,0.56,0.21,0.21,0.38,0.18,0.79,0.04,0.83,0.11,0.81,0.14,0.83,0.04,0.79,0.77,0.19,0.73,0.19,0.44,0.19,0.6,0.19
0.63,0.66,0.26,0.49,0.25,0.45,0.54,0.19,0.73,0.32,0.64,0.12,0.73,0.05,0.54,0.88,0.09,0.84,0.11,0.75,0.09,0.75,0.11
0.66,0.73,0.3,0.74,0.13,0.74,0.25,0.44,0.51,0.59,0.38,0.14,0.51,0.09,0.25,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.57,0.55,0.17,0.18,0.41,0.16,0.83,0.04,0.94,0.1,0.89,0.02,0.94,0.01,0.83,0.76,0.2,0.97,0.01,0.45,0.2,0.97,0.01
0.63,0.74,0.26,0.89,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.95,0.03,0.0,1.0,0.92,0.03,0.0,1.0
0.65,0.69,0.28,0.58,0.21,0.57,0.43,0.25,0.74,0.41,0.58,0.03,0.74,0.03,0.43,0.88,0.09,0.81,0.11,0.77,0.09,0.77,0.11
0.67,0.69,0.33,0.62,0.17,0.59,0.37,0.32,0.46,0.45,0.42,0.41,0.46,0.19,0.37,0.95,0.04,0.89,0.07,0.88,0.04,0.81,0.07
0.67,0.71,0.32,0.97,0.01,0.99,0.01,0.96,0.02,0.97,0.01,0.97,0.02,0.97,0.01,0.86,0.1,0.87,0.09,0.71,0.1,0.79,0.09
0.58,0.51,0.21,0.17,0.37,0.14,0.76,0.05,0.61,0.1,0.69,0.36,0.61,0.13,0.76,0.88,0.09,0.79,0.14,0.69,0.09,0.73,0.14
0.67,0.72,0.33,0.7,0.14,0.68,0.3,0.39,0.49,0.54,0.4,0.29,0.49,0.13,0.3,0.96,0.03,0.88,0.08,0.92,0.03,0.76,0.08
0.59,0.52,0.26,0.87,0.03,0.73,0.12,0.88,0.02,0.8,0.07,0.98,0.02,0.83,0.12,0.94,0.05,0.74,0.15,0.82,0.05,0.74,0.15
0.56,0.45,0.21,0.08,0.37,0.06,0.74,0.03,0.47,0.04,0.6,0.52,0.47,0.22,0.74,0.93,0.05,0.82,0.11,0.8,0.05,0.79,0.11
0.64,0.63,0.3,0.9,0.03,0.77,0.14,0.88,0.03,0.82,0.09,0.96,0.03,0.75,0.14,0.93,0.06,0.73,0.17,0.8,0.06,0.69,0.17
0.57,0.53,0.19,0.16,0.4,0.13,0.83,0.04,0.77,0.09,0.8,0.21,0.77,0.06,0.83,0.84,0.13,0.72,0.19,0.62,0.13,0.61,0.19
0.55,0.48,0.16,0.06,0.44,0.05,0.9,0.02,0.78,0.04,0.84,0.21,0.78,0.06,0.9,0.84,0.13,0.71,0.2,0.62,0.13,0.61,0.2
0.67,0.7,0.34,0.87,0.05,0.89,0.08,0.79,0.09,0.84,0.08,0.87,0.09,0.76,0.08,0.92,0.06,0.89,0.07,0.8,0.06,0.83,0.07
0.58,0.49,0.25,0.19,0.32,0.16,0.66,0.07,0.4,0.12,0.53,0.58,0.4,0.25,0.66,0.93,0.05,0.84,0.1,0.78,0.05,0.8,0.1
0.62,0.71,0.21,0.72,0.13,0.63,0.36,0.43,0.44,0.53,0.4,0.34,0.44,0.09,0.36,0.76,0.18,0.59,0.35,0.58,0.18,0.29,0.35
0.64,0.63,0.29,0.44,0.25,0.41,0.54,0.18,0.56,0.29,0.55,0.36,0.56,0.15,0.54,0.9,0.07,0.84,0.1,0.76,0.07,0.76,0.1
0.56,0.45,0.21,0.31,0.16,0.21,0.36,0.35,0.11,0.28,0.23,0.88,0.11,0.61,0.36,0.98,0.01,0.66,0.2,0.95,0.01,0.68,0.2
0.55,0.61,0.07,0.14,0.4,0.09,0.88,0.04,0.75,0.07,0.81,0.22,0.75,0.04,0.88,0.7,0.25,0.45,0.47,0.42,0.25,0.23,0.47
0.62,0.58,0.3,0.53,0.17,0.54,0.31,0.28,0.29,0.41,0.3,0.68,0.29,0.51,0.31,0.95,0.04,0.93,0.04,0.85,0.04,0.92,0.04
0.65,0.73,0.29,0.88,0.05,0.83,0.15,0.64,0.24,0.73,0.2,0.57,0.24,0.33,0.15,0.8,0.15,0.75,0.2,0.62,0.15,0.51,0.2
0.58,0.59,0.17,0.12,0.35,0.08,0.76,0.05,0.48,0.07,0.62,0.51,0.48,0.19,0.76,0.8,0.16,0.53,0.33,0.55,0.16,0.46,0.33
0.53,0.63,0.02,0.35,0.32,0.27,0.73,0.11,0.83,0.19,0.78,0.07,0.83,0.01,0.73,0.66,0.27,0.49,0.44,0.41,0.27,0.24,0.44
0.66,0.66,0.35,0.61,0.16,0.58,0.34,0.37,0.29,0.47,0.32,0.65,0.29,0.36,0.34,1.0,0.0,0.94,0.04,0.99,0.0,0.91,0.04
0.66,0.73,0.31,0.9,0.04,0.85,0.13,0.69,0.19,0.77,0.16,0.67,0.19,0.46,0.13,0.81,0.14,0.77,0.17,0.64,0.14,0.58,0.17
0.61,0.61,0.24,0.34,0.24,0.25,0.57,0.18,0.33,0.21,0.45,0.64,0.33,0.3,0.57,0.82,0.14,0.58,0.29,0.57,0.14,0.52,0.29
0.56,0.6,0.12,0.07,0.41,0.04,0.87,0.02,0.63,0.03,0.75,0.36,0.63,0.09,0.87,0.73,0.23,0.48,0.41,0.42,0.23,0.34,0.41
0.56,0.68,0.07,0.65,0.18,0.0,1.0,0.32,0.65,0.16,0.82,0.05,0.65,0.0,1.0,0.7,0.22,0.0,1.0,0.53,0.22,0.0,1.0
0.54,0.61,0.06,0.17,0.39,0.12,0.86,0.05,0.77,0.08,0.81,0.2,0.77,0.03,0.86,0.68,0.26,0.46,0.46,0.39,0.26,0.24,0.46
0.59,0.62,0.17,0.23,0.33,0.16,0.74,0.09,0.53,0.12,0.64,0.44,0.53,0.14,0.74,0.76,0.19,0.52,0.37,0.49,0.19,0.4,0.37
0.6,0.66,0.18,0.46,0.24,0.35,0.61,0.22,0.54,0.28,0.57,0.37,0.54,0.1,0.61,0.76,0.19,0.53,0.39,0.54,0.19,0.32,0.39
0.6,0.73,0.18,0.91,0.04,0.92,0.08,0.7,0.28,0.81,0.18,0.17,0.28,0.05,0.08,0.76,0.16,0.76,0.22,0.65,0.16,0.27,0.22
