ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.59,0.53,0.23,0.25,0.31,0.24,0.58,0.08,0.55,0.16,0.56,0.42,0.55,0.29,0.58,0.87,0.1,0.91,0.05,0.68,0.1,0.9,0.05
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.59,0.72,0.19,0.94,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.56,0.42,0.21,0.04,0.36,0.03,0.67,0.01,0.41,0.02,0.54,0.59,0.41,0.31,0.67,0.91,0.08,0.97,0.02,0.7,0.08,0.96,0.02
0.6,0.72,0.22,0.92,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.64,0.72,0.28,0.78,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.96,0.03,0.0,1.0,0.93,0.03,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.69,0.7,0.38,0.59,0.18,0.6,0.35,0.29,0.43,0.44,0.39,0.48,0.43,0.25,0.35,0.95,0.03,0.98,0.02,0.88,0.03,0.96,0.02
0.68,0.7,0.35,0.55,0.22,0.56,0.43,0.22,0.65,0.39,0.54,0.2,0.65,0.08,0.43,0.89,0.08,0.89,0.08,0.77,0.08,0.78,0.08
0.57,0.44,0.23,0.05,0.36,0.05,0.68,0.01,0.42,0.03,0.55,0.58,0.42,0.29,0.68,0.85,0.13,0.95,0.03,0.49,0.13,0.94,0.03
0.63,0.73,0.28,0.87,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.91,0.05,0.0,1.0,0.87,0.05,0.0,1.0
0.67,0.72,0.32,0.64,0.18,0.65,0.34,0.29,0.67,0.47,0.51,0.06,0.67,0.04,0.34,0.93,0.05,0.94,0.04,0.86,0.05,0.9,0.04
0.63,0.57,0.31,0.32,0.27,0.32,0.52,0.09,0.44,0.21,0.48,0.54,0.44,0.31,0.52,0.86,0.11,0.99,0.0,0.58,0.11,0.99,0.0
0.58,0.47,0.24,0.08,0.36,0.08,0.7,0.01,0.47,0.04,0.58,0.53,0.47,0.26,0.7,0.8,0.19,0.93,0.04,0.3,0.19,0.92,0.04
0.66,0.67,0.33,0.43,0.27,0.43,0.54,0.13,0.71,0.28,0.62,0.21,0.71,0.07,0.54,0.85,0.12,0.84,0.11,0.63,0.12,0.71,0.11
0.67,0.72,0.33,0.64,0.18,0.65,0.35,0.3,0.65,0.47,0.5,0.11,0.65,0.05,0.35,0.93,0.05,0.93,0.05,0.86,0.05,0.85,0.05
0.62,0.58,0.28,0.21,0.36,0.2,0.72,0.04,0.64,0.12,0.68,0.34,0.64,0.12,0.72,0.79,0.18,0.83,0.12,0.4,0.18,0.74,0.12
0.64,0.73,0.29,0.84,0.08,0.0,1.0,0.58,0.41,0.29,0.7,0.03,0.41,0.0,1.0,0.94,0.04,0.0,1.0,0.9,0.04,0.0,1.0
