ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.38,0.19,0.0,0.34,0.0,0.6,0.0,1.0,0.0,0.8,0.0,1.0,0.4,0.6,0.0,1.0,0.99,0.01,0.0,1.0,0.99,0.01
0.59,0.71,0.2,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.58,0.48,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.15,0.0,1.0,0.69,0.15
0.59,0.54,0.2,0.1,0.44,0.09,0.9,0.01,0.85,0.05,0.88,0.14,0.85,0.02,0.9,0.74,0.22,0.63,0.32,0.37,0.22,0.32,0.32
0.64,0.69,0.26,0.63,0.18,0.0,1.0,0.32,0.67,0.16,0.83,0.01,0.67,0.0,1.0,0.96,0.03,0.0,1.0,0.92,0.03,0.0,1.0
0.58,0.46,0.22,0.01,0.4,0.01,0.8,0.0,1.0,0.01,0.9,0.0,1.0,0.2,0.8,0.0,1.0,0.83,0.1,0.0,1.0,0.78,0.1
0.59,0.53,0.21,0.08,0.44,0.07,0.9,0.01,0.79,0.04,0.84,0.21,0.79,0.04,0.9,0.73,0.24,0.68,0.25,0.3,0.24,0.47,0.25
0.64,0.71,0.28,0.82,0.09,0.79,0.2,0.63,0.31,0.71,0.26,0.36,0.31,0.13,0.2,0.9,0.07,0.87,0.1,0.84,0.07,0.67,0.1
0.52,0.25,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.07,0.0,1.0,0.88,0.07
0.64,0.67,0.28,0.49,0.25,0.46,0.53,0.2,0.72,0.33,0.62,0.13,0.72,0.03,0.53,0.9,0.07,0.78,0.17,0.8,0.07,0.56,0.17
0.66,0.68,0.32,0.82,0.07,0.83,0.13,0.73,0.12,0.78,0.12,0.83,0.12,0.67,0.13,0.89,0.08,0.89,0.07,0.76,0.08,0.83,0.07
0.5,0.12,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.1,0.0,1.0,0.84,0.1
0.61,0.56,0.24,0.2,0.36,0.17,0.75,0.06,0.64,0.12,0.7,0.33,0.64,0.11,0.75,0.87,0.1,0.8,0.14,0.7,0.1,0.69,0.14
0.59,0.71,0.22,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.84,0.07,0.0,1.0
0.55,0.33,0.2,0.02,0.27,0.03,0.46,0.0,1.0,0.01,0.73,0.0,1.0,0.53,0.46,0.0,1.0,0.93,0.03,0.0,1.0,0.93,0.03
0.56,0.4,0.22,0.03,0.32,0.03,0.6,0.01,0.32,0.02,0.46,0.68,0.32,0.39,0.6,0.84,0.14,0.99,0.01,0.45,0.14,0.99,0.01
0.53,0.28,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.05,0.0,1.0,0.9,0.05
0.61,0.59,0.25,0.25,0.36,0.22,0.75,0.07,0.74,0.15,0.74,0.22,0.74,0.06,0.75,0.85,0.12,0.75,0.19,0.65,0.12,0.58,0.19
0.6,0.72,0.23,0.88,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.86,0.06,0.0,1.0
0.64,0.68,0.28,0.54,0.23,0.53,0.47,0.23,0.74,0.38,0.6,0.04,0.74,0.02,0.47,0.9,0.07,0.84,0.12,0.81,0.07,0.68,0.12
0.53,0.7,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.64,0.62,0.29,0.96,0.01,0.87,0.08,0.84,0.04,0.85,0.06,0.94,0.04,0.84,0.08,0.86,0.11,0.76,0.15,0.67,0.11,0.7,0.15
0.51,0.16,0.16,0.78,0.01,0.63,0.04,0.78,0.0,0.71,0.02,1.0,0.0,0.96,0.04,0.97,0.03,0.74,0.14,0.77,0.03,0.77,0.14
0.57,0.71,0.2,0.99,0.0,0.99,0.01,0.94,0.05,0.96,0.03,0.58,0.05,0.48,0.01,0.78,0.14,0.94,0.06,0.72,0.14,0.52,0.06
