ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.64,0.73,0.26,0.8,0.1,0.0,1.0,0.52,0.48,0.26,0.74,0.01,0.48,0.0,1.0,1.0,0.0,0.0,1.0,0.99,0.0,0.0,1.0
0.64,0.73,0.27,0.8,0.1,0.8,0.2,0.52,0.47,0.66,0.33,0.03,0.47,0.02,0.2,1.0,0.0,0.97,0.02,0.99,0.0,0.93,0.02
0.65,0.73,0.28,0.77,0.11,0.77,0.22,0.48,0.49,0.62,0.35,0.1,0.49,0.08,0.22,0.99,0.01,0.91,0.06,0.98,0.01,0.85,0.06
0.66,0.72,0.29,0.73,0.13,0.73,0.27,0.44,0.5,0.58,0.39,0.17,0.5,0.09,0.27,0.97,0.02,0.94,0.04,0.95,0.02,0.89,0.04
0.66,0.72,0.31,0.72,0.13,0.71,0.28,0.42,0.47,0.56,0.38,0.27,0.47,0.14,0.28,0.97,0.02,0.94,0.04,0.95,0.02,0.88,0.04
0.67,0.71,0.32,0.71,0.13,0.69,0.29,0.43,0.42,0.56,0.35,0.38,0.42,0.19,0.29,0.99,0.01,0.92,0.06,0.98,0.01,0.84,0.06
0.66,0.71,0.32,0.7,0.14,0.67,0.3,0.44,0.39,0.56,0.34,0.43,0.39,0.21,0.3,0.99,0.0,0.9,0.07,0.99,0.0,0.82,0.07
0.67,0.71,0.32,0.71,0.13,0.69,0.28,0.45,0.38,0.57,0.33,0.45,0.38,0.26,0.28,1.0,0.0,0.96,0.03,0.99,0.0,0.92,0.03
0.66,0.71,0.32,0.72,0.12,0.71,0.26,0.47,0.36,0.59,0.31,0.48,0.36,0.31,0.26,1.0,0.0,1.0,0.0,0.99,0.0,1.0,0.0
0.67,0.71,0.33,0.74,0.11,0.73,0.23,0.5,0.31,0.61,0.27,0.55,0.31,0.36,0.23,0.98,0.01,1.0,0.0,0.96,0.01,0.99,0.0
0.68,0.71,0.34,0.76,0.1,0.76,0.21,0.52,0.28,0.64,0.24,0.59,0.28,0.41,0.21,0.98,0.01,0.98,0.01,0.96,0.01,0.96,0.01
0.68,0.72,0.35,0.77,0.1,0.77,0.19,0.55,0.26,0.66,0.23,0.63,0.26,0.43,0.19,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.68,0.72,0.36,0.78,0.09,0.8,0.17,0.55,0.26,0.68,0.22,0.63,0.26,0.47,0.17,0.98,0.01,0.95,0.04,0.95,0.01,0.9,0.04
0.69,0.73,0.36,0.8,0.09,0.82,0.15,0.56,0.25,0.69,0.2,0.63,0.25,0.51,0.15,0.98,0.01,0.92,0.05,0.96,0.01,0.87,0.05
0.68,0.72,0.34,0.82,0.07,0.84,0.14,0.63,0.2,0.73,0.17,0.68,0.2,0.55,0.14,0.95,0.03,0.92,0.05,0.9,0.03,0.87,0.05
0.67,0.72,0.33,0.83,0.07,0.84,0.14,0.64,0.21,0.74,0.17,0.67,0.21,0.54,0.14,0.95,0.04,0.92,0.05,0.89,0.04,0.87,0.05
0.67,0.72,0.33,0.84,0.07,0.85,0.12,0.66,0.2,0.76,0.16,0.68,0.2,0.57,0.12,0.95,0.04,0.9,0.06,0.89,0.04,0.84,0.06
0.67,0.72,0.32,0.86,0.06,0.86,0.12,0.72,0.16,0.79,0.14,0.73,0.16,0.58,0.12,0.92,0.06,0.93,0.05,0.84,0.06,0.88,0.05
0.67,0.72,0.32,0.87,0.06,0.87,0.11,0.73,0.15,0.8,0.13,0.73,0.15,0.59,0.11,0.92,0.06,0.92,0.05,0.84,0.06,0.87,0.05
0.66,0.72,0.31,0.87,0.06,0.87,0.11,0.76,0.14,0.81,0.12,0.75,0.14,0.57,0.11,0.91,0.07,0.94,0.04,0.81,0.07,0.9,0.04
0.66,0.72,0.31,0.87,0.06,0.86,0.12,0.77,0.14,0.81,0.13,0.75,0.14,0.55,0.12,0.9,0.07,0.96,0.03,0.81,0.07,0.93,0.03
0.67,0.72,0.32,0.87,0.06,0.86,0.12,0.77,0.14,0.81,0.13,0.75,0.14,0.53,0.12,0.9,0.07,0.97,0.02,0.81,0.07,0.94,0.02
0.66,0.72,0.3,0.87,0.06,0.86,0.12,0.77,0.14,0.81,0.13,0.74,0.14,0.53,0.12,0.9,0.07,0.96,0.02,0.81,0.07,0.93,0.02
0.66,0.72,0.3,0.87,0.06,0.86,0.12,0.77,0.14,0.81,0.13,0.74,0.14,0.51,0.12,0.9,0.07,0.98,0.01,0.8,0.07,0.96,0.01
0.66,0.72,0.3,0.87,0.06,0.86,0.12,0.77,0.14,0.81,0.13,0.74,0.14,0.51,0.12,0.9,0.07,0.98,0.01,0.8,0.07,0.96,0.01
0.66,0.72,0.3,0.87,0.06,0.86,0.12,0.76,0.15,0.81,0.14,0.73,0.15,0.52,0.12,0.9,0.07,0.97,0.02,0.81,0.07,0.94,0.02
0.67,0.72,0.32,0.86,0.06,0.85,0.13,0.73,0.16,0.79,0.15,0.71,0.16,0.51,0.13,0.91,0.06,0.97,0.02,0.82,0.06,0.94,0.02
0.67,0.72,0.32,0.85,0.07,0.84,0.13,0.69,0.19,0.76,0.16,0.68,0.19,0.5,0.13,0.93,0.05,0.95,0.03,0.85,0.05,0.92,0.03
0.67,0.73,0.33,0.83,0.07,0.83,0.14,0.66,0.21,0.74,0.17,0.65,0.21,0.47,0.14,0.94,0.04,0.96,0.03,0.87,0.04,0.93,0.03
0.68,0.73,0.34,0.82,0.08,0.83,0.15,0.63,0.23,0.73,0.19,0.63,0.23,0.46,0.15,0.95,0.04,0.96,0.03,0.89,0.04,0.92,0.03
0.68,0.73,0.34,0.81,0.08,0.82,0.15,0.61,0.25,0.71,0.2,0.61,0.25,0.46,0.15,0.96,0.03,0.95,0.04,0.91,0.03,0.9,0.04
0.67,0.72,0.33,0.81,0.09,0.82,0.16,0.58,0.26,0.7,0.21,0.58,0.26,0.45,0.16,0.97,0.02,0.94,0.04,0.93,0.02,0.89,0.04
0.67,0.72,0.33,0.8,0.09,0.81,0.17,0.58,0.27,0.7,0.22,0.58,0.27,0.44,0.17,0.97,0.02,0.94,0.04,0.93,0.02,0.9,0.04
0.68,0.73,0.34,0.8,0.09,0.8,0.18,0.58,0.26,0.69,0.22,0.59,0.26,0.4,0.18,0.96,0.03,0.99,0.01,0.92,0.03,0.97,0.01
0.68,0.72,0.34,0.79,0.09,0.78,0.19,0.57,0.27,0.68,0.23,0.58,0.27,0.38,0.19,0.96,0.03,1.0,0.0,0.92,0.03,1.0,0.0
0.68,0.72,0.34,0.78,0.1,0.77,0.2,0.56,0.28,0.67,0.24,0.57,0.28,0.36,0.2,0.97,0.02,0.99,0.0,0.93,0.02,0.99,0.0
0.68,0.72,0.34,0.77,0.1,0.76,0.21,0.54,0.29,0.65,0.25,0.56,0.29,0.34,0.21,0.97,0.02,0.98,0.01,0.93,0.02,0.96,0.01
0.68,0.72,0.34,0.76,0.1,0.75,0.22,0.54,0.29,0.65,0.26,0.56,0.29,0.32,0.22,0.97,0.02,0.96,0.02,0.93,0.02,0.93,0.02
0.68,0.72,0.34,0.75,0.11,0.74,0.23,0.52,0.3,0.63,0.27,0.55,0.3,0.31,0.23,0.98,0.02,0.95,0.03,0.94,0.02,0.9,0.03
0.68,0.72,0.34,0.75,0.11,0.73,0.24,0.51,0.31,0.62,0.28,0.54,0.31,0.3,0.24,0.98,0.02,0.95,0.03,0.95,0.02,0.9,0.03
0.67,0.72,0.34,0.74,0.11,0.73,0.25,0.51,0.31,0.62,0.28,0.54,0.31,0.3,0.25,0.98,0.02,0.95,0.04,0.94,0.02,0.9,0.04
0.67,0.72,0.33,0.74,0.12,0.72,0.25,0.5,0.32,0.61,0.29,0.53,0.32,0.28,0.25,0.97,0.02,0.93,0.04,0.94,0.02,0.88,0.04
0.67,0.72,0.34,0.74,0.12,0.71,0.26,0.5,0.32,0.6,0.29,0.53,0.32,0.26,0.26,0.97,0.02,0.91,0.06,0.94,0.02,0.83,0.06
0.67,0.72,0.34,0.73,0.12,0.71,0.26,0.5,0.33,0.6,0.3,0.52,0.33,0.26,0.26,0.98,0.02,0.92,0.06,0.95,0.02,0.84,0.06
0.68,0.72,0.34,0.73,0.12,0.71,0.26,0.47,0.35,0.59,0.3,0.49,0.35,0.25,0.26,0.99,0.01,0.92,0.05,0.98,0.01,0.85,0.05
0.67,0.72,0.34,0.73,0.12,0.7,0.27,0.48,0.35,0.59,0.31,0.49,0.35,0.23,0.27,0.98,0.01,0.9,0.07,0.96,0.01,0.81,0.07
0.67,0.72,0.33,0.72,0.13,0.7,0.27,0.46,0.37,0.58,0.32,0.46,0.37,0.23,0.27,0.99,0.0,0.92,0.05,0.99,0.0,0.86,0.05
0.67,0.71,0.32,0.72,0.13,0.7,0.28,0.45,0.39,0.57,0.34,0.43,0.39,0.22,0.28,1.0,0.0,0.93,0.05,1.0,0.0,0.86,0.05
0.67,0.72,0.33,0.72,0.13,0.71,0.26,0.45,0.39,0.58,0.33,0.42,0.39,0.23,0.26,0.99,0.01,0.95,0.04,0.98,0.01,0.9,0.04
0.67,0.72,0.33,0.73,0.12,0.72,0.25,0.45,0.41,0.58,0.33,0.39,0.41,0.23,0.25,0.99,0.01,0.96,0.03,0.97,0.01,0.93,0.03
