ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.11,0.0,1.0,0.82,0.11
0.66,0.71,0.31,0.74,0.11,0.72,0.25,0.53,0.3,0.62,0.28,0.54,0.3,0.31,0.25,0.95,0.03,0.96,0.02,0.91,0.03,0.93,0.02
0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.11,0.0,1.0,0.82,0.11
0.66,0.74,0.32,0.82,0.09,0.85,0.15,0.55,0.41,0.7,0.28,0.18,0.41,0.11,0.15,0.99,0.0,0.98,0.01,0.99,0.0,0.94,0.01
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.66,0.71,0.31,0.78,0.1,0.76,0.21,0.59,0.27,0.68,0.24,0.57,0.27,0.33,0.21,0.94,0.04,0.97,0.02,0.88,0.04,0.94,0.02
0.56,0.41,0.22,0.44,0.14,0.48,0.21,0.23,0.17,0.35,0.19,0.82,0.17,0.74,0.21,0.94,0.05,0.84,0.09,0.8,0.05,0.84,0.09
0.58,0.49,0.25,0.67,0.08,0.73,0.11,0.47,0.11,0.6,0.11,0.87,0.11,0.84,0.11,1.0,0.0,0.82,0.1,0.99,0.0,0.81,0.1
0.61,0.55,0.27,0.62,0.12,0.65,0.19,0.38,0.19,0.52,0.19,0.78,0.19,0.7,0.19,0.98,0.01,0.85,0.09,0.94,0.01,0.83,0.09
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.67,0.71,0.34,0.86,0.06,0.88,0.09,0.75,0.12,0.81,0.1,0.82,0.12,0.7,0.09,0.92,0.06,0.9,0.07,0.81,0.06,0.83,0.07
0.65,0.67,0.31,0.87,0.05,0.92,0.05,0.72,0.11,0.82,0.08,0.84,0.11,0.86,0.05,0.94,0.04,0.82,0.12,0.86,0.04,0.76,0.12
0.69,0.74,0.36,0.87,0.06,0.9,0.09,0.73,0.15,0.81,0.12,0.74,0.15,0.62,0.09,0.93,0.05,0.92,0.06,0.85,0.05,0.83,0.06
0.66,0.68,0.33,0.81,0.07,0.83,0.13,0.68,0.14,0.76,0.14,0.8,0.14,0.67,0.13,0.93,0.05,0.9,0.07,0.84,0.05,0.85,0.07
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.49,0.17,0.13,0.48,0.05,0.68,0.04,0.14,0.06,0.41,0.05,0.94,0.06,0.96,0.04,0.81,0.17,0.77,0.12,0.4,0.17,0.81,0.12
0.68,0.71,0.36,0.73,0.11,0.71,0.25,0.52,0.26,0.61,0.26,0.64,0.26,0.36,0.25,0.96,0.03,0.96,0.03,0.91,0.03,0.92,0.03
0.66,0.74,0.33,0.81,0.09,0.83,0.17,0.53,0.42,0.68,0.29,0.19,0.42,0.06,0.17,1.0,0.0,0.87,0.11,0.99,0.0,0.57,0.11
0.62,0.73,0.25,0.91,0.05,0.94,0.06,0.72,0.28,0.83,0.17,0.04,0.28,0.11,0.06,0.93,0.04,0.61,0.31,0.9,0.04,0.37,0.31
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.55,0.71,0.04,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.68,0.74,0.35,0.92,0.04,0.95,0.04,0.81,0.12,0.88,0.08,0.76,0.12,0.75,0.04,0.91,0.06,0.88,0.09,0.82,0.06,0.74,0.09
0.55,0.71,0.06,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.73,0.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.48,0.13,0.1,0.73,0.02,0.8,0.02,0.17,0.05,0.49,0.04,0.95,0.05,0.98,0.02,0.7,0.27,0.75,0.13,0.3,0.27,0.79,0.13
0.48,0.15,0.12,0.74,0.02,0.83,0.02,0.17,0.05,0.5,0.04,0.95,0.05,0.98,0.02,0.73,0.24,0.75,0.13,0.3,0.24,0.79,0.13
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.68,0.72,0.34,0.98,0.01,0.94,0.04,0.97,0.01,0.95,0.03,0.97,0.01,0.83,0.04,0.9,0.08,0.79,0.15,0.78,0.08,0.65,0.15
0.47,0.08,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.59,0.72,0.2,0.96,0.02,0.0,1.0,0.88,0.12,0.44,0.56,0.12,0.12,0.0,1.0,0.87,0.08,0.0,1.0,0.82,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.56,0.71,0.12,0.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.48,0.11,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.13,0.0,1.0,0.78,0.13
0.64,0.72,0.26,0.84,0.07,0.76,0.22,0.63,0.26,0.7,0.24,0.55,0.26,0.24,0.22,0.8,0.15,0.67,0.27,0.65,0.15,0.41,0.27
0.6,0.56,0.24,0.69,0.09,0.55,0.26,0.63,0.09,0.59,0.17,0.89,0.09,0.63,0.26,0.92,0.06,0.69,0.2,0.79,0.06,0.66,0.2
0.48,0.12,0.1,0.88,0.01,0.65,0.03,0.2,0.04,0.43,0.04,0.96,0.04,0.97,0.03,0.69,0.27,0.75,0.13,0.3,0.27,0.79,0.13
0.58,0.72,0.18,0.99,0.01,1.0,0.0,0.96,0.04,0.98,0.02,0.56,0.04,0.72,0.0,0.84,0.1,0.81,0.17,0.79,0.1,0.32,0.17
0.6,0.52,0.27,0.7,0.08,0.76,0.11,0.52,0.1,0.64,0.11,0.89,0.1,0.84,0.11,0.98,0.01,0.83,0.1,0.95,0.01,0.81,0.1
0.51,0.23,0.17,0.55,0.05,0.69,0.05,0.26,0.06,0.47,0.06,0.94,0.06,0.94,0.05,0.91,0.08,0.78,0.11,0.66,0.08,0.81,0.11
0.57,0.72,0.17,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.68,0.7,0.35,0.78,0.09,0.79,0.17,0.6,0.2,0.7,0.18,0.72,0.2,0.53,0.17,0.95,0.04,0.94,0.04,0.88,0.04,0.91,0.04
0.65,0.74,0.31,0.84,0.08,0.87,0.13,0.57,0.42,0.72,0.28,0.09,0.42,0.05,0.13,0.99,0.01,0.99,0.01,0.99,0.01,0.95,0.01
0.58,0.72,0.17,0.98,0.01,0.0,1.0,0.91,0.09,0.46,0.55,0.06,0.09,0.0,1.0,0.86,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.6,0.73,0.22,0.94,0.03,0.96,0.04,0.8,0.2,0.88,0.12,0.05,0.2,0.15,0.04,0.9,0.06,0.61,0.32,0.86,0.06,0.36,0.32
0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.11,0.0,1.0,0.82,0.11
0.63,0.74,0.29,0.89,0.06,0.93,0.07,0.67,0.32,0.8,0.2,0.08,0.32,0.09,0.07,0.95,0.03,0.88,0.1,0.92,0.03,0.67,0.1
0.58,0.72,0.17,0.98,0.01,0.0,1.0,0.93,0.07,0.47,0.54,0.14,0.07,0.0,1.0,0.85,0.09,0.0,1.0,0.8,0.09,0.0,1.0
0.47,0.11,0.09,0.34,0.05,0.51,0.04,0.08,0.06,0.29,0.05,0.94,0.06,0.96,0.04,0.77,0.21,0.77,0.12,0.33,0.21,0.81,0.12
