ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.51,0.62,-0.01,0.92,0.03,0.93,0.05,0.78,0.18,0.85,0.11,0.53,0.18,0.82,0.05,0.74,0.17,0.96,0.02,0.68,0.17,0.97,0.02
0.59,0.69,0.18,0.97,0.01,0.94,0.05,0.9,0.07,0.92,0.06,0.81,0.07,0.74,0.05,0.8,0.13,0.79,0.14,0.71,0.13,0.69,0.14
0.63,0.69,0.25,0.98,0.01,0.99,0.01,0.96,0.02,0.97,0.01,0.95,0.02,0.97,0.01,0.82,0.13,0.85,0.1,0.69,0.13,0.76,0.1
0.63,0.7,0.26,0.96,0.02,0.96,0.03,0.99,0.0,0.97,0.01,0.99,0.0,0.86,0.03,0.82,0.13,0.88,0.08,0.7,0.13,0.79,0.08
0.65,0.69,0.29,0.93,0.03,0.96,0.03,0.92,0.04,0.94,0.04,0.93,0.04,0.89,0.03,0.85,0.11,0.84,0.11,0.73,0.11,0.74,0.11
0.65,0.69,0.3,0.93,0.03,0.96,0.03,0.93,0.03,0.95,0.03,0.95,0.03,0.89,0.03,0.85,0.11,0.84,0.11,0.72,0.11,0.75,0.11
0.65,0.7,0.3,0.93,0.03,0.95,0.04,0.94,0.03,0.94,0.04,0.95,0.03,0.87,0.04,0.85,0.11,0.86,0.1,0.71,0.11,0.76,0.1
0.66,0.7,0.31,0.92,0.03,0.94,0.04,0.92,0.04,0.93,0.04,0.94,0.04,0.85,0.04,0.85,0.11,0.86,0.1,0.72,0.11,0.77,0.1
0.65,0.69,0.3,0.93,0.03,0.96,0.03,0.91,0.04,0.94,0.04,0.93,0.04,0.9,0.03,0.86,0.1,0.83,0.11,0.73,0.1,0.74,0.11
0.66,0.69,0.31,0.92,0.03,0.95,0.04,0.92,0.04,0.94,0.04,0.94,0.04,0.88,0.04,0.85,0.11,0.85,0.1,0.72,0.11,0.76,0.1
