ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.54,0.06,0.71,0.1,0.62,0.23,0.56,0.23,0.59,0.23,0.68,0.23,0.64,0.23,0.81,0.13,0.76,0.13,0.71,0.13,0.78,0.13
0.56,0.48,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.17,0.0,1.0,0.67,0.17
0.59,0.52,0.23,0.15,0.36,0.13,0.73,0.06,0.53,0.1,0.63,0.45,0.53,0.18,0.73,0.91,0.07,0.82,0.11,0.76,0.07,0.77,0.11
0.59,0.72,0.17,0.93,0.03,0.94,0.06,0.81,0.19,0.88,0.12,0.03,0.19,0.1,0.06,0.88,0.07,0.45,0.4,0.84,0.07,0.4,0.4
0.55,0.53,0.13,0.09,0.45,0.07,0.92,0.02,0.96,0.05,0.94,0.01,0.96,0.01,0.92,0.83,0.12,0.79,0.1,0.67,0.12,0.83,0.1
0.56,0.51,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.58,0.35,0.0,1.0,0.31,0.35
0.62,0.65,0.24,0.43,0.29,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.83,0.13,0.0,1.0,0.67,0.13,0.0,1.0
0.54,0.5,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.17,0.0,1.0,0.66,0.17
0.65,0.71,0.29,0.62,0.19,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.08,0.0,1.0,0.78,0.08,0.0,1.0
0.65,0.71,0.29,0.63,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.89,0.07,0.0,1.0,0.81,0.07,0.0,1.0
0.64,0.65,0.27,0.44,0.26,0.4,0.58,0.18,0.66,0.29,0.62,0.23,0.66,0.06,0.58,0.9,0.07,0.76,0.18,0.79,0.07,0.57,0.18
0.45,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.11,0.0,1.0,0.82,0.11
