ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.71,0.3,0.96,0.01,0.89,0.08,0.9,0.05,0.9,0.07,0.91,0.05,0.71,0.08,0.87,0.09,0.78,0.16,0.75,0.09,0.66,0.16
0.67,0.72,0.34,0.92,0.03,1.0,0.0,0.76,0.12,0.88,0.06,0.81,0.12,1.0,0.0,0.95,0.03,0.79,0.15,0.9,0.03,0.66,0.15
0.68,0.72,0.35,0.86,0.06,0.94,0.05,0.63,0.21,0.78,0.13,0.68,0.21,0.81,0.05,0.99,0.01,0.8,0.14,0.98,0.01,0.68,0.14
0.68,0.72,0.36,0.83,0.07,0.89,0.09,0.6,0.22,0.74,0.15,0.67,0.22,0.68,0.09,0.99,0.01,0.85,0.1,0.98,0.01,0.75,0.1
0.68,0.72,0.35,0.81,0.08,0.85,0.12,0.56,0.24,0.71,0.18,0.65,0.24,0.62,0.12,1.0,0.0,0.87,0.09,0.99,0.0,0.78,0.09
0.68,0.72,0.36,0.8,0.08,0.84,0.13,0.55,0.25,0.7,0.19,0.63,0.25,0.59,0.13,1.0,0.0,0.88,0.08,1.0,0.0,0.8,0.08
0.68,0.71,0.35,0.8,0.08,0.83,0.14,0.56,0.24,0.7,0.19,0.65,0.24,0.58,0.14,0.99,0.01,0.89,0.07,0.98,0.01,0.82,0.07
0.69,0.72,0.36,0.79,0.09,0.82,0.15,0.55,0.25,0.69,0.2,0.64,0.25,0.54,0.15,0.99,0.0,0.91,0.06,0.99,0.0,0.84,0.06
0.69,0.73,0.37,0.79,0.09,0.82,0.15,0.55,0.25,0.69,0.2,0.63,0.25,0.51,0.15,0.99,0.01,0.93,0.05,0.98,0.01,0.87,0.05
0.68,0.71,0.36,0.79,0.09,0.82,0.14,0.56,0.23,0.69,0.18,0.67,0.23,0.57,0.14,0.99,0.01,0.91,0.06,0.97,0.01,0.84,0.06
0.69,0.72,0.37,0.79,0.09,0.82,0.15,0.55,0.24,0.69,0.2,0.66,0.24,0.55,0.15,0.99,0.01,0.92,0.06,0.98,0.01,0.85,0.06
0.68,0.71,0.36,0.8,0.08,0.84,0.13,0.55,0.24,0.7,0.18,0.66,0.24,0.61,0.13,1.0,0.0,0.88,0.08,1.0,0.0,0.8,0.08
0.69,0.72,0.37,0.79,0.09,0.82,0.15,0.55,0.24,0.69,0.2,0.66,0.24,0.55,0.15,0.99,0.01,0.92,0.05,0.98,0.01,0.86,0.05
0.69,0.72,0.37,0.79,0.09,0.81,0.15,0.56,0.23,0.69,0.19,0.67,0.23,0.54,0.15,0.98,0.01,0.93,0.05,0.96,0.01,0.88,0.05
0.69,0.72,0.36,0.79,0.09,0.81,0.16,0.56,0.23,0.69,0.2,0.66,0.23,0.52,0.16,0.98,0.01,0.94,0.04,0.95,0.01,0.89,0.04
0.69,0.72,0.37,0.79,0.09,0.82,0.15,0.54,0.25,0.68,0.2,0.64,0.25,0.54,0.15,1.0,0.0,0.92,0.06,1.0,0.0,0.85,0.06
0.69,0.72,0.37,0.81,0.08,0.83,0.14,0.6,0.21,0.71,0.17,0.69,0.21,0.56,0.14,0.97,0.02,0.92,0.05,0.93,0.02,0.86,0.05
0.69,0.72,0.37,0.8,0.08,0.84,0.13,0.57,0.23,0.7,0.18,0.67,0.23,0.57,0.13,0.99,0.01,0.91,0.06,0.97,0.01,0.84,0.06
0.69,0.72,0.37,0.8,0.08,0.83,0.14,0.58,0.22,0.7,0.18,0.69,0.22,0.57,0.14,0.98,0.02,0.92,0.05,0.95,0.02,0.86,0.05
0.69,0.72,0.36,0.8,0.08,0.82,0.15,0.58,0.22,0.7,0.18,0.68,0.22,0.54,0.15,0.97,0.02,0.93,0.04,0.94,0.02,0.88,0.04
0.69,0.72,0.36,0.79,0.09,0.81,0.15,0.56,0.24,0.69,0.2,0.66,0.24,0.52,0.15,0.98,0.01,0.93,0.05,0.96,0.01,0.88,0.05
0.69,0.72,0.36,0.79,0.09,0.82,0.15,0.57,0.23,0.69,0.19,0.66,0.23,0.53,0.15,0.98,0.01,0.93,0.05,0.96,0.01,0.88,0.05
0.68,0.72,0.36,0.8,0.08,0.82,0.14,0.57,0.23,0.69,0.18,0.67,0.23,0.56,0.14,0.98,0.01,0.91,0.06,0.96,0.01,0.85,0.06
0.69,0.72,0.36,0.8,0.08,0.82,0.14,0.57,0.23,0.69,0.18,0.67,0.23,0.55,0.14,0.98,0.01,0.92,0.05,0.96,0.01,0.86,0.05
0.69,0.72,0.37,0.8,0.08,0.83,0.14,0.58,0.22,0.7,0.18,0.69,0.22,0.57,0.14,0.98,0.02,0.92,0.05,0.95,0.02,0.86,0.05
0.69,0.72,0.37,0.81,0.08,0.84,0.13,0.6,0.2,0.72,0.17,0.71,0.2,0.58,0.13,0.97,0.02,0.92,0.05,0.93,0.02,0.86,0.05
0.69,0.72,0.37,0.82,0.07,0.86,0.12,0.63,0.19,0.74,0.15,0.73,0.19,0.63,0.12,0.97,0.02,0.91,0.06,0.92,0.02,0.83,0.06
0.69,0.72,0.37,0.82,0.08,0.84,0.13,0.62,0.19,0.73,0.16,0.72,0.19,0.58,0.13,0.96,0.03,0.93,0.05,0.91,0.03,0.88,0.05
0.69,0.72,0.37,0.82,0.07,0.84,0.13,0.63,0.19,0.73,0.16,0.72,0.19,0.58,0.13,0.96,0.03,0.93,0.05,0.91,0.03,0.87,0.05
0.69,0.72,0.37,0.82,0.08,0.84,0.13,0.62,0.2,0.73,0.17,0.71,0.2,0.59,0.13,0.97,0.02,0.92,0.05,0.92,0.02,0.86,0.05
0.69,0.72,0.37,0.82,0.07,0.85,0.12,0.63,0.18,0.74,0.15,0.73,0.18,0.61,0.12,0.96,0.03,0.92,0.06,0.91,0.03,0.85,0.06
