ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.66,0.71,0.32,0.93,0.03,0.91,0.07,0.92,0.04,0.92,0.06,0.92,0.04,0.67,0.07,0.91,0.06,0.98,0.01,0.85,0.06,0.95,0.01
0.61,0.56,0.24,0.34,0.29,0.3,0.62,0.14,0.54,0.22,0.58,0.41,0.54,0.16,0.62,0.86,0.11,0.77,0.16,0.69,0.11,0.64,0.16
0.64,0.71,0.29,0.76,0.12,0.75,0.24,0.48,0.45,0.61,0.34,0.24,0.45,0.11,0.24,0.93,0.05,0.88,0.1,0.88,0.05,0.7,0.1
0.63,0.64,0.26,0.47,0.26,0.44,0.55,0.17,0.73,0.3,0.64,0.14,0.73,0.02,0.55,0.79,0.16,0.68,0.28,0.61,0.16,0.31,0.28
0.63,0.66,0.25,0.55,0.22,0.53,0.46,0.23,0.72,0.38,0.59,0.07,0.72,0.03,0.46,0.82,0.13,0.8,0.15,0.69,0.13,0.6,0.15
0.58,0.5,0.19,0.13,0.4,0.12,0.82,0.01,0.73,0.07,0.77,0.26,0.73,0.07,0.82,0.68,0.3,0.69,0.23,0.2,0.3,0.52,0.23
0.54,0.34,0.17,0.01,0.32,0.02,0.59,0.0,1.0,0.01,0.79,0.0,1.0,0.4,0.59,0.0,1.0,0.87,0.07,0.0,1.0,0.85,0.07
0.54,0.31,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.07,0.0,1.0,0.87,0.07
0.63,0.62,0.26,0.38,0.3,0.37,0.62,0.09,0.8,0.23,0.71,0.13,0.8,0.02,0.62,0.72,0.23,0.67,0.29,0.44,0.23,0.3,0.29
0.57,0.41,0.2,0.1,0.32,0.1,0.62,0.01,0.39,0.06,0.51,0.61,0.39,0.33,0.62,0.75,0.23,0.85,0.09,0.22,0.23,0.82,0.09
0.67,0.71,0.34,0.72,0.13,0.72,0.27,0.43,0.41,0.57,0.34,0.4,0.41,0.19,0.27,0.91,0.06,0.87,0.1,0.84,0.06,0.69,0.1
0.66,0.71,0.32,0.79,0.1,0.78,0.2,0.55,0.32,0.67,0.26,0.48,0.32,0.28,0.2,0.96,0.03,0.92,0.06,0.93,0.03,0.82,0.06
0.61,0.49,0.31,0.47,0.15,0.51,0.25,0.18,0.18,0.34,0.21,0.81,0.18,0.66,0.25,0.86,0.12,0.98,0.01,0.52,0.12,0.98,0.01
0.67,0.7,0.33,0.69,0.14,0.67,0.3,0.41,0.4,0.54,0.35,0.43,0.4,0.2,0.3,0.92,0.05,0.85,0.11,0.85,0.05,0.68,0.11
0.64,0.63,0.29,0.45,0.26,0.43,0.54,0.15,0.64,0.29,0.59,0.28,0.64,0.09,0.54,0.8,0.16,0.77,0.18,0.58,0.16,0.57,0.18
0.64,0.61,0.3,0.33,0.3,0.33,0.62,0.06,0.64,0.2,0.63,0.34,0.64,0.11,0.62,0.73,0.24,0.75,0.19,0.32,0.24,0.55,0.19
0.64,0.64,0.28,0.44,0.27,0.42,0.56,0.14,0.72,0.28,0.64,0.18,0.72,0.04,0.56,0.77,0.18,0.72,0.23,0.54,0.18,0.44,0.23
0.63,0.71,0.27,0.79,0.1,0.8,0.2,0.52,0.46,0.66,0.33,0.08,0.46,0.04,0.2,0.93,0.05,0.9,0.07,0.89,0.05,0.75,0.07
0.67,0.68,0.34,0.66,0.15,0.63,0.32,0.4,0.34,0.52,0.33,0.56,0.34,0.29,0.32,0.94,0.05,0.87,0.09,0.86,0.05,0.75,0.09
0.66,0.71,0.33,0.72,0.13,0.71,0.28,0.42,0.44,0.56,0.36,0.36,0.44,0.17,0.28,0.91,0.06,0.87,0.1,0.84,0.06,0.69,0.1
0.65,0.68,0.3,0.57,0.21,0.55,0.44,0.24,0.63,0.4,0.54,0.2,0.63,0.05,0.44,0.83,0.12,0.74,0.22,0.69,0.12,0.4,0.22
0.66,0.7,0.31,0.7,0.15,0.69,0.31,0.39,0.51,0.54,0.41,0.25,0.51,0.08,0.31,0.89,0.07,0.8,0.16,0.81,0.07,0.51,0.16
0.67,0.66,0.34,0.61,0.16,0.6,0.33,0.32,0.35,0.46,0.34,0.57,0.35,0.33,0.33,0.9,0.08,0.9,0.07,0.76,0.08,0.82,0.07
0.67,0.72,0.34,0.89,0.05,0.87,0.11,0.8,0.12,0.83,0.11,0.79,0.12,0.49,0.11,0.95,0.04,0.94,0.04,0.9,0.04,0.85,0.04
0.67,0.67,0.34,0.8,0.07,0.78,0.16,0.69,0.11,0.73,0.14,0.85,0.11,0.64,0.16,0.97,0.03,0.98,0.01,0.92,0.03,0.97,0.01
0.68,0.73,0.36,0.85,0.07,0.85,0.13,0.67,0.2,0.76,0.17,0.66,0.2,0.43,0.13,1.0,0.0,0.95,0.04,0.99,0.0,0.87,0.04
0.66,0.73,0.33,0.85,0.07,0.85,0.14,0.65,0.27,0.75,0.21,0.47,0.27,0.2,0.14,0.99,0.01,0.88,0.1,0.98,0.01,0.61,0.1
0.65,0.73,0.33,0.86,0.07,0.87,0.12,0.65,0.28,0.76,0.2,0.42,0.28,0.22,0.12,0.98,0.01,0.92,0.07,0.97,0.01,0.74,0.07
0.66,0.73,0.33,0.87,0.06,0.87,0.12,0.69,0.24,0.78,0.18,0.51,0.24,0.22,0.12,1.0,0.0,0.89,0.1,0.99,0.0,0.63,0.1
0.57,0.36,0.26,1.0,0.0,0.78,0.06,0.46,0.04,0.62,0.05,0.96,0.04,0.93,0.06,0.88,0.11,0.84,0.09,0.52,0.11,0.83,0.09
0.66,0.7,0.31,0.69,0.15,0.68,0.31,0.39,0.51,0.54,0.41,0.25,0.51,0.08,0.31,0.89,0.07,0.79,0.17,0.81,0.07,0.49,0.17
0.67,0.7,0.34,0.71,0.13,0.68,0.29,0.46,0.32,0.57,0.3,0.56,0.32,0.27,0.29,0.95,0.03,0.86,0.1,0.9,0.03,0.71,0.1
0.66,0.73,0.33,0.84,0.07,0.83,0.16,0.63,0.28,0.73,0.22,0.47,0.28,0.2,0.16,0.99,0.01,0.87,0.11,0.98,0.01,0.61,0.11
0.63,0.56,0.31,0.92,0.02,0.8,0.1,0.98,0.0,0.89,0.05,1.0,0.0,0.84,0.1,1.0,0.0,0.83,0.1,1.0,0.0,0.79,0.1
0.67,0.66,0.34,0.49,0.23,0.48,0.47,0.17,0.55,0.33,0.51,0.38,0.55,0.14,0.47,0.81,0.15,0.79,0.16,0.57,0.15,0.6,0.16
0.63,0.6,0.27,0.32,0.32,0.32,0.65,0.07,0.72,0.2,0.69,0.24,0.72,0.06,0.65,0.72,0.24,0.71,0.23,0.37,0.24,0.46,0.23
