ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.62,0.7,0.2,0.81,0.09,0.74,0.25,0.64,0.3,0.69,0.28,0.37,0.3,0.12,0.25,0.93,0.04,0.77,0.17,0.9,0.04,0.58,0.17
0.64,0.72,0.26,0.83,0.08,0.79,0.2,0.65,0.28,0.72,0.24,0.41,0.28,0.15,0.2,0.96,0.03,0.82,0.14,0.93,0.03,0.6,0.14
0.65,0.7,0.28,0.74,0.12,0.67,0.31,0.55,0.31,0.61,0.31,0.51,0.31,0.18,0.31,0.97,0.02,0.79,0.16,0.93,0.02,0.6,0.16
0.65,0.7,0.28,0.76,0.11,0.68,0.3,0.59,0.27,0.64,0.29,0.55,0.27,0.19,0.3,0.94,0.04,0.79,0.16,0.89,0.04,0.6,0.16
0.65,0.69,0.29,0.75,0.11,0.68,0.29,0.59,0.24,0.64,0.27,0.63,0.24,0.29,0.29,0.94,0.04,0.85,0.11,0.88,0.04,0.74,0.11
0.65,0.7,0.27,0.77,0.1,0.71,0.27,0.58,0.28,0.65,0.28,0.53,0.28,0.24,0.27,0.96,0.03,0.85,0.1,0.92,0.03,0.73,0.1
0.65,0.71,0.28,0.79,0.09,0.74,0.24,0.63,0.25,0.69,0.24,0.56,0.25,0.26,0.24,0.95,0.03,0.86,0.1,0.9,0.03,0.74,0.1
0.65,0.7,0.29,0.79,0.09,0.73,0.24,0.63,0.22,0.68,0.23,0.64,0.22,0.31,0.24,0.94,0.04,0.87,0.09,0.89,0.04,0.76,0.09
0.66,0.7,0.3,0.79,0.09,0.74,0.22,0.64,0.21,0.69,0.21,0.67,0.21,0.37,0.22,0.95,0.04,0.9,0.06,0.89,0.04,0.83,0.06
0.66,0.71,0.29,0.79,0.1,0.73,0.24,0.62,0.24,0.68,0.24,0.6,0.24,0.28,0.24,0.95,0.03,0.86,0.1,0.91,0.03,0.75,0.1
0.66,0.71,0.3,0.78,0.1,0.72,0.25,0.61,0.24,0.67,0.24,0.61,0.24,0.29,0.25,0.95,0.03,0.86,0.1,0.9,0.03,0.75,0.1
0.65,0.71,0.29,0.78,0.1,0.74,0.24,0.59,0.27,0.67,0.26,0.56,0.27,0.29,0.24,0.97,0.02,0.89,0.08,0.94,0.02,0.79,0.08
0.66,0.71,0.29,0.81,0.09,0.76,0.22,0.64,0.23,0.7,0.23,0.61,0.23,0.31,0.22,0.95,0.03,0.89,0.08,0.91,0.03,0.79,0.08
0.66,0.71,0.3,0.76,0.1,0.71,0.26,0.59,0.25,0.65,0.26,0.6,0.25,0.27,0.26,0.96,0.03,0.85,0.11,0.91,0.03,0.72,0.11
0.66,0.7,0.3,0.8,0.09,0.74,0.22,0.66,0.2,0.7,0.21,0.69,0.2,0.36,0.22,0.94,0.04,0.89,0.07,0.88,0.04,0.81,0.07
0.66,0.71,0.31,0.82,0.08,0.77,0.2,0.69,0.18,0.73,0.19,0.7,0.18,0.36,0.2,0.93,0.05,0.89,0.08,0.87,0.05,0.79,0.08
0.66,0.7,0.3,0.82,0.08,0.78,0.19,0.7,0.17,0.74,0.18,0.73,0.17,0.46,0.19,0.94,0.04,0.94,0.04,0.87,0.04,0.91,0.04
0.66,0.7,0.3,0.8,0.08,0.76,0.21,0.67,0.18,0.72,0.2,0.72,0.18,0.42,0.21,0.94,0.04,0.93,0.05,0.88,0.04,0.87,0.05
0.66,0.7,0.3,0.81,0.08,0.77,0.2,0.69,0.16,0.73,0.18,0.74,0.16,0.45,0.2,0.94,0.05,0.93,0.04,0.86,0.05,0.88,0.04
0.65,0.7,0.29,0.82,0.07,0.78,0.18,0.7,0.16,0.74,0.17,0.75,0.16,0.49,0.18,0.94,0.04,0.96,0.02,0.87,0.04,0.94,0.02
