ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.57,0.09,0.59,0.18,0.5,0.38,0.38,0.49,0.44,0.43,0.3,0.49,0.37,0.38,0.96,0.03,0.7,0.15,0.94,0.03,0.77,0.15
0.58,0.63,0.14,0.6,0.19,0.51,0.44,0.37,0.54,0.44,0.49,0.2,0.54,0.19,0.44,0.97,0.02,0.83,0.09,0.95,0.02,0.84,0.09
0.61,0.65,0.2,0.62,0.18,0.54,0.41,0.38,0.48,0.46,0.44,0.31,0.48,0.2,0.41,0.99,0.01,0.98,0.01,0.98,0.01,0.98,0.01
0.63,0.69,0.23,0.68,0.15,0.61,0.37,0.44,0.47,0.53,0.42,0.26,0.47,0.1,0.37,0.98,0.01,0.82,0.13,0.96,0.01,0.69,0.13
0.64,0.68,0.26,0.68,0.14,0.64,0.33,0.43,0.43,0.54,0.38,0.37,0.43,0.23,0.33,1.0,0.0,0.97,0.02,1.0,0.0,0.95,0.02
0.64,0.68,0.27,0.71,0.12,0.67,0.27,0.5,0.31,0.58,0.29,0.55,0.31,0.37,0.27,0.97,0.02,0.99,0.0,0.94,0.02,0.99,0.0
0.66,0.69,0.3,0.75,0.11,0.72,0.24,0.54,0.27,0.63,0.26,0.6,0.27,0.4,0.24,0.97,0.02,0.99,0.0,0.93,0.02,0.99,0.0
0.67,0.71,0.32,0.77,0.1,0.76,0.21,0.55,0.28,0.66,0.24,0.58,0.28,0.4,0.21,0.98,0.02,0.99,0.0,0.95,0.02,0.99,0.0
0.67,0.71,0.32,0.78,0.1,0.76,0.21,0.57,0.26,0.67,0.23,0.59,0.26,0.38,0.21,0.97,0.02,0.98,0.01,0.93,0.02,0.97,0.01
0.67,0.72,0.33,0.79,0.09,0.77,0.2,0.58,0.26,0.68,0.23,0.59,0.26,0.37,0.2,0.97,0.02,0.97,0.02,0.93,0.02,0.95,0.02
0.67,0.72,0.33,0.79,0.09,0.78,0.2,0.6,0.24,0.69,0.22,0.62,0.24,0.39,0.2,0.96,0.03,0.98,0.01,0.91,0.03,0.96,0.01
0.67,0.71,0.33,0.81,0.08,0.81,0.16,0.6,0.23,0.71,0.2,0.65,0.23,0.51,0.16,0.97,0.02,0.94,0.04,0.93,0.02,0.91,0.04
0.67,0.71,0.32,0.84,0.06,0.85,0.12,0.7,0.15,0.77,0.14,0.77,0.15,0.63,0.12,0.94,0.04,0.92,0.05,0.87,0.04,0.88,0.05
0.67,0.7,0.32,0.85,0.06,0.86,0.11,0.71,0.14,0.78,0.12,0.78,0.14,0.68,0.11,0.94,0.04,0.91,0.06,0.87,0.04,0.86,0.06
0.67,0.72,0.33,0.83,0.07,0.82,0.15,0.65,0.21,0.73,0.18,0.67,0.21,0.5,0.15,0.95,0.03,0.96,0.02,0.9,0.03,0.94,0.02
0.68,0.72,0.34,0.81,0.08,0.81,0.16,0.62,0.22,0.72,0.19,0.65,0.22,0.46,0.16,0.96,0.03,0.98,0.01,0.91,0.03,0.97,0.01
0.68,0.73,0.34,0.81,0.08,0.81,0.17,0.62,0.23,0.72,0.2,0.64,0.23,0.45,0.17,0.96,0.03,0.98,0.01,0.92,0.03,0.97,0.01
0.68,0.73,0.34,0.82,0.08,0.82,0.16,0.64,0.21,0.73,0.18,0.67,0.21,0.47,0.16,0.96,0.03,0.98,0.01,0.9,0.03,0.97,0.01
0.68,0.72,0.34,0.84,0.07,0.85,0.12,0.66,0.18,0.76,0.15,0.72,0.18,0.6,0.12,0.96,0.03,0.93,0.05,0.9,0.03,0.88,0.05
0.67,0.72,0.33,0.85,0.06,0.86,0.11,0.7,0.16,0.78,0.14,0.75,0.16,0.62,0.11,0.94,0.04,0.93,0.05,0.88,0.04,0.88,0.05
0.67,0.72,0.33,0.84,0.07,0.85,0.12,0.67,0.18,0.76,0.15,0.73,0.18,0.61,0.12,0.96,0.03,0.92,0.05,0.9,0.03,0.87,0.05
0.67,0.72,0.33,0.85,0.06,0.85,0.13,0.71,0.15,0.78,0.14,0.75,0.15,0.57,0.13,0.93,0.05,0.96,0.03,0.86,0.05,0.93,0.03
0.67,0.72,0.33,0.86,0.06,0.87,0.11,0.72,0.15,0.79,0.13,0.75,0.15,0.62,0.11,0.94,0.04,0.93,0.05,0.87,0.04,0.88,0.05
0.67,0.72,0.33,0.86,0.06,0.86,0.11,0.72,0.15,0.79,0.13,0.75,0.15,0.61,0.11,0.94,0.04,0.94,0.04,0.86,0.04,0.89,0.04
0.67,0.72,0.33,0.85,0.06,0.86,0.11,0.68,0.17,0.77,0.14,0.74,0.17,0.62,0.11,0.95,0.03,0.92,0.05,0.89,0.03,0.86,0.05
0.67,0.72,0.33,0.85,0.06,0.87,0.11,0.7,0.16,0.78,0.14,0.74,0.16,0.64,0.11,0.95,0.04,0.91,0.06,0.89,0.04,0.86,0.06
0.68,0.73,0.34,0.83,0.07,0.82,0.15,0.67,0.19,0.74,0.17,0.7,0.19,0.48,0.15,0.94,0.04,0.99,0.0,0.88,0.04,0.99,0.0
0.68,0.73,0.34,0.82,0.08,0.82,0.16,0.64,0.21,0.73,0.18,0.65,0.21,0.44,0.16,0.95,0.03,1.0,0.0,0.9,0.03,1.0,0.0
0.68,0.72,0.34,0.82,0.07,0.81,0.16,0.67,0.18,0.74,0.17,0.73,0.18,0.49,0.16,0.94,0.04,1.0,0.0,0.86,0.04,1.0,0.0
0.67,0.71,0.32,0.83,0.07,0.83,0.14,0.66,0.18,0.74,0.16,0.73,0.18,0.6,0.14,0.95,0.04,0.93,0.04,0.89,0.04,0.89,0.04
0.67,0.71,0.33,0.85,0.06,0.86,0.11,0.69,0.16,0.77,0.14,0.76,0.16,0.65,0.11,0.95,0.04,0.92,0.05,0.88,0.04,0.87,0.05
0.67,0.71,0.33,0.84,0.06,0.86,0.12,0.69,0.16,0.77,0.14,0.75,0.16,0.64,0.12,0.95,0.04,0.92,0.05,0.89,0.04,0.87,0.05
0.67,0.71,0.33,0.83,0.07,0.83,0.13,0.67,0.17,0.75,0.15,0.74,0.17,0.58,0.13,0.95,0.04,0.94,0.04,0.89,0.04,0.9,0.04
0.68,0.73,0.35,0.83,0.07,0.83,0.15,0.68,0.17,0.76,0.16,0.73,0.17,0.5,0.15,0.94,0.04,0.99,0.01,0.87,0.04,0.98,0.01
0.68,0.73,0.35,0.84,0.07,0.83,0.14,0.69,0.16,0.76,0.15,0.74,0.16,0.53,0.14,0.94,0.04,0.98,0.01,0.86,0.04,0.97,0.01
0.68,0.73,0.34,0.83,0.07,0.82,0.15,0.68,0.17,0.75,0.16,0.72,0.17,0.48,0.15,0.94,0.05,1.0,0.0,0.86,0.05,0.99,0.0
0.68,0.73,0.34,0.82,0.08,0.82,0.16,0.66,0.2,0.74,0.18,0.68,0.2,0.45,0.16,0.95,0.04,0.99,0.01,0.88,0.04,0.98,0.01
0.68,0.73,0.34,0.83,0.07,0.82,0.15,0.67,0.18,0.74,0.16,0.71,0.18,0.49,0.15,0.94,0.04,0.99,0.01,0.87,0.04,0.98,0.01
0.68,0.73,0.34,0.83,0.07,0.82,0.15,0.66,0.19,0.74,0.17,0.69,0.19,0.48,0.15,0.95,0.04,0.99,0.01,0.88,0.04,0.99,0.01
0.68,0.72,0.34,0.82,0.08,0.82,0.16,0.64,0.2,0.73,0.18,0.68,0.2,0.48,0.16,0.95,0.03,0.98,0.01,0.89,0.03,0.97,0.01
0.68,0.72,0.34,0.81,0.08,0.8,0.17,0.61,0.22,0.71,0.2,0.65,0.22,0.46,0.17,0.96,0.03,0.98,0.01,0.92,0.03,0.97,0.01
0.67,0.71,0.34,0.84,0.07,0.84,0.13,0.68,0.16,0.76,0.15,0.75,0.16,0.6,0.13,0.95,0.04,0.93,0.04,0.88,0.04,0.89,0.04
0.68,0.72,0.34,0.84,0.06,0.85,0.12,0.69,0.16,0.77,0.14,0.76,0.16,0.62,0.12,0.95,0.04,0.93,0.05,0.88,0.04,0.88,0.05
0.68,0.72,0.34,0.84,0.06,0.85,0.12,0.69,0.16,0.77,0.14,0.76,0.16,0.62,0.12,0.95,0.04,0.93,0.05,0.88,0.04,0.88,0.05
0.68,0.72,0.34,0.85,0.06,0.86,0.11,0.7,0.15,0.78,0.13,0.77,0.15,0.63,0.11,0.94,0.04,0.93,0.05,0.87,0.04,0.88,0.05
0.68,0.72,0.34,0.83,0.07,0.84,0.13,0.67,0.18,0.76,0.15,0.72,0.18,0.56,0.13,0.95,0.03,0.95,0.03,0.89,0.03,0.91,0.03
0.68,0.72,0.34,0.85,0.06,0.86,0.12,0.69,0.17,0.77,0.15,0.73,0.17,0.59,0.12,0.95,0.04,0.94,0.04,0.88,0.04,0.89,0.04
0.68,0.73,0.34,0.84,0.07,0.84,0.13,0.69,0.17,0.76,0.15,0.73,0.17,0.54,0.13,0.94,0.04,0.97,0.02,0.87,0.04,0.95,0.02
0.68,0.73,0.34,0.84,0.07,0.84,0.14,0.69,0.17,0.76,0.16,0.73,0.17,0.53,0.14,0.94,0.04,0.97,0.02,0.87,0.04,0.95,0.02
0.68,0.73,0.35,0.84,0.07,0.83,0.14,0.69,0.17,0.76,0.16,0.73,0.17,0.52,0.14,0.94,0.04,0.98,0.01,0.87,0.04,0.96,0.01
