ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.64,0.72,0.28,0.91,0.04,0.89,0.09,0.87,0.08,0.88,0.08,0.81,0.08,0.51,0.09,0.83,0.11,0.98,0.01,0.73,0.11,0.96,0.01
0.64,0.71,0.29,0.85,0.07,0.84,0.15,0.7,0.21,0.77,0.18,0.58,0.21,0.37,0.15,0.88,0.08,0.98,0.01,0.8,0.08,0.95,0.01
0.65,0.71,0.3,0.8,0.09,0.79,0.18,0.61,0.27,0.7,0.23,0.55,0.27,0.37,0.18,0.92,0.06,0.95,0.03,0.85,0.06,0.91,0.03
0.66,0.71,0.31,0.79,0.09,0.79,0.19,0.6,0.26,0.7,0.23,0.56,0.26,0.38,0.19,0.92,0.06,0.96,0.03,0.85,0.06,0.92,0.03
0.66,0.7,0.32,0.79,0.09,0.78,0.19,0.62,0.23,0.7,0.21,0.63,0.23,0.42,0.19,0.91,0.06,0.97,0.02,0.83,0.06,0.93,0.02
0.66,0.71,0.32,0.8,0.09,0.79,0.18,0.64,0.21,0.72,0.2,0.66,0.21,0.43,0.18,0.9,0.07,0.97,0.02,0.81,0.07,0.94,0.02
0.66,0.7,0.32,0.81,0.08,0.8,0.17,0.65,0.2,0.73,0.18,0.67,0.2,0.47,0.17,0.9,0.07,0.95,0.03,0.81,0.07,0.91,0.03
0.66,0.7,0.31,0.82,0.08,0.81,0.16,0.69,0.17,0.75,0.17,0.72,0.17,0.51,0.16,0.89,0.08,0.94,0.04,0.79,0.08,0.89,0.04
0.66,0.71,0.32,0.83,0.07,0.83,0.14,0.7,0.17,0.76,0.16,0.72,0.17,0.52,0.14,0.89,0.08,0.93,0.05,0.79,0.08,0.87,0.05
0.66,0.7,0.32,0.83,0.07,0.82,0.15,0.7,0.17,0.76,0.16,0.72,0.17,0.5,0.15,0.89,0.08,0.95,0.04,0.79,0.08,0.9,0.04
0.66,0.7,0.32,0.84,0.07,0.83,0.14,0.75,0.13,0.79,0.14,0.78,0.13,0.53,0.14,0.87,0.09,0.95,0.03,0.76,0.09,0.91,0.03
0.66,0.7,0.32,0.84,0.07,0.83,0.14,0.73,0.15,0.78,0.15,0.76,0.15,0.53,0.14,0.88,0.09,0.95,0.04,0.77,0.09,0.9,0.04
0.67,0.71,0.32,0.84,0.07,0.83,0.14,0.75,0.13,0.79,0.14,0.78,0.13,0.53,0.14,0.87,0.09,0.95,0.03,0.76,0.09,0.91,0.03
0.67,0.71,0.32,0.83,0.07,0.83,0.15,0.71,0.16,0.77,0.15,0.73,0.16,0.51,0.15,0.89,0.08,0.95,0.04,0.78,0.08,0.9,0.04
0.66,0.7,0.31,0.84,0.07,0.83,0.14,0.74,0.14,0.78,0.14,0.76,0.14,0.53,0.14,0.87,0.09,0.95,0.03,0.76,0.09,0.91,0.03
0.66,0.71,0.32,0.84,0.07,0.83,0.14,0.74,0.14,0.78,0.14,0.77,0.14,0.53,0.14,0.87,0.09,0.95,0.03,0.76,0.09,0.91,0.03
0.67,0.71,0.33,0.84,0.07,0.84,0.14,0.75,0.14,0.79,0.14,0.77,0.14,0.53,0.14,0.87,0.09,0.95,0.03,0.76,0.09,0.91,0.03
0.67,0.71,0.33,0.84,0.07,0.83,0.14,0.76,0.13,0.79,0.14,0.79,0.13,0.53,0.14,0.87,0.09,0.96,0.03,0.75,0.09,0.93,0.03
