ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.59,0.65,0.16,0.61,0.19,0.5,0.49,0.4,0.54,0.45,0.52,0.15,0.54,0.04,0.49,0.94,0.04,0.7,0.23,0.9,0.04,0.51,0.23
0.65,0.71,0.27,0.7,0.15,0.66,0.33,0.42,0.51,0.54,0.42,0.2,0.51,0.05,0.33,0.98,0.01,0.77,0.19,0.96,0.01,0.51,0.19
0.66,0.71,0.31,0.68,0.15,0.65,0.33,0.4,0.46,0.53,0.4,0.34,0.46,0.13,0.33,0.97,0.02,0.83,0.12,0.94,0.02,0.67,0.12
0.66,0.71,0.31,0.72,0.13,0.69,0.29,0.45,0.39,0.57,0.34,0.42,0.39,0.2,0.29,0.99,0.0,0.9,0.07,0.99,0.0,0.81,0.07
0.67,0.72,0.32,0.73,0.12,0.71,0.26,0.48,0.36,0.59,0.31,0.46,0.36,0.24,0.26,1.0,0.0,0.92,0.06,1.0,0.0,0.85,0.06
0.67,0.71,0.32,0.74,0.11,0.73,0.24,0.5,0.33,0.61,0.29,0.51,0.33,0.32,0.24,1.0,0.0,0.97,0.02,0.99,0.0,0.95,0.02
0.67,0.72,0.33,0.76,0.1,0.75,0.22,0.53,0.29,0.64,0.26,0.57,0.29,0.36,0.22,0.99,0.01,0.98,0.01,0.97,0.01,0.97,0.01
0.68,0.72,0.34,0.77,0.1,0.77,0.2,0.54,0.29,0.66,0.24,0.57,0.29,0.39,0.2,0.99,0.01,0.99,0.0,0.98,0.01,0.99,0.0
0.67,0.72,0.33,0.78,0.09,0.77,0.2,0.57,0.25,0.67,0.23,0.62,0.25,0.4,0.2,0.97,0.02,0.99,0.01,0.93,0.02,0.98,0.01
0.67,0.72,0.33,0.79,0.09,0.78,0.19,0.57,0.25,0.68,0.22,0.61,0.25,0.42,0.19,0.97,0.02,0.99,0.01,0.94,0.02,0.98,0.01
0.68,0.73,0.34,0.81,0.08,0.8,0.17,0.61,0.23,0.71,0.2,0.64,0.23,0.44,0.17,0.96,0.03,0.99,0.01,0.92,0.03,0.98,0.01
0.68,0.73,0.34,0.81,0.08,0.81,0.17,0.61,0.23,0.71,0.2,0.65,0.23,0.45,0.17,0.96,0.03,0.99,0.01,0.92,0.03,0.97,0.01
0.68,0.73,0.34,0.82,0.08,0.81,0.16,0.62,0.22,0.72,0.19,0.65,0.22,0.46,0.16,0.96,0.03,0.98,0.01,0.91,0.03,0.97,0.01
0.68,0.72,0.34,0.81,0.08,0.81,0.16,0.62,0.22,0.72,0.19,0.67,0.22,0.49,0.16,0.96,0.03,0.97,0.02,0.92,0.03,0.95,0.02
0.68,0.72,0.34,0.82,0.08,0.83,0.15,0.63,0.21,0.73,0.18,0.68,0.21,0.52,0.15,0.96,0.03,0.95,0.03,0.91,0.03,0.91,0.03
0.68,0.72,0.34,0.83,0.07,0.84,0.13,0.66,0.19,0.75,0.16,0.71,0.19,0.56,0.13,0.96,0.03,0.94,0.04,0.9,0.03,0.9,0.04
0.68,0.73,0.34,0.82,0.08,0.83,0.14,0.63,0.22,0.73,0.18,0.65,0.22,0.51,0.14,0.97,0.02,0.95,0.03,0.93,0.02,0.91,0.03
0.68,0.72,0.34,0.83,0.07,0.84,0.14,0.64,0.21,0.74,0.17,0.68,0.21,0.54,0.14,0.96,0.03,0.94,0.04,0.92,0.03,0.9,0.04
0.67,0.72,0.33,0.83,0.07,0.84,0.13,0.65,0.19,0.74,0.16,0.7,0.19,0.57,0.13,0.96,0.03,0.93,0.05,0.91,0.03,0.88,0.05
0.68,0.73,0.34,0.82,0.07,0.84,0.14,0.62,0.22,0.73,0.18,0.66,0.22,0.52,0.14,0.97,0.02,0.94,0.04,0.93,0.02,0.9,0.04
0.68,0.73,0.34,0.83,0.07,0.82,0.15,0.66,0.19,0.74,0.17,0.7,0.19,0.5,0.15,0.95,0.04,0.98,0.01,0.89,0.04,0.96,0.01
0.67,0.72,0.33,0.83,0.07,0.82,0.15,0.65,0.19,0.73,0.17,0.69,0.19,0.51,0.15,0.95,0.04,0.97,0.02,0.89,0.04,0.94,0.02
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.64,0.2,0.73,0.17,0.68,0.2,0.52,0.15,0.96,0.03,0.96,0.03,0.91,0.03,0.93,0.03
0.67,0.72,0.33,0.83,0.07,0.84,0.13,0.65,0.2,0.74,0.17,0.69,0.2,0.56,0.13,0.96,0.03,0.94,0.04,0.91,0.03,0.89,0.04
0.67,0.72,0.33,0.83,0.07,0.84,0.13,0.64,0.2,0.74,0.17,0.68,0.2,0.56,0.13,0.96,0.03,0.93,0.05,0.92,0.03,0.88,0.05
0.68,0.72,0.34,0.83,0.07,0.84,0.13,0.65,0.2,0.74,0.17,0.69,0.2,0.55,0.13,0.96,0.03,0.94,0.04,0.91,0.03,0.9,0.04
0.67,0.72,0.33,0.83,0.07,0.84,0.14,0.64,0.2,0.74,0.17,0.68,0.2,0.54,0.14,0.96,0.03,0.94,0.04,0.91,0.03,0.9,0.04
0.68,0.72,0.34,0.83,0.07,0.84,0.13,0.64,0.21,0.74,0.17,0.68,0.21,0.55,0.13,0.96,0.02,0.93,0.04,0.92,0.02,0.89,0.04
0.68,0.72,0.34,0.83,0.07,0.84,0.14,0.63,0.2,0.73,0.17,0.68,0.2,0.54,0.14,0.96,0.03,0.94,0.04,0.92,0.03,0.9,0.04
0.67,0.72,0.33,0.82,0.08,0.83,0.14,0.63,0.21,0.73,0.17,0.67,0.21,0.53,0.14,0.96,0.03,0.94,0.04,0.92,0.03,0.9,0.04
0.68,0.72,0.34,0.82,0.08,0.83,0.15,0.62,0.21,0.72,0.18,0.67,0.21,0.52,0.15,0.97,0.02,0.95,0.03,0.92,0.02,0.91,0.03
0.67,0.72,0.33,0.83,0.07,0.84,0.14,0.64,0.21,0.74,0.17,0.67,0.21,0.54,0.14,0.96,0.03,0.94,0.04,0.91,0.03,0.9,0.04
0.68,0.72,0.34,0.83,0.07,0.84,0.14,0.65,0.2,0.74,0.17,0.68,0.2,0.54,0.14,0.96,0.03,0.95,0.03,0.91,0.03,0.91,0.03
0.68,0.72,0.34,0.83,0.07,0.83,0.14,0.65,0.2,0.74,0.17,0.68,0.2,0.52,0.14,0.96,0.03,0.96,0.03,0.9,0.03,0.92,0.03
0.68,0.72,0.34,0.83,0.07,0.83,0.14,0.64,0.2,0.73,0.17,0.68,0.2,0.52,0.14,0.96,0.03,0.95,0.03,0.91,0.03,0.92,0.03
0.67,0.72,0.33,0.82,0.07,0.83,0.14,0.63,0.21,0.73,0.17,0.66,0.21,0.52,0.14,0.96,0.03,0.95,0.04,0.92,0.03,0.91,0.04
0.68,0.72,0.34,0.83,0.07,0.83,0.14,0.64,0.2,0.73,0.17,0.68,0.2,0.52,0.14,0.96,0.03,0.95,0.03,0.91,0.03,0.92,0.03
0.68,0.72,0.34,0.82,0.07,0.83,0.14,0.63,0.21,0.73,0.17,0.67,0.21,0.52,0.14,0.96,0.03,0.95,0.03,0.92,0.03,0.91,0.03
0.68,0.73,0.34,0.82,0.08,0.82,0.15,0.62,0.22,0.72,0.18,0.66,0.22,0.49,0.15,0.96,0.03,0.97,0.02,0.92,0.03,0.94,0.02
0.68,0.72,0.34,0.82,0.08,0.82,0.15,0.62,0.21,0.72,0.18,0.67,0.21,0.51,0.15,0.97,0.02,0.96,0.03,0.92,0.02,0.92,0.03
0.68,0.72,0.34,0.81,0.08,0.82,0.16,0.61,0.22,0.71,0.19,0.66,0.22,0.49,0.16,0.97,0.02,0.97,0.02,0.93,0.02,0.94,0.02
0.68,0.72,0.34,0.81,0.08,0.81,0.16,0.6,0.24,0.71,0.2,0.63,0.24,0.47,0.16,0.97,0.02,0.96,0.02,0.94,0.02,0.93,0.02
0.68,0.73,0.33,0.82,0.08,0.82,0.16,0.62,0.23,0.72,0.2,0.64,0.23,0.46,0.16,0.96,0.03,0.97,0.02,0.92,0.03,0.95,0.02
0.68,0.73,0.33,0.81,0.08,0.81,0.16,0.62,0.23,0.72,0.2,0.63,0.23,0.45,0.16,0.96,0.03,0.98,0.01,0.92,0.03,0.96,0.01
0.68,0.73,0.34,0.82,0.08,0.82,0.15,0.62,0.23,0.72,0.19,0.64,0.23,0.46,0.15,0.96,0.03,0.98,0.02,0.92,0.03,0.95,0.02
0.67,0.72,0.33,0.82,0.08,0.82,0.16,0.63,0.22,0.72,0.19,0.65,0.22,0.47,0.16,0.96,0.03,0.97,0.02,0.91,0.03,0.95,0.02
0.68,0.73,0.34,0.82,0.08,0.81,0.16,0.62,0.22,0.72,0.19,0.65,0.22,0.46,0.16,0.96,0.03,0.98,0.01,0.91,0.03,0.97,0.01
0.68,0.73,0.34,0.81,0.08,0.81,0.16,0.61,0.23,0.71,0.2,0.64,0.23,0.46,0.16,0.97,0.02,0.98,0.02,0.93,0.02,0.96,0.02
0.68,0.73,0.34,0.81,0.08,0.82,0.16,0.62,0.23,0.72,0.2,0.64,0.23,0.46,0.16,0.97,0.02,0.98,0.01,0.92,0.02,0.97,0.01
0.68,0.73,0.34,0.82,0.08,0.81,0.16,0.64,0.21,0.73,0.18,0.66,0.21,0.45,0.16,0.95,0.03,1.0,0.0,0.9,0.03,0.99,0.0
