ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.58,0.71,0.18,0.98,0.01,0.98,0.02,0.9,0.08,0.94,0.05,0.59,0.08,0.63,0.02,0.8,0.13,0.91,0.07,0.73,0.13,0.75,0.07
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.82,0.11
0.62,0.63,0.25,0.98,0.01,0.98,0.01,0.96,0.01,0.97,0.01,0.98,0.01,0.97,0.01,0.86,0.1,0.82,0.11,0.72,0.1,0.77,0.11
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.51,0.22,0.15,0.45,0.07,0.55,0.08,0.24,0.07,0.4,0.08,0.93,0.07,0.91,0.08,0.92,0.06,0.79,0.11,0.75,0.06,0.82,0.11
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.53,0.26,0.19,0.51,0.07,0.61,0.08,0.29,0.06,0.45,0.07,0.94,0.06,0.91,0.08,0.95,0.05,0.8,0.1,0.78,0.05,0.82,0.1
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.58,0.47,0.23,0.55,0.11,0.43,0.26,0.47,0.09,0.45,0.17,0.9,0.09,0.68,0.26,0.92,0.07,0.7,0.18,0.76,0.07,0.69,0.18
