ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.44,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.1,0.0,1.0,0.84,0.1
0.56,0.72,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.61,0.69,0.18,0.71,0.15,0.0,1.0,0.45,0.55,0.23,0.78,0.01,0.55,0.0,1.0,0.98,0.01,0.0,1.0,0.97,0.01,0.0,1.0
0.57,0.72,0.08,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.86,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.54,0.38,0.22,0.37,0.15,0.36,0.26,0.25,0.13,0.3,0.2,0.87,0.13,0.7,0.26,1.0,0.0,0.91,0.04,0.98,0.0,0.92,0.04
0.64,0.69,0.26,0.9,0.04,0.82,0.14,0.79,0.11,0.8,0.12,0.82,0.11,0.6,0.14,0.87,0.09,0.75,0.17,0.75,0.09,0.66,0.17
0.58,0.72,0.13,0.95,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.14,0.0,1.0,0.7,0.14,0.0,1.0
0.58,0.72,0.11,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.16,0.0,1.0,0.67,0.16,0.0,1.0
0.56,0.69,0.05,0.73,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.19,0.0,1.0,0.6,0.19,0.0,1.0
0.54,0.6,0.06,0.16,0.4,0.12,0.85,0.04,0.78,0.08,0.81,0.2,0.78,0.05,0.85,0.66,0.29,0.49,0.41,0.33,0.29,0.31,0.41
