ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.3,0.17,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.99,0.01,0.0,1.0,0.99,0.01
0.53,0.36,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.94,0.03,0.0,1.0,0.94,0.03
0.53,0.34,0.19,0.05,0.29,0.04,0.53,0.05,0.23,0.04,0.38,0.76,0.23,0.46,0.53,0.81,0.15,0.96,0.02,0.59,0.15,0.96,0.02
0.59,0.54,0.24,0.22,0.34,0.19,0.71,0.07,0.58,0.13,0.65,0.4,0.58,0.15,0.71,0.88,0.1,0.8,0.13,0.68,0.1,0.74,0.13
0.64,0.67,0.28,0.53,0.22,0.49,0.49,0.24,0.64,0.36,0.56,0.2,0.64,0.07,0.49,0.92,0.06,0.8,0.14,0.82,0.06,0.65,0.14
0.66,0.72,0.3,0.68,0.16,0.68,0.32,0.34,0.62,0.51,0.47,0.09,0.62,0.06,0.32,0.92,0.06,0.99,0.01,0.84,0.06,0.98,0.01
0.63,0.73,0.25,0.83,0.09,0.0,1.0,0.57,0.43,0.28,0.71,0.02,0.43,0.0,1.0,0.97,0.02,0.0,1.0,0.96,0.02,0.0,1.0
0.63,0.73,0.24,0.86,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.95,0.03,0.0,1.0,0.93,0.03,0.0,1.0
0.63,0.73,0.25,0.87,0.06,0.0,1.0,0.65,0.34,0.33,0.67,0.04,0.34,0.0,1.0,0.95,0.03,0.0,1.0,0.92,0.03,0.0,1.0
0.65,0.73,0.29,0.79,0.1,0.79,0.2,0.53,0.43,0.66,0.32,0.18,0.43,0.11,0.2,0.99,0.01,0.97,0.02,0.98,0.01,0.94,0.02
0.68,0.72,0.35,0.77,0.1,0.78,0.18,0.53,0.27,0.66,0.23,0.61,0.27,0.46,0.18,0.98,0.01,0.95,0.03,0.96,0.01,0.91,0.03
0.65,0.67,0.32,0.93,0.02,0.81,0.12,0.89,0.03,0.85,0.07,0.95,0.03,0.73,0.12,0.91,0.07,0.74,0.17,0.78,0.07,0.67,0.17
0.61,0.62,0.24,0.62,0.13,0.49,0.36,0.47,0.21,0.48,0.28,0.74,0.21,0.45,0.36,0.87,0.1,0.65,0.23,0.71,0.1,0.6,0.23
0.56,0.57,0.13,0.14,0.34,0.08,0.72,0.09,0.47,0.08,0.59,0.51,0.47,0.23,0.72,0.89,0.07,0.56,0.3,0.81,0.07,0.52,0.3
