ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.49,0.08,0.72,0.09,0.69,0.16,0.58,0.2,0.64,0.18,0.73,0.2,0.76,0.16,0.85,0.1,0.72,0.15,0.79,0.1,0.76,0.15
0.55,0.38,0.19,0.24,0.22,0.25,0.35,0.11,0.28,0.18,0.32,0.71,0.28,0.6,0.35,0.93,0.05,0.81,0.1,0.81,0.05,0.82,0.1
0.6,0.5,0.26,0.37,0.21,0.39,0.35,0.15,0.3,0.27,0.32,0.68,0.3,0.55,0.35,0.91,0.07,0.85,0.09,0.72,0.07,0.84,0.09
0.63,0.59,0.3,0.38,0.26,0.38,0.49,0.14,0.48,0.26,0.48,0.48,0.48,0.3,0.49,0.9,0.08,0.96,0.02,0.72,0.08,0.95,0.02
0.65,0.64,0.32,0.43,0.26,0.4,0.54,0.18,0.53,0.29,0.54,0.4,0.53,0.16,0.54,0.93,0.05,0.87,0.08,0.83,0.05,0.8,0.08
0.67,0.69,0.34,0.56,0.2,0.54,0.43,0.26,0.52,0.4,0.47,0.36,0.52,0.14,0.43,0.96,0.03,0.89,0.08,0.9,0.03,0.78,0.08
0.68,0.71,0.36,0.63,0.17,0.63,0.34,0.34,0.46,0.48,0.4,0.39,0.46,0.17,0.34,0.98,0.01,0.92,0.06,0.96,0.01,0.83,0.06
0.69,0.72,0.37,0.64,0.16,0.64,0.33,0.34,0.45,0.49,0.39,0.41,0.45,0.18,0.33,0.98,0.01,0.93,0.05,0.95,0.01,0.85,0.05
0.69,0.71,0.37,0.64,0.16,0.66,0.3,0.33,0.45,0.49,0.38,0.42,0.45,0.26,0.3,0.96,0.03,0.97,0.02,0.9,0.03,0.94,0.02
0.69,0.71,0.37,0.66,0.15,0.68,0.28,0.36,0.39,0.52,0.34,0.5,0.39,0.32,0.28,0.98,0.01,0.96,0.03,0.96,0.01,0.92,0.03
0.69,0.71,0.38,0.69,0.13,0.71,0.25,0.42,0.32,0.56,0.29,0.59,0.32,0.38,0.25,0.99,0.01,0.95,0.03,0.97,0.01,0.92,0.03
0.69,0.7,0.38,0.7,0.12,0.72,0.23,0.47,0.26,0.59,0.24,0.66,0.26,0.45,0.23,0.96,0.03,0.94,0.04,0.91,0.03,0.89,0.04
0.68,0.7,0.36,0.73,0.11,0.75,0.2,0.51,0.24,0.63,0.22,0.69,0.24,0.51,0.2,0.95,0.04,0.91,0.06,0.88,0.04,0.85,0.06
0.68,0.7,0.37,0.74,0.1,0.77,0.18,0.53,0.22,0.65,0.2,0.7,0.22,0.54,0.18,0.95,0.04,0.9,0.07,0.87,0.04,0.83,0.07
0.68,0.7,0.37,0.74,0.1,0.77,0.18,0.53,0.22,0.65,0.2,0.71,0.22,0.54,0.18,0.95,0.04,0.9,0.07,0.86,0.04,0.83,0.07
0.68,0.7,0.37,0.75,0.1,0.77,0.18,0.55,0.21,0.66,0.2,0.72,0.21,0.54,0.18,0.94,0.05,0.9,0.07,0.85,0.05,0.84,0.07
0.68,0.7,0.37,0.76,0.1,0.78,0.18,0.57,0.19,0.68,0.18,0.74,0.19,0.55,0.18,0.93,0.05,0.9,0.06,0.83,0.05,0.84,0.06
0.69,0.7,0.37,0.76,0.1,0.78,0.17,0.56,0.19,0.67,0.18,0.74,0.19,0.56,0.17,0.94,0.05,0.9,0.07,0.84,0.05,0.84,0.07
0.69,0.7,0.37,0.76,0.09,0.79,0.16,0.56,0.19,0.68,0.17,0.74,0.19,0.59,0.16,0.94,0.04,0.88,0.08,0.86,0.04,0.81,0.08
0.69,0.7,0.38,0.77,0.09,0.8,0.15,0.57,0.18,0.69,0.16,0.76,0.18,0.61,0.15,0.94,0.04,0.88,0.08,0.85,0.04,0.8,0.08
0.68,0.7,0.37,0.76,0.09,0.8,0.15,0.55,0.2,0.68,0.17,0.73,0.2,0.61,0.15,0.95,0.04,0.87,0.09,0.87,0.04,0.79,0.09
0.68,0.7,0.37,0.77,0.09,0.81,0.15,0.55,0.2,0.68,0.17,0.74,0.2,0.62,0.15,0.95,0.04,0.86,0.09,0.87,0.04,0.78,0.09
0.69,0.7,0.37,0.76,0.1,0.79,0.16,0.55,0.2,0.67,0.18,0.74,0.2,0.59,0.16,0.95,0.04,0.88,0.08,0.86,0.04,0.81,0.08
0.69,0.7,0.37,0.75,0.1,0.79,0.16,0.52,0.22,0.66,0.19,0.72,0.22,0.59,0.16,0.96,0.03,0.87,0.09,0.89,0.03,0.79,0.09
0.69,0.7,0.38,0.74,0.1,0.79,0.16,0.51,0.22,0.65,0.19,0.71,0.22,0.59,0.16,0.97,0.02,0.87,0.09,0.91,0.02,0.79,0.09
0.69,0.7,0.38,0.74,0.1,0.78,0.17,0.52,0.22,0.65,0.2,0.72,0.22,0.56,0.17,0.96,0.03,0.89,0.08,0.89,0.03,0.81,0.08
0.69,0.7,0.38,0.74,0.1,0.79,0.17,0.51,0.22,0.65,0.2,0.71,0.22,0.57,0.17,0.96,0.03,0.88,0.08,0.9,0.03,0.8,0.08
0.69,0.71,0.38,0.75,0.1,0.79,0.17,0.52,0.23,0.66,0.2,0.7,0.23,0.56,0.17,0.96,0.03,0.88,0.08,0.9,0.03,0.8,0.08
0.69,0.71,0.38,0.74,0.1,0.78,0.18,0.52,0.22,0.65,0.2,0.71,0.22,0.54,0.18,0.96,0.03,0.9,0.07,0.89,0.03,0.83,0.07
0.7,0.71,0.39,0.74,0.1,0.77,0.18,0.53,0.22,0.65,0.2,0.71,0.22,0.51,0.18,0.95,0.04,0.92,0.05,0.87,0.04,0.86,0.05
0.7,0.72,0.4,0.75,0.1,0.78,0.18,0.54,0.21,0.66,0.2,0.72,0.21,0.52,0.18,0.95,0.04,0.92,0.05,0.86,0.04,0.86,0.05
0.7,0.72,0.39,0.75,0.1,0.78,0.18,0.55,0.21,0.67,0.2,0.72,0.21,0.52,0.18,0.94,0.04,0.92,0.05,0.86,0.04,0.86,0.05
0.7,0.71,0.39,0.77,0.09,0.8,0.16,0.57,0.2,0.69,0.18,0.73,0.2,0.55,0.16,0.94,0.04,0.9,0.07,0.85,0.04,0.83,0.07
0.69,0.71,0.38,0.77,0.09,0.81,0.15,0.56,0.2,0.69,0.17,0.73,0.2,0.59,0.15,0.95,0.04,0.88,0.08,0.87,0.04,0.8,0.08
0.69,0.71,0.38,0.78,0.09,0.82,0.14,0.58,0.18,0.7,0.16,0.76,0.18,0.63,0.14,0.94,0.04,0.87,0.09,0.85,0.04,0.79,0.09
0.69,0.71,0.39,0.78,0.08,0.83,0.13,0.59,0.17,0.71,0.15,0.78,0.17,0.66,0.13,0.94,0.04,0.87,0.09,0.84,0.04,0.78,0.09
0.69,0.7,0.39,0.78,0.08,0.83,0.13,0.59,0.17,0.71,0.15,0.78,0.17,0.66,0.13,0.94,0.04,0.86,0.09,0.85,0.04,0.78,0.09
0.7,0.71,0.39,0.78,0.08,0.83,0.13,0.59,0.16,0.71,0.15,0.78,0.16,0.66,0.13,0.94,0.04,0.87,0.09,0.84,0.04,0.78,0.09
