ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.6,0.58,0.24,0.57,0.17,0.54,0.32,0.35,0.32,0.45,0.32,0.61,0.32,0.48,0.32,0.99,0.0,0.91,0.05,0.99,0.0,0.9,0.05
0.64,0.64,0.3,0.56,0.19,0.52,0.4,0.3,0.39,0.41,0.4,0.53,0.39,0.3,0.4,0.97,0.02,0.94,0.03,0.93,0.02,0.92,0.03
0.65,0.66,0.31,0.59,0.18,0.56,0.37,0.33,0.39,0.45,0.38,0.52,0.39,0.3,0.37,0.97,0.02,0.95,0.03,0.93,0.02,0.93,0.03
0.65,0.65,0.32,0.59,0.17,0.56,0.36,0.33,0.35,0.45,0.35,0.57,0.35,0.33,0.36,0.98,0.02,0.96,0.03,0.94,0.02,0.93,0.03
0.66,0.67,0.32,0.66,0.14,0.63,0.3,0.41,0.33,0.52,0.32,0.58,0.33,0.37,0.3,1.0,0.0,0.99,0.01,0.99,0.0,0.99,0.01
0.66,0.67,0.32,0.67,0.14,0.66,0.27,0.42,0.31,0.54,0.29,0.6,0.31,0.42,0.27,1.0,0.0,0.97,0.02,0.99,0.0,0.96,0.02
0.67,0.69,0.34,0.7,0.12,0.7,0.24,0.45,0.29,0.57,0.27,0.62,0.29,0.44,0.24,1.0,0.0,0.96,0.02,0.99,0.0,0.94,0.02
0.67,0.69,0.34,0.71,0.12,0.71,0.23,0.48,0.27,0.59,0.25,0.65,0.27,0.46,0.23,0.99,0.01,0.96,0.02,0.97,0.01,0.94,0.02
0.67,0.68,0.33,0.72,0.11,0.72,0.22,0.49,0.25,0.6,0.23,0.66,0.25,0.48,0.22,0.98,0.01,0.96,0.03,0.96,0.01,0.93,0.03
0.67,0.68,0.35,0.73,0.11,0.73,0.21,0.53,0.2,0.63,0.21,0.74,0.2,0.53,0.21,0.97,0.02,0.96,0.02,0.91,0.02,0.94,0.02
0.67,0.68,0.34,0.73,0.11,0.72,0.21,0.52,0.21,0.62,0.21,0.72,0.21,0.51,0.21,0.97,0.02,0.96,0.02,0.92,0.02,0.94,0.02
0.68,0.69,0.35,0.75,0.1,0.74,0.21,0.55,0.21,0.65,0.21,0.73,0.21,0.5,0.21,0.96,0.03,0.98,0.01,0.9,0.03,0.96,0.01
0.67,0.68,0.34,0.74,0.1,0.74,0.2,0.54,0.21,0.64,0.21,0.72,0.21,0.55,0.2,0.97,0.02,0.94,0.04,0.92,0.02,0.91,0.04
