ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.69,0.05,0.95,0.03,0.89,0.1,0.93,0.06,0.91,0.08,0.64,0.06,0.37,0.1,0.82,0.12,0.94,0.03,0.76,0.12,0.94,0.03
0.56,0.71,0.07,0.99,0.0,0.99,0.01,0.97,0.03,0.98,0.02,0.53,0.03,0.5,0.01,0.83,0.11,0.84,0.11,0.77,0.11,0.73,0.11
0.56,0.71,0.06,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.13,0.0,1.0,0.73,0.13,0.0,1.0
0.6,0.73,0.2,0.96,0.02,0.95,0.05,0.87,0.12,0.91,0.08,0.51,0.12,0.29,0.05,0.81,0.12,0.79,0.18,0.72,0.12,0.47,0.18
0.64,0.72,0.26,0.99,0.0,1.0,0.0,0.94,0.03,0.97,0.01,0.92,0.03,0.98,0.0,0.84,0.11,0.88,0.08,0.72,0.11,0.81,0.08
0.65,0.66,0.3,0.59,0.18,0.56,0.38,0.31,0.45,0.44,0.42,0.44,0.45,0.26,0.38,0.96,0.03,0.97,0.02,0.9,0.03,0.95,0.02
0.62,0.59,0.26,0.35,0.29,0.31,0.61,0.12,0.6,0.21,0.6,0.35,0.6,0.15,0.61,0.88,0.1,0.84,0.1,0.69,0.1,0.78,0.1
0.58,0.52,0.21,0.2,0.35,0.17,0.72,0.07,0.6,0.12,0.66,0.37,0.6,0.17,0.72,0.9,0.07,0.85,0.09,0.76,0.07,0.82,0.09
0.58,0.51,0.23,0.22,0.32,0.19,0.65,0.09,0.5,0.14,0.57,0.47,0.5,0.23,0.65,0.92,0.07,0.88,0.07,0.77,0.07,0.85,0.07
0.58,0.52,0.21,0.2,0.36,0.16,0.74,0.07,0.61,0.12,0.68,0.36,0.61,0.14,0.74,0.91,0.07,0.81,0.12,0.78,0.07,0.76,0.12
0.62,0.61,0.27,0.37,0.29,0.34,0.6,0.12,0.63,0.23,0.61,0.3,0.63,0.13,0.6,0.86,0.11,0.84,0.11,0.65,0.11,0.76,0.11
0.64,0.65,0.3,0.5,0.22,0.47,0.47,0.22,0.52,0.34,0.49,0.4,0.52,0.2,0.47,0.92,0.06,0.91,0.06,0.79,0.06,0.87,0.06
0.65,0.67,0.31,0.59,0.18,0.57,0.38,0.3,0.49,0.43,0.43,0.39,0.49,0.24,0.38,0.94,0.05,0.98,0.01,0.85,0.05,0.97,0.01
0.67,0.7,0.34,0.76,0.1,0.76,0.19,0.55,0.23,0.66,0.21,0.69,0.23,0.51,0.19,0.97,0.02,0.94,0.03,0.92,0.02,0.91,0.03
0.66,0.71,0.3,0.97,0.01,0.99,0.01,1.0,0.0,0.99,0.01,1.0,0.0,0.97,0.01,0.87,0.1,0.86,0.1,0.73,0.1,0.78,0.1
0.63,0.67,0.24,0.69,0.12,0.58,0.34,0.45,0.28,0.52,0.31,0.64,0.28,0.37,0.34,0.82,0.14,0.66,0.23,0.62,0.14,0.57,0.23
0.58,0.63,0.14,0.34,0.29,0.25,0.68,0.15,0.57,0.2,0.62,0.37,0.57,0.13,0.68,0.75,0.2,0.54,0.35,0.51,0.2,0.41,0.35
0.52,0.59,0.02,0.06,0.44,0.04,0.93,0.02,0.81,0.03,0.87,0.18,0.81,0.04,0.93,0.67,0.27,0.46,0.45,0.38,0.27,0.28,0.45
0.52,0.58,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.45,0.45,0.0,1.0,0.28,0.45
0.55,0.57,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.52,0.35,0.0,1.0,0.44,0.35
