ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.6,0.72,0.23,0.92,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.09,0.0,1.0,0.81,0.09,0.0,1.0
0.65,0.73,0.31,0.78,0.11,0.81,0.19,0.48,0.5,0.65,0.34,0.06,0.5,0.07,0.19,0.98,0.01,0.76,0.17,0.97,0.01,0.61,0.17
0.65,0.73,0.31,0.77,0.11,0.79,0.21,0.47,0.5,0.63,0.35,0.09,0.5,0.07,0.21,0.98,0.01,0.93,0.05,0.96,0.01,0.85,0.05
0.65,0.73,0.3,0.77,0.11,0.78,0.21,0.48,0.49,0.63,0.35,0.1,0.49,0.07,0.21,0.97,0.02,0.97,0.02,0.95,0.02,0.94,0.02
0.66,0.72,0.31,0.74,0.13,0.74,0.25,0.45,0.49,0.59,0.37,0.18,0.49,0.08,0.25,0.98,0.02,0.94,0.05,0.96,0.02,0.84,0.05
0.68,0.73,0.35,0.7,0.14,0.7,0.29,0.4,0.49,0.55,0.39,0.27,0.49,0.1,0.29,1.0,0.0,0.89,0.08,1.0,0.0,0.75,0.08
0.68,0.73,0.35,0.7,0.14,0.7,0.28,0.42,0.45,0.56,0.36,0.35,0.45,0.15,0.28,0.99,0.01,0.92,0.06,0.97,0.01,0.81,0.06
0.68,0.72,0.36,0.7,0.14,0.71,0.28,0.42,0.42,0.56,0.35,0.4,0.42,0.19,0.28,0.98,0.01,0.94,0.04,0.96,0.01,0.88,0.04
0.68,0.73,0.36,0.72,0.13,0.72,0.26,0.43,0.42,0.57,0.34,0.38,0.42,0.18,0.26,0.98,0.01,0.95,0.03,0.96,0.01,0.89,0.03
0.68,0.72,0.35,0.7,0.14,0.71,0.27,0.43,0.41,0.57,0.34,0.41,0.41,0.21,0.27,0.98,0.01,0.96,0.03,0.96,0.01,0.91,0.03
0.68,0.73,0.36,0.73,0.12,0.74,0.24,0.45,0.38,0.59,0.31,0.45,0.38,0.25,0.24,0.97,0.02,1.0,0.0,0.94,0.02,1.0,0.0
0.68,0.72,0.34,0.74,0.12,0.75,0.23,0.48,0.36,0.61,0.29,0.46,0.36,0.29,0.23,0.96,0.03,0.97,0.02,0.92,0.03,0.93,0.02
0.67,0.72,0.34,0.75,0.11,0.76,0.22,0.5,0.35,0.63,0.28,0.45,0.35,0.29,0.22,0.95,0.03,0.97,0.02,0.9,0.03,0.93,0.02
0.67,0.72,0.34,0.75,0.11,0.75,0.22,0.5,0.35,0.62,0.28,0.46,0.35,0.28,0.22,0.95,0.03,0.97,0.02,0.91,0.03,0.94,0.02
0.68,0.72,0.35,0.75,0.11,0.75,0.22,0.52,0.32,0.64,0.27,0.51,0.32,0.29,0.22,0.94,0.04,0.99,0.0,0.88,0.04,0.98,0.0
0.68,0.72,0.35,0.77,0.1,0.77,0.2,0.56,0.26,0.67,0.23,0.6,0.26,0.4,0.2,0.93,0.05,0.95,0.03,0.85,0.05,0.91,0.03
0.68,0.72,0.35,0.77,0.1,0.79,0.18,0.56,0.26,0.68,0.22,0.61,0.26,0.43,0.18,0.93,0.05,0.93,0.05,0.85,0.05,0.87,0.05
0.68,0.72,0.35,0.77,0.1,0.77,0.2,0.57,0.27,0.67,0.24,0.58,0.27,0.35,0.2,0.92,0.06,0.98,0.01,0.84,0.06,0.96,0.01
0.68,0.72,0.36,0.77,0.1,0.78,0.19,0.55,0.27,0.67,0.23,0.6,0.27,0.42,0.19,0.94,0.04,0.94,0.04,0.86,0.04,0.88,0.04
0.68,0.72,0.35,0.77,0.1,0.78,0.19,0.56,0.26,0.67,0.23,0.62,0.26,0.42,0.19,0.93,0.05,0.94,0.04,0.85,0.05,0.89,0.04
0.68,0.72,0.36,0.77,0.1,0.78,0.19,0.58,0.24,0.68,0.21,0.65,0.24,0.43,0.19,0.92,0.06,0.95,0.04,0.83,0.06,0.9,0.04
0.68,0.72,0.36,0.78,0.1,0.79,0.18,0.56,0.26,0.68,0.22,0.62,0.26,0.43,0.18,0.93,0.05,0.93,0.05,0.86,0.05,0.87,0.05
0.68,0.72,0.36,0.78,0.09,0.79,0.18,0.59,0.23,0.69,0.21,0.67,0.23,0.46,0.18,0.92,0.06,0.94,0.04,0.83,0.06,0.88,0.04
0.68,0.72,0.36,0.78,0.09,0.79,0.18,0.59,0.23,0.69,0.21,0.66,0.23,0.46,0.18,0.92,0.06,0.93,0.05,0.83,0.06,0.88,0.05
0.68,0.72,0.35,0.8,0.09,0.81,0.16,0.61,0.22,0.71,0.19,0.66,0.22,0.49,0.16,0.92,0.06,0.92,0.06,0.82,0.06,0.85,0.06
0.68,0.72,0.36,0.8,0.09,0.81,0.16,0.62,0.21,0.72,0.18,0.69,0.21,0.5,0.16,0.91,0.06,0.92,0.06,0.81,0.06,0.85,0.06
0.68,0.72,0.36,0.81,0.08,0.82,0.15,0.65,0.18,0.73,0.16,0.72,0.18,0.53,0.15,0.91,0.07,0.91,0.06,0.79,0.07,0.84,0.06
