ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.5,0.59,-0.03,0.5,0.24,0.41,0.52,0.25,0.67,0.33,0.59,0.14,0.67,0.19,0.52,0.69,0.22,0.94,0.03,0.57,0.22,0.95,0.03
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.82,0.11
0.59,0.57,0.19,0.83,0.05,0.77,0.12,0.64,0.12,0.71,0.12,0.84,0.12,0.78,0.12,0.82,0.14,0.78,0.13,0.64,0.14,0.76,0.13
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.82,0.11
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.47,0.06,0.03,0.8,0.01,0.97,0.0,0.56,0.01,0.77,0.01,0.99,0.01,1.0,0.0,0.95,0.03,0.77,0.12,0.91,0.03,0.81,0.12
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.51,0.24,0.14,0.11,0.12,0.07,0.21,0.17,0.06,0.12,0.14,0.94,0.06,0.79,0.21,0.89,0.09,0.72,0.16,0.74,0.09,0.75,0.16
0.48,0.09,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.54,0.7,0.07,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.5,0.15,0.14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.73,0.14,0.0,1.0,0.77,0.14
0.54,0.56,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.52,0.36,0.0,1.0,0.41,0.36
0.54,0.55,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,0.35,0.0,1.0,0.43,0.35
0.49,0.1,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.57,0.51,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.58,0.28,0.0,1.0,0.53,0.28
0.49,0.12,0.13,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.13,0.0,1.0,0.78,0.13
0.6,0.72,0.22,0.94,0.03,0.92,0.07,0.81,0.16,0.86,0.12,0.48,0.16,0.27,0.07,0.79,0.14,0.78,0.18,0.7,0.14,0.45,0.18
0.6,0.72,0.25,0.99,0.0,0.98,0.02,0.96,0.04,0.97,0.03,0.81,0.04,0.39,0.02,0.81,0.12,0.92,0.07,0.74,0.12,0.54,0.07
0.48,0.1,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.46,0.0,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.11,0.0,1.0,0.82,0.11
0.5,0.57,-0.03,0.06,0.46,0.04,0.94,0.01,0.89,0.03,0.92,0.09,0.89,0.01,0.94,0.61,0.33,0.45,0.49,0.32,0.33,0.19,0.49
0.59,0.65,0.18,0.5,0.22,0.42,0.53,0.19,0.55,0.3,0.54,0.36,0.55,0.15,0.53,0.7,0.25,0.61,0.3,0.43,0.25,0.43,0.3
0.58,0.56,0.18,0.24,0.28,0.16,0.62,0.13,0.37,0.15,0.49,0.61,0.37,0.3,0.62,0.82,0.14,0.59,0.28,0.62,0.14,0.52,0.28
0.54,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.55,0.57,0.11,0.05,0.4,0.03,0.84,0.03,0.59,0.03,0.71,0.4,0.59,0.13,0.84,0.84,0.11,0.52,0.36,0.73,0.11,0.41,0.36
0.49,0.11,0.11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.78,0.13
0.52,0.23,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.71,0.16,0.0,1.0,0.74,0.16
0.61,0.71,0.23,0.85,0.07,0.81,0.18,0.59,0.35,0.7,0.27,0.33,0.35,0.11,0.18,0.75,0.18,0.69,0.27,0.61,0.18,0.3,0.27
0.47,0.55,-0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.45,0.47,0.0,1.0,0.22,0.47
0.57,0.7,0.12,0.82,0.09,0.0,1.0,0.5,0.5,0.25,0.75,0.0,0.5,0.0,1.0,0.69,0.22,0.0,1.0,0.56,0.22,0.0,1.0
0.47,0.05,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.12,0.0,1.0,0.81,0.12
0.49,0.14,0.12,0.61,0.03,0.78,0.02,0.35,0.03,0.56,0.03,0.97,0.03,0.98,0.02,0.93,0.06,0.78,0.11,0.75,0.06,0.81,0.11
0.62,0.57,0.29,0.93,0.02,0.95,0.02,0.82,0.04,0.89,0.03,0.95,0.04,0.96,0.02,0.95,0.04,0.78,0.14,0.86,0.04,0.74,0.14
0.47,0.06,0.06,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.76,0.12,0.0,1.0,0.8,0.12
0.55,0.33,0.21,0.74,0.04,0.9,0.02,0.5,0.05,0.7,0.04,0.95,0.05,0.97,0.02,0.97,0.02,0.78,0.12,0.9,0.02,0.79,0.12
0.58,0.7,0.16,0.8,0.1,0.78,0.21,0.46,0.51,0.62,0.36,0.1,0.51,0.03,0.21,0.69,0.23,0.7,0.26,0.54,0.23,0.32,0.26
