ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.51,0.66,-0.05,0.94,0.03,0.91,0.08,0.88,0.11,0.9,0.1,0.34,0.11,0.5,0.08,0.78,0.14,0.92,0.03,0.74,0.14,0.95,0.03
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.58,0.48,0.21,0.93,0.02,0.85,0.06,0.8,0.04,0.82,0.05,0.96,0.04,0.91,0.06,0.85,0.11,0.76,0.14,0.66,0.11,0.75,0.14
0.47,0.03,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.13,0.0,1.0,0.78,0.13
0.49,0.08,0.12,0.43,0.02,0.52,0.03,0.43,0.0,0.47,0.01,1.0,0.0,0.97,0.03,0.98,0.02,0.76,0.12,0.75,0.02,0.8,0.12
0.65,0.69,0.28,0.76,0.11,0.75,0.22,0.54,0.32,0.65,0.27,0.49,0.32,0.37,0.22,0.94,0.04,0.92,0.05,0.89,0.04,0.86,0.05
0.54,0.7,0.06,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.8,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.62,0.54,0.28,0.9,0.03,0.96,0.02,0.77,0.04,0.86,0.03,0.95,0.04,0.97,0.02,0.95,0.04,0.76,0.15,0.84,0.04,0.72,0.15
0.64,0.63,0.29,0.97,0.01,0.97,0.02,0.94,0.02,0.95,0.02,0.97,0.02,0.96,0.02,0.85,0.11,0.8,0.13,0.67,0.11,0.74,0.13
0.65,0.71,0.31,0.87,0.06,0.86,0.12,0.77,0.14,0.81,0.13,0.73,0.14,0.5,0.12,0.87,0.09,0.95,0.03,0.77,0.09,0.9,0.03
0.6,0.49,0.26,0.85,0.03,0.71,0.12,0.78,0.03,0.74,0.07,0.97,0.03,0.83,0.12,0.91,0.07,0.73,0.16,0.72,0.07,0.71,0.16
0.62,0.73,0.28,0.96,0.02,0.98,0.02,0.94,0.05,0.96,0.04,0.81,0.05,0.67,0.02,0.83,0.11,0.94,0.05,0.75,0.11,0.77,0.05
0.63,0.59,0.29,0.98,0.0,0.87,0.07,0.94,0.01,0.91,0.04,0.98,0.01,0.87,0.07,0.89,0.09,0.75,0.16,0.72,0.09,0.7,0.16
0.67,0.7,0.33,0.84,0.06,0.84,0.13,0.76,0.11,0.8,0.12,0.83,0.11,0.62,0.13,0.88,0.09,0.92,0.05,0.75,0.09,0.86,0.05
0.61,0.73,0.27,0.98,0.01,0.99,0.01,0.96,0.03,0.97,0.02,0.86,0.03,0.75,0.01,0.82,0.12,0.94,0.05,0.75,0.12,0.74,0.05
