ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.66,0.07,0.74,0.12,0.61,0.35,0.56,0.36,0.58,0.35,0.36,0.36,0.23,0.35,0.81,0.13,0.66,0.22,0.72,0.13,0.63,0.22
0.54,0.5,0.11,0.14,0.29,0.1,0.56,0.08,0.37,0.09,0.47,0.61,0.37,0.41,0.56,0.82,0.14,0.65,0.21,0.63,0.14,0.66,0.21
0.48,0.16,0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.13,0.0,1.0,0.79,0.13
0.49,0.2,0.14,0.3,0.07,0.28,0.11,0.13,0.04,0.21,0.07,0.96,0.04,0.88,0.11,0.84,0.14,0.75,0.13,0.37,0.14,0.79,0.13
0.52,0.28,0.18,0.58,0.05,0.44,0.12,0.77,0.01,0.6,0.07,0.99,0.01,0.87,0.12,0.97,0.02,0.73,0.14,0.91,0.02,0.77,0.14
0.56,0.42,0.23,0.84,0.03,0.95,0.02,0.7,0.04,0.82,0.03,0.96,0.04,0.98,0.02,0.97,0.02,0.79,0.11,0.9,0.02,0.8,0.11
0.62,0.57,0.29,0.65,0.11,0.66,0.19,0.45,0.16,0.56,0.17,0.82,0.16,0.69,0.19,0.99,0.01,0.88,0.07,0.97,0.01,0.87,0.07
0.66,0.67,0.32,0.7,0.12,0.68,0.25,0.5,0.24,0.59,0.24,0.69,0.24,0.47,0.25,0.97,0.02,0.98,0.01,0.91,0.02,0.97,0.01
0.66,0.7,0.32,0.74,0.11,0.73,0.24,0.51,0.31,0.62,0.28,0.54,0.31,0.35,0.24,0.98,0.02,1.0,0.0,0.95,0.02,1.0,0.0
0.67,0.72,0.33,0.8,0.09,0.79,0.19,0.58,0.28,0.69,0.24,0.55,0.28,0.37,0.19,0.96,0.03,0.99,0.01,0.92,0.03,0.98,0.01
0.67,0.73,0.32,0.8,0.09,0.79,0.2,0.57,0.31,0.68,0.26,0.47,0.31,0.26,0.2,0.96,0.03,0.96,0.03,0.93,0.03,0.91,0.03
0.66,0.73,0.31,0.82,0.08,0.82,0.17,0.62,0.28,0.72,0.23,0.49,0.28,0.29,0.17,0.95,0.04,0.98,0.01,0.9,0.04,0.96,0.01
0.66,0.73,0.3,0.83,0.08,0.82,0.17,0.63,0.28,0.72,0.23,0.48,0.28,0.28,0.17,0.94,0.04,0.97,0.02,0.89,0.04,0.95,0.02
0.66,0.73,0.3,0.83,0.08,0.82,0.17,0.62,0.29,0.72,0.23,0.44,0.29,0.28,0.17,0.95,0.03,0.99,0.01,0.91,0.03,0.98,0.01
0.66,0.73,0.3,0.83,0.08,0.83,0.16,0.63,0.27,0.73,0.22,0.48,0.27,0.31,0.16,0.94,0.04,1.0,0.0,0.89,0.04,0.99,0.0
0.66,0.73,0.3,0.84,0.07,0.83,0.16,0.65,0.25,0.74,0.21,0.53,0.25,0.33,0.16,0.93,0.04,0.99,0.0,0.88,0.04,0.99,0.0
0.66,0.73,0.3,0.84,0.07,0.83,0.15,0.68,0.22,0.76,0.18,0.59,0.22,0.38,0.15,0.92,0.05,1.0,0.0,0.85,0.05,1.0,0.0
0.67,0.72,0.32,0.86,0.06,0.84,0.14,0.73,0.16,0.78,0.15,0.71,0.16,0.48,0.14,0.91,0.06,0.98,0.01,0.82,0.06,0.97,0.01
0.67,0.72,0.32,0.89,0.05,0.89,0.09,0.81,0.1,0.85,0.1,0.83,0.1,0.68,0.09,0.9,0.07,0.91,0.06,0.79,0.07,0.86,0.06
0.66,0.7,0.31,0.93,0.03,0.97,0.02,0.89,0.05,0.93,0.04,0.93,0.05,0.93,0.02,0.9,0.07,0.84,0.11,0.78,0.07,0.77,0.11
0.65,0.67,0.3,0.99,0.0,0.94,0.04,0.99,0.0,0.96,0.02,0.99,0.0,0.89,0.04,0.9,0.08,0.79,0.13,0.76,0.08,0.73,0.13
0.64,0.65,0.29,0.9,0.03,0.77,0.15,0.92,0.03,0.84,0.09,0.96,0.03,0.69,0.15,0.93,0.05,0.71,0.19,0.83,0.05,0.65,0.19
