ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.68,0.02,0.91,0.04,0.87,0.12,0.79,0.2,0.83,0.16,0.24,0.2,0.31,0.12,0.8,0.13,0.92,0.04,0.74,0.13,0.93,0.04
0.57,0.71,0.12,0.99,0.0,0.98,0.02,0.98,0.01,0.98,0.01,0.8,0.01,0.32,0.02,0.84,0.1,0.7,0.25,0.78,0.1,0.37,0.25
0.6,0.72,0.2,0.95,0.03,0.95,0.05,0.86,0.13,0.91,0.09,0.32,0.13,0.2,0.05,0.88,0.08,0.99,0.01,0.83,0.08,0.96,0.01
0.64,0.73,0.27,0.88,0.06,0.89,0.1,0.68,0.29,0.79,0.2,0.21,0.29,0.13,0.1,0.94,0.04,0.98,0.01,0.91,0.04,0.94,0.01
0.65,0.74,0.3,0.84,0.08,0.84,0.16,0.63,0.31,0.73,0.23,0.36,0.31,0.16,0.16,0.95,0.03,0.91,0.07,0.91,0.03,0.76,0.07
0.66,0.73,0.31,0.83,0.08,0.84,0.15,0.6,0.32,0.72,0.23,0.37,0.32,0.24,0.15,0.97,0.02,1.0,0.0,0.94,0.02,0.99,0.0
0.66,0.73,0.32,0.82,0.08,0.83,0.17,0.6,0.31,0.71,0.24,0.41,0.31,0.24,0.17,0.96,0.03,0.97,0.02,0.93,0.03,0.93,0.02
0.67,0.73,0.32,0.8,0.09,0.8,0.19,0.56,0.34,0.68,0.27,0.4,0.34,0.22,0.19,0.98,0.02,0.95,0.04,0.95,0.02,0.88,0.04
0.68,0.73,0.34,0.76,0.11,0.76,0.22,0.5,0.37,0.63,0.29,0.41,0.37,0.2,0.22,1.0,0.0,0.92,0.06,1.0,0.0,0.83,0.06
0.68,0.74,0.34,0.79,0.1,0.79,0.2,0.53,0.36,0.66,0.28,0.41,0.36,0.21,0.2,0.99,0.01,0.94,0.05,0.98,0.01,0.85,0.05
0.68,0.73,0.35,0.78,0.1,0.78,0.2,0.52,0.34,0.65,0.27,0.45,0.34,0.25,0.2,0.99,0.01,0.95,0.03,0.98,0.01,0.9,0.03
0.68,0.73,0.35,0.78,0.1,0.78,0.2,0.54,0.32,0.66,0.26,0.48,0.32,0.25,0.2,0.98,0.01,0.94,0.04,0.96,0.01,0.87,0.04
0.68,0.73,0.35,0.78,0.1,0.78,0.2,0.53,0.32,0.66,0.26,0.5,0.32,0.31,0.2,0.99,0.01,0.98,0.01,0.98,0.01,0.95,0.01
0.68,0.73,0.36,0.77,0.1,0.77,0.21,0.51,0.32,0.64,0.27,0.52,0.32,0.31,0.21,0.99,0.0,0.98,0.01,0.99,0.0,0.96,0.01
0.68,0.73,0.36,0.76,0.11,0.76,0.21,0.5,0.33,0.63,0.27,0.52,0.33,0.32,0.21,1.0,0.0,0.98,0.01,1.0,0.0,0.96,0.01
0.68,0.73,0.36,0.75,0.11,0.75,0.22,0.49,0.33,0.62,0.28,0.52,0.33,0.31,0.22,1.0,0.0,0.97,0.02,1.0,0.0,0.95,0.02
0.69,0.73,0.36,0.75,0.11,0.76,0.22,0.49,0.32,0.62,0.27,0.53,0.32,0.32,0.22,1.0,0.0,0.98,0.02,1.0,0.0,0.95,0.02
0.68,0.73,0.35,0.79,0.09,0.79,0.19,0.57,0.28,0.68,0.24,0.57,0.28,0.35,0.19,0.97,0.02,0.98,0.01,0.93,0.02,0.97,0.01
0.68,0.73,0.35,0.8,0.09,0.8,0.18,0.58,0.27,0.69,0.23,0.57,0.27,0.37,0.18,0.97,0.02,1.0,0.0,0.94,0.02,0.99,0.0
0.68,0.73,0.35,0.8,0.09,0.81,0.17,0.58,0.27,0.7,0.22,0.57,0.27,0.38,0.17,0.97,0.02,0.99,0.01,0.94,0.02,0.98,0.01
0.68,0.73,0.35,0.81,0.09,0.81,0.17,0.59,0.26,0.7,0.22,0.59,0.26,0.39,0.17,0.96,0.03,1.0,0.0,0.92,0.03,0.99,0.0
0.68,0.73,0.35,0.82,0.08,0.82,0.16,0.62,0.24,0.72,0.2,0.62,0.24,0.41,0.16,0.95,0.03,0.99,0.01,0.9,0.03,0.98,0.01
0.69,0.74,0.36,0.83,0.07,0.84,0.14,0.63,0.23,0.73,0.18,0.62,0.23,0.43,0.14,0.96,0.03,0.98,0.02,0.91,0.03,0.95,0.02
0.69,0.74,0.36,0.84,0.07,0.84,0.14,0.66,0.2,0.75,0.17,0.66,0.2,0.43,0.14,0.94,0.04,1.0,0.0,0.88,0.04,1.0,0.0
0.69,0.74,0.36,0.83,0.07,0.84,0.14,0.65,0.21,0.74,0.17,0.66,0.21,0.46,0.14,0.95,0.04,0.98,0.01,0.89,0.04,0.96,0.01
0.68,0.73,0.36,0.83,0.07,0.83,0.15,0.67,0.19,0.75,0.17,0.69,0.19,0.44,0.15,0.93,0.05,0.99,0.0,0.86,0.05,0.99,0.0
0.68,0.73,0.35,0.83,0.07,0.83,0.15,0.67,0.19,0.75,0.17,0.69,0.19,0.45,0.15,0.94,0.05,1.0,0.0,0.86,0.05,1.0,0.0
0.68,0.73,0.35,0.83,0.07,0.84,0.14,0.67,0.19,0.76,0.17,0.7,0.19,0.52,0.14,0.94,0.04,0.96,0.03,0.87,0.04,0.92,0.03
0.68,0.73,0.36,0.84,0.07,0.84,0.14,0.67,0.19,0.76,0.17,0.7,0.19,0.49,0.14,0.94,0.04,0.98,0.01,0.87,0.04,0.96,0.01
0.68,0.73,0.35,0.83,0.07,0.83,0.15,0.66,0.19,0.74,0.17,0.69,0.19,0.48,0.15,0.94,0.04,0.98,0.02,0.87,0.04,0.96,0.02
0.69,0.73,0.36,0.84,0.07,0.84,0.14,0.68,0.18,0.76,0.16,0.7,0.18,0.47,0.14,0.94,0.05,0.99,0.01,0.86,0.05,0.98,0.01
0.68,0.73,0.36,0.83,0.07,0.84,0.14,0.67,0.19,0.76,0.17,0.7,0.19,0.47,0.14,0.94,0.05,0.99,0.01,0.86,0.05,0.97,0.01
0.68,0.73,0.35,0.83,0.07,0.84,0.14,0.67,0.18,0.76,0.16,0.7,0.18,0.5,0.14,0.94,0.04,0.97,0.02,0.87,0.04,0.94,0.02
0.69,0.73,0.36,0.84,0.07,0.85,0.13,0.68,0.18,0.77,0.15,0.71,0.18,0.51,0.13,0.94,0.04,0.97,0.02,0.87,0.04,0.93,0.02
0.69,0.73,0.36,0.84,0.07,0.86,0.12,0.68,0.18,0.77,0.15,0.71,0.18,0.53,0.12,0.94,0.04,0.96,0.03,0.87,0.04,0.91,0.03
0.69,0.73,0.36,0.85,0.07,0.86,0.12,0.69,0.17,0.77,0.15,0.73,0.17,0.54,0.12,0.94,0.05,0.96,0.03,0.86,0.05,0.92,0.03
0.69,0.73,0.36,0.86,0.06,0.87,0.11,0.72,0.15,0.79,0.13,0.75,0.15,0.55,0.11,0.93,0.05,0.96,0.03,0.84,0.05,0.92,0.03
0.68,0.73,0.36,0.86,0.06,0.87,0.11,0.72,0.15,0.79,0.13,0.75,0.15,0.56,0.11,0.93,0.05,0.95,0.03,0.85,0.05,0.91,0.03
0.68,0.73,0.35,0.86,0.06,0.88,0.1,0.71,0.16,0.79,0.13,0.75,0.16,0.63,0.1,0.94,0.04,0.91,0.06,0.87,0.04,0.84,0.06
0.68,0.72,0.35,0.86,0.06,0.89,0.09,0.72,0.14,0.8,0.12,0.78,0.14,0.68,0.09,0.93,0.05,0.9,0.07,0.85,0.05,0.83,0.07
0.68,0.72,0.34,0.87,0.05,0.9,0.08,0.76,0.12,0.83,0.1,0.81,0.12,0.73,0.08,0.93,0.05,0.89,0.07,0.84,0.05,0.82,0.07
0.68,0.72,0.34,0.87,0.05,0.9,0.08,0.75,0.12,0.82,0.1,0.81,0.12,0.72,0.08,0.93,0.05,0.89,0.07,0.84,0.05,0.82,0.07
0.68,0.72,0.34,0.87,0.05,0.89,0.09,0.75,0.12,0.82,0.1,0.81,0.12,0.7,0.09,0.93,0.05,0.9,0.07,0.84,0.05,0.83,0.07
0.68,0.72,0.35,0.87,0.05,0.89,0.09,0.74,0.13,0.81,0.11,0.8,0.13,0.7,0.09,0.93,0.05,0.9,0.07,0.84,0.05,0.83,0.07
0.68,0.72,0.35,0.86,0.05,0.89,0.09,0.73,0.13,0.81,0.11,0.79,0.13,0.71,0.09,0.94,0.05,0.89,0.07,0.86,0.05,0.82,0.07
0.68,0.71,0.35,0.86,0.05,0.9,0.08,0.72,0.14,0.81,0.11,0.79,0.14,0.73,0.08,0.94,0.04,0.88,0.08,0.86,0.04,0.8,0.08
0.68,0.71,0.35,0.86,0.06,0.9,0.08,0.7,0.14,0.8,0.11,0.79,0.14,0.74,0.08,0.95,0.04,0.87,0.08,0.88,0.04,0.79,0.08
0.68,0.71,0.35,0.86,0.06,0.9,0.08,0.71,0.13,0.8,0.11,0.8,0.13,0.74,0.08,0.94,0.04,0.88,0.08,0.87,0.04,0.8,0.08
0.68,0.72,0.35,0.85,0.06,0.88,0.09,0.68,0.15,0.78,0.12,0.77,0.15,0.69,0.09,0.95,0.04,0.89,0.08,0.88,0.04,0.81,0.08
0.68,0.72,0.35,0.85,0.06,0.88,0.09,0.68,0.15,0.78,0.12,0.77,0.15,0.69,0.09,0.95,0.04,0.89,0.08,0.88,0.04,0.81,0.08
