ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.59,0.64,0.16,0.65,0.17,0.54,0.44,0.43,0.51,0.48,0.47,0.16,0.51,0.08,0.44,0.91,0.05,0.91,0.05,0.88,0.05,0.88,0.05
0.64,0.7,0.27,0.72,0.13,0.71,0.27,0.46,0.44,0.58,0.35,0.3,0.44,0.2,0.27,0.99,0.01,0.98,0.01,0.98,0.01,0.96,0.01
0.65,0.7,0.29,0.72,0.13,0.71,0.27,0.45,0.43,0.58,0.35,0.33,0.43,0.21,0.27,1.0,0.0,0.99,0.01,1.0,0.0,0.98,0.01
0.65,0.71,0.3,0.75,0.12,0.73,0.25,0.5,0.39,0.61,0.32,0.37,0.39,0.2,0.25,0.97,0.02,0.95,0.03,0.95,0.02,0.9,0.03
0.66,0.71,0.32,0.71,0.13,0.7,0.28,0.44,0.42,0.57,0.35,0.38,0.42,0.22,0.28,0.99,0.0,0.97,0.02,0.99,0.0,0.94,0.02
0.67,0.7,0.33,0.7,0.14,0.67,0.3,0.45,0.36,0.56,0.33,0.49,0.36,0.24,0.3,0.98,0.01,0.92,0.06,0.96,0.01,0.84,0.06
0.67,0.7,0.32,0.69,0.14,0.66,0.31,0.43,0.38,0.55,0.34,0.46,0.38,0.23,0.31,0.99,0.01,0.92,0.05,0.98,0.01,0.85,0.05
0.67,0.69,0.34,0.68,0.14,0.65,0.31,0.46,0.31,0.56,0.31,0.57,0.31,0.26,0.31,0.97,0.02,0.9,0.07,0.93,0.02,0.81,0.07
0.67,0.71,0.33,0.74,0.12,0.73,0.25,0.51,0.33,0.62,0.29,0.49,0.33,0.25,0.25,0.97,0.02,0.94,0.04,0.93,0.02,0.87,0.04
0.67,0.7,0.34,0.72,0.12,0.69,0.27,0.5,0.29,0.59,0.28,0.59,0.29,0.32,0.27,0.96,0.03,0.94,0.04,0.91,0.03,0.89,0.04
0.67,0.71,0.34,0.77,0.1,0.76,0.21,0.59,0.24,0.68,0.22,0.63,0.24,0.37,0.21,0.94,0.04,0.97,0.02,0.87,0.04,0.94,0.02
0.67,0.71,0.33,0.78,0.09,0.77,0.2,0.6,0.24,0.69,0.22,0.63,0.24,0.38,0.2,0.93,0.05,0.98,0.01,0.87,0.05,0.96,0.01
0.67,0.71,0.34,0.78,0.09,0.76,0.21,0.62,0.22,0.69,0.21,0.66,0.22,0.37,0.21,0.93,0.05,0.96,0.03,0.85,0.05,0.92,0.03
0.67,0.71,0.34,0.78,0.1,0.76,0.21,0.6,0.23,0.68,0.22,0.66,0.23,0.38,0.21,0.93,0.05,0.97,0.02,0.86,0.05,0.93,0.02
0.67,0.71,0.33,0.79,0.09,0.78,0.19,0.63,0.21,0.71,0.2,0.67,0.21,0.41,0.19,0.93,0.05,0.99,0.01,0.85,0.05,0.98,0.01
0.67,0.71,0.33,0.78,0.09,0.76,0.2,0.62,0.22,0.69,0.21,0.65,0.22,0.39,0.2,0.93,0.05,0.98,0.02,0.85,0.05,0.95,0.02
0.67,0.71,0.33,0.8,0.09,0.78,0.19,0.63,0.21,0.71,0.2,0.66,0.21,0.4,0.19,0.92,0.05,0.99,0.01,0.85,0.05,0.97,0.01
0.67,0.71,0.33,0.79,0.09,0.78,0.2,0.62,0.22,0.7,0.21,0.66,0.22,0.4,0.2,0.93,0.05,0.98,0.01,0.85,0.05,0.97,0.01
0.68,0.71,0.35,0.78,0.09,0.77,0.2,0.6,0.22,0.69,0.21,0.67,0.22,0.42,0.2,0.94,0.04,1.0,0.0,0.87,0.04,0.99,0.0
0.67,0.7,0.34,0.77,0.1,0.77,0.2,0.59,0.22,0.68,0.21,0.67,0.22,0.45,0.2,0.94,0.04,0.98,0.01,0.88,0.04,0.97,0.01
0.67,0.7,0.33,0.78,0.09,0.78,0.18,0.6,0.21,0.69,0.2,0.69,0.21,0.5,0.18,0.94,0.04,0.95,0.03,0.88,0.04,0.92,0.03
0.67,0.7,0.34,0.76,0.1,0.74,0.22,0.58,0.23,0.66,0.23,0.66,0.23,0.39,0.22,0.94,0.04,0.98,0.01,0.87,0.04,0.96,0.01
0.67,0.7,0.34,0.75,0.11,0.73,0.24,0.56,0.25,0.65,0.24,0.63,0.25,0.35,0.24,0.94,0.04,0.96,0.03,0.88,0.04,0.92,0.03
0.67,0.71,0.34,0.78,0.1,0.76,0.21,0.59,0.23,0.68,0.22,0.65,0.23,0.38,0.21,0.94,0.04,0.98,0.02,0.87,0.04,0.95,0.02
0.68,0.71,0.34,0.77,0.1,0.76,0.21,0.58,0.25,0.67,0.23,0.63,0.25,0.37,0.21,0.94,0.04,0.97,0.02,0.88,0.04,0.94,0.02
0.68,0.71,0.35,0.77,0.1,0.76,0.21,0.59,0.23,0.68,0.22,0.65,0.23,0.36,0.21,0.94,0.05,0.96,0.03,0.87,0.05,0.91,0.03
0.67,0.71,0.34,0.79,0.09,0.77,0.2,0.62,0.22,0.7,0.21,0.66,0.22,0.38,0.2,0.93,0.05,0.97,0.02,0.85,0.05,0.94,0.02
0.67,0.71,0.34,0.79,0.09,0.77,0.2,0.6,0.24,0.69,0.22,0.63,0.24,0.38,0.2,0.94,0.04,0.98,0.02,0.87,0.04,0.95,0.02
0.67,0.71,0.34,0.79,0.09,0.77,0.2,0.62,0.22,0.7,0.21,0.66,0.22,0.39,0.2,0.93,0.05,0.98,0.02,0.85,0.05,0.95,0.02
0.67,0.71,0.34,0.8,0.08,0.79,0.18,0.64,0.2,0.72,0.19,0.68,0.2,0.42,0.18,0.92,0.05,0.99,0.01,0.85,0.05,0.98,0.01
0.68,0.72,0.35,0.79,0.09,0.78,0.2,0.63,0.21,0.71,0.21,0.67,0.21,0.38,0.2,0.93,0.05,0.97,0.02,0.85,0.05,0.93,0.02
0.68,0.72,0.35,0.8,0.09,0.79,0.18,0.63,0.21,0.71,0.2,0.68,0.21,0.4,0.18,0.93,0.05,0.98,0.01,0.85,0.05,0.96,0.01
0.67,0.71,0.34,0.82,0.08,0.82,0.15,0.67,0.18,0.74,0.16,0.72,0.18,0.53,0.15,0.93,0.05,0.95,0.03,0.85,0.05,0.91,0.03
0.68,0.72,0.35,0.82,0.08,0.8,0.17,0.67,0.18,0.74,0.17,0.72,0.18,0.45,0.17,0.92,0.06,1.0,0.0,0.83,0.06,0.99,0.0
0.68,0.72,0.35,0.83,0.07,0.81,0.16,0.69,0.17,0.75,0.17,0.73,0.17,0.45,0.16,0.91,0.06,0.99,0.01,0.82,0.06,0.98,0.01
0.68,0.72,0.35,0.83,0.07,0.81,0.16,0.71,0.16,0.76,0.16,0.75,0.16,0.46,0.16,0.91,0.07,0.99,0.01,0.81,0.07,0.97,0.01
0.68,0.72,0.35,0.85,0.06,0.85,0.12,0.73,0.15,0.79,0.14,0.76,0.15,0.55,0.12,0.91,0.06,0.96,0.03,0.82,0.06,0.92,0.03
0.68,0.71,0.35,0.85,0.06,0.85,0.12,0.75,0.12,0.8,0.12,0.82,0.12,0.64,0.12,0.91,0.07,0.93,0.04,0.8,0.07,0.88,0.04
0.67,0.7,0.34,0.82,0.07,0.82,0.15,0.7,0.14,0.76,0.15,0.79,0.14,0.58,0.15,0.91,0.06,0.95,0.03,0.81,0.06,0.91,0.03
0.67,0.71,0.34,0.84,0.06,0.85,0.12,0.74,0.13,0.79,0.12,0.81,0.13,0.61,0.12,0.91,0.07,0.94,0.04,0.8,0.07,0.89,0.04
0.67,0.7,0.34,0.82,0.07,0.82,0.14,0.72,0.13,0.77,0.14,0.81,0.13,0.6,0.14,0.91,0.07,0.95,0.03,0.8,0.07,0.91,0.03
0.68,0.71,0.35,0.84,0.07,0.84,0.13,0.71,0.14,0.77,0.14,0.79,0.14,0.61,0.13,0.92,0.06,0.94,0.04,0.82,0.06,0.88,0.04
0.67,0.7,0.34,0.82,0.07,0.83,0.13,0.7,0.13,0.76,0.13,0.8,0.13,0.63,0.13,0.92,0.06,0.93,0.05,0.82,0.06,0.88,0.05
0.67,0.69,0.34,0.82,0.07,0.84,0.12,0.69,0.14,0.76,0.13,0.81,0.14,0.67,0.12,0.93,0.05,0.91,0.06,0.83,0.05,0.85,0.06
0.67,0.7,0.35,0.83,0.07,0.83,0.13,0.73,0.12,0.78,0.12,0.82,0.12,0.61,0.13,0.91,0.07,0.94,0.04,0.8,0.07,0.9,0.04
0.68,0.71,0.35,0.84,0.06,0.85,0.12,0.73,0.13,0.79,0.12,0.79,0.13,0.6,0.12,0.91,0.06,0.94,0.04,0.81,0.06,0.89,0.04
0.68,0.71,0.35,0.84,0.07,0.84,0.14,0.72,0.14,0.78,0.14,0.77,0.14,0.54,0.14,0.91,0.07,0.97,0.02,0.81,0.07,0.94,0.02
0.68,0.72,0.35,0.84,0.07,0.83,0.15,0.73,0.14,0.78,0.15,0.77,0.14,0.51,0.15,0.9,0.07,0.99,0.01,0.8,0.07,0.98,0.01
