ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.63,0.73,0.25,0.83,0.09,0.82,0.17,0.58,0.42,0.7,0.29,0.03,0.42,0.02,0.17,0.97,0.02,0.97,0.02,0.95,0.02,0.93,0.02
0.65,0.72,0.27,0.73,0.13,0.72,0.27,0.44,0.52,0.58,0.4,0.13,0.52,0.09,0.27,0.98,0.01,0.97,0.02,0.96,0.01,0.95,0.02
0.66,0.72,0.31,0.7,0.14,0.68,0.31,0.4,0.5,0.54,0.41,0.25,0.5,0.1,0.31,0.97,0.02,0.87,0.09,0.94,0.02,0.74,0.09
0.66,0.71,0.31,0.67,0.15,0.64,0.34,0.39,0.47,0.52,0.41,0.33,0.47,0.14,0.34,0.98,0.02,0.87,0.09,0.95,0.02,0.76,0.09
0.67,0.71,0.32,0.7,0.14,0.68,0.3,0.42,0.44,0.55,0.37,0.36,0.44,0.16,0.3,0.99,0.01,0.89,0.08,0.97,0.01,0.79,0.08
0.67,0.72,0.32,0.72,0.13,0.71,0.28,0.44,0.42,0.57,0.35,0.37,0.42,0.18,0.28,0.99,0.01,0.91,0.07,0.98,0.01,0.82,0.07
0.67,0.73,0.33,0.76,0.11,0.75,0.24,0.5,0.37,0.62,0.3,0.4,0.37,0.19,0.24,0.99,0.01,0.91,0.07,0.97,0.01,0.8,0.07
0.67,0.73,0.32,0.78,0.1,0.77,0.21,0.53,0.35,0.65,0.28,0.42,0.35,0.24,0.21,0.98,0.01,0.97,0.02,0.97,0.01,0.93,0.02
0.67,0.73,0.33,0.79,0.1,0.78,0.2,0.54,0.33,0.66,0.27,0.45,0.33,0.26,0.2,0.98,0.02,0.97,0.02,0.95,0.02,0.93,0.02
0.68,0.73,0.34,0.79,0.1,0.79,0.2,0.55,0.31,0.67,0.26,0.5,0.31,0.31,0.2,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.68,0.73,0.34,0.79,0.1,0.79,0.19,0.54,0.3,0.67,0.24,0.52,0.3,0.36,0.19,0.98,0.01,0.98,0.02,0.96,0.01,0.95,0.02
0.68,0.73,0.35,0.78,0.1,0.79,0.18,0.54,0.29,0.67,0.23,0.55,0.29,0.38,0.18,0.98,0.01,0.97,0.02,0.96,0.01,0.95,0.02
0.68,0.73,0.35,0.79,0.09,0.79,0.19,0.56,0.27,0.68,0.23,0.57,0.27,0.37,0.19,0.97,0.02,1.0,0.0,0.93,0.02,1.0,0.0
0.68,0.72,0.35,0.79,0.09,0.8,0.17,0.54,0.28,0.67,0.23,0.58,0.28,0.44,0.17,0.99,0.01,0.94,0.04,0.97,0.01,0.89,0.04
0.68,0.73,0.35,0.79,0.09,0.79,0.18,0.56,0.28,0.68,0.23,0.57,0.28,0.39,0.18,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.67,0.73,0.33,0.79,0.09,0.79,0.18,0.56,0.3,0.68,0.24,0.53,0.3,0.37,0.18,0.98,0.02,0.97,0.02,0.95,0.02,0.95,0.02
0.67,0.73,0.33,0.79,0.09,0.79,0.19,0.57,0.29,0.68,0.24,0.53,0.29,0.34,0.19,0.97,0.02,0.99,0.0,0.93,0.02,0.99,0.0
0.68,0.73,0.34,0.8,0.09,0.8,0.19,0.57,0.29,0.69,0.24,0.53,0.29,0.33,0.19,0.97,0.02,0.99,0.01,0.93,0.02,0.97,0.01
0.68,0.73,0.34,0.8,0.09,0.8,0.18,0.57,0.29,0.69,0.23,0.53,0.29,0.33,0.18,0.97,0.02,0.99,0.0,0.93,0.02,0.99,0.0
0.68,0.73,0.34,0.8,0.09,0.8,0.18,0.57,0.29,0.69,0.23,0.53,0.29,0.34,0.18,0.97,0.02,1.0,0.0,0.94,0.02,1.0,0.0
0.67,0.72,0.33,0.79,0.09,0.8,0.18,0.56,0.29,0.68,0.23,0.54,0.29,0.39,0.18,0.97,0.02,0.97,0.02,0.94,0.02,0.94,0.02
0.68,0.72,0.34,0.8,0.09,0.8,0.17,0.59,0.25,0.7,0.21,0.61,0.25,0.43,0.17,0.96,0.03,0.97,0.02,0.91,0.03,0.94,0.02
0.67,0.72,0.33,0.79,0.09,0.79,0.18,0.57,0.26,0.68,0.22,0.6,0.26,0.43,0.18,0.97,0.02,0.96,0.03,0.93,0.02,0.93,0.03
0.67,0.72,0.34,0.78,0.1,0.77,0.2,0.56,0.27,0.67,0.24,0.6,0.27,0.39,0.2,0.96,0.02,0.99,0.0,0.92,0.02,0.99,0.0
0.67,0.72,0.33,0.77,0.1,0.77,0.2,0.55,0.28,0.66,0.24,0.57,0.28,0.37,0.2,0.97,0.02,1.0,0.0,0.93,0.02,0.99,0.0
0.68,0.72,0.34,0.77,0.1,0.76,0.22,0.54,0.3,0.65,0.26,0.53,0.3,0.3,0.22,0.97,0.02,0.96,0.03,0.93,0.02,0.91,0.03
