ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.45,0.53,-0.12,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.54,0.7,0.05,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.78,0.14,0.0,1.0,0.73,0.14,0.0,1.0
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.45,0.53,-0.12,0.02,0.49,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.47,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.75,0.13,0.0,1.0,0.79,0.13
0.55,0.38,0.18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.63,0.23,0.0,1.0,0.63,0.23
0.45,0.53,-0.12,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0.53,0.7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.55,0.7,0.1,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.72,0.19,0.0,1.0,0.64,0.19,0.0,1.0
0.61,0.68,0.21,0.74,0.12,0.64,0.34,0.48,0.37,0.56,0.35,0.43,0.37,0.16,0.34,0.75,0.18,0.61,0.32,0.6,0.18,0.35,0.32
0.65,0.69,0.29,0.62,0.18,0.59,0.39,0.35,0.53,0.47,0.46,0.27,0.53,0.11,0.39,0.99,0.0,0.88,0.09,0.99,0.0,0.76,0.09
0.64,0.64,0.28,0.35,0.31,0.33,0.65,0.1,0.75,0.22,0.7,0.18,0.75,0.04,0.65,0.83,0.13,0.75,0.19,0.63,0.13,0.54,0.19
0.53,0.7,0.03,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,0.13,0.0,1.0,0.75,0.13,0.0,1.0
0.59,0.72,0.22,0.92,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.66,0.68,0.31,0.97,0.01,0.99,0.01,0.89,0.04,0.94,0.03,0.93,0.04,0.97,0.01,0.82,0.14,0.85,0.1,0.64,0.14,0.77,0.1
0.47,0.02,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.74,0.13,0.0,1.0,0.78,0.13
0.54,0.37,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.64,0.22,0.0,1.0,0.64,0.22
0.56,0.46,0.16,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.59,0.27,0.0,1.0,0.56,0.27
0.48,0.06,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.73,0.14,0.0,1.0,0.77,0.14
0.55,0.46,0.15,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.59,0.27,0.0,1.0,0.57,0.27
0.66,0.71,0.31,0.93,0.03,0.93,0.06,0.96,0.02,0.95,0.04,0.96,0.02,0.76,0.06,0.83,0.12,0.91,0.06,0.7,0.12,0.83,0.06
0.65,0.7,0.29,0.62,0.19,0.6,0.4,0.32,0.61,0.46,0.51,0.15,0.61,0.04,0.4,0.97,0.02,0.79,0.17,0.94,0.02,0.51,0.17
0.66,0.71,0.31,0.79,0.1,0.77,0.21,0.58,0.3,0.68,0.26,0.48,0.3,0.26,0.21,0.92,0.05,0.97,0.02,0.86,0.05,0.93,0.02
0.65,0.71,0.3,0.71,0.13,0.69,0.29,0.46,0.43,0.57,0.36,0.32,0.43,0.14,0.29,0.96,0.02,0.91,0.07,0.94,0.02,0.81,0.07
0.63,0.67,0.26,0.5,0.25,0.47,0.52,0.21,0.75,0.34,0.64,0.07,0.75,0.02,0.52,0.91,0.07,0.82,0.14,0.83,0.07,0.65,0.14
0.58,0.46,0.21,0.01,0.4,0.01,0.79,0.0,1.0,0.01,0.9,0.0,1.0,0.2,0.79,0.0,1.0,0.85,0.09,0.0,1.0,0.81,0.09
0.57,0.52,0.16,0.05,0.47,0.04,0.95,0.01,0.94,0.03,0.94,0.06,0.94,0.01,0.95,0.7,0.26,0.68,0.25,0.3,0.26,0.48,0.25
