ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.7,0.04,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.4,0.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.57,0.48,0.19,0.39,0.17,0.3,0.36,0.26,0.19,0.28,0.28,0.8,0.19,0.57,0.36,0.85,0.12,0.68,0.19,0.65,0.12,0.67,0.19
0.56,0.71,0.14,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.1,0.0,1.0,0.8,0.1,0.0,1.0
0.57,0.42,0.22,0.63,0.08,0.68,0.12,0.47,0.09,0.57,0.1,0.9,0.09,0.85,0.12,0.98,0.02,0.82,0.1,0.93,0.02,0.82,0.1
0.63,0.71,0.26,0.77,0.11,0.0,1.0,0.49,0.5,0.24,0.75,0.02,0.5,0.0,1.0,0.99,0.0,0.0,1.0,0.99,0.0,0.0,1.0
0.65,0.64,0.31,0.48,0.23,0.43,0.51,0.25,0.45,0.34,0.48,0.47,0.45,0.17,0.51,0.98,0.02,0.81,0.13,0.94,0.02,0.68,0.13
0.65,0.72,0.3,0.71,0.14,0.0,1.0,0.4,0.57,0.2,0.78,0.08,0.57,0.0,1.0,0.96,0.03,0.0,1.0,0.93,0.03,0.0,1.0
0.66,0.72,0.31,0.75,0.12,0.73,0.27,0.48,0.45,0.6,0.36,0.22,0.45,0.01,0.27,0.99,0.01,0.71,0.27,0.98,0.01,0.14,0.27
0.58,0.71,0.17,0.95,0.03,0.0,1.0,0.85,0.15,0.42,0.57,0.11,0.15,0.0,1.0,0.86,0.08,0.0,1.0,0.82,0.08,0.0,1.0
0.65,0.72,0.3,0.88,0.05,0.88,0.11,0.76,0.16,0.82,0.14,0.65,0.16,0.46,0.11,0.89,0.07,0.97,0.02,0.82,0.07,0.93,0.02
0.57,0.71,0.17,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.83,0.08,0.0,1.0
0.68,0.71,0.35,0.76,0.11,0.76,0.22,0.53,0.28,0.65,0.25,0.59,0.28,0.36,0.22,0.97,0.02,0.99,0.01,0.93,0.02,0.97,0.01
0.66,0.65,0.32,0.9,0.03,0.98,0.01,0.81,0.06,0.9,0.03,0.91,0.06,0.97,0.01,0.93,0.05,0.81,0.12,0.83,0.05,0.74,0.12
0.61,0.54,0.27,0.78,0.06,0.67,0.16,0.62,0.07,0.65,0.12,0.92,0.07,0.76,0.16,0.88,0.1,0.74,0.16,0.67,0.1,0.71,0.16
0.59,0.47,0.25,0.66,0.08,0.54,0.19,0.55,0.07,0.55,0.13,0.92,0.07,0.75,0.19,0.9,0.08,0.72,0.16,0.71,0.08,0.71,0.16
