ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.62,0.68,0.23,0.6,0.2,0.54,0.45,0.31,0.69,0.43,0.57,0.01,0.69,0.01,0.45,1.0,0.0,0.82,0.11,1.0,0.0,0.78,0.11
0.64,0.69,0.28,0.61,0.19,0.59,0.4,0.3,0.66,0.44,0.53,0.07,0.66,0.04,0.4,0.97,0.02,0.97,0.02,0.94,0.02,0.95,0.02
0.67,0.71,0.33,0.64,0.18,0.64,0.34,0.31,0.61,0.47,0.47,0.16,0.61,0.08,0.34,0.95,0.04,0.96,0.03,0.89,0.04,0.92,0.03
0.68,0.73,0.36,0.68,0.15,0.69,0.29,0.35,0.53,0.52,0.41,0.26,0.53,0.13,0.29,0.97,0.02,0.97,0.02,0.93,0.02,0.93,0.02
0.69,0.73,0.37,0.7,0.14,0.73,0.26,0.39,0.46,0.56,0.36,0.34,0.46,0.19,0.26,0.98,0.01,0.99,0.01,0.96,0.01,0.97,0.01
0.68,0.73,0.36,0.74,0.12,0.75,0.23,0.46,0.39,0.6,0.31,0.42,0.39,0.23,0.23,0.97,0.02,0.99,0.01,0.95,0.02,0.98,0.01
0.68,0.73,0.36,0.74,0.12,0.76,0.22,0.46,0.38,0.61,0.3,0.44,0.38,0.29,0.22,0.98,0.02,0.96,0.03,0.95,0.02,0.91,0.03
0.68,0.72,0.35,0.74,0.12,0.77,0.21,0.47,0.37,0.62,0.29,0.46,0.37,0.34,0.21,0.98,0.01,0.91,0.06,0.95,0.01,0.84,0.06
0.68,0.73,0.36,0.75,0.11,0.76,0.22,0.5,0.34,0.63,0.28,0.48,0.34,0.28,0.22,0.95,0.03,0.99,0.0,0.9,0.03,0.99,0.0
0.68,0.73,0.35,0.77,0.1,0.78,0.2,0.56,0.28,0.67,0.24,0.56,0.28,0.34,0.2,0.93,0.05,0.98,0.01,0.85,0.05,0.96,0.01
0.68,0.72,0.35,0.77,0.1,0.78,0.2,0.56,0.28,0.67,0.24,0.56,0.28,0.35,0.2,0.93,0.05,0.97,0.02,0.85,0.05,0.94,0.02
0.68,0.72,0.36,0.77,0.1,0.77,0.2,0.56,0.27,0.67,0.24,0.6,0.27,0.38,0.2,0.93,0.05,0.96,0.02,0.85,0.05,0.93,0.02
0.68,0.72,0.35,0.8,0.08,0.82,0.16,0.62,0.22,0.72,0.19,0.66,0.22,0.48,0.16,0.91,0.06,0.92,0.05,0.82,0.06,0.85,0.05
0.68,0.72,0.35,0.81,0.08,0.84,0.13,0.63,0.21,0.73,0.17,0.68,0.21,0.56,0.13,0.92,0.06,0.88,0.08,0.83,0.06,0.79,0.08
0.68,0.72,0.35,0.81,0.08,0.82,0.16,0.64,0.21,0.73,0.18,0.67,0.21,0.46,0.16,0.91,0.07,0.94,0.04,0.81,0.07,0.88,0.04
0.69,0.72,0.36,0.8,0.09,0.81,0.16,0.63,0.21,0.72,0.18,0.68,0.21,0.47,0.16,0.91,0.06,0.94,0.04,0.81,0.06,0.88,0.04
0.69,0.72,0.36,0.8,0.08,0.82,0.16,0.63,0.2,0.72,0.18,0.7,0.2,0.5,0.16,0.91,0.06,0.93,0.05,0.81,0.06,0.86,0.05
0.68,0.72,0.36,0.81,0.08,0.82,0.16,0.64,0.21,0.73,0.18,0.68,0.21,0.47,0.16,0.91,0.07,0.94,0.04,0.8,0.07,0.88,0.04
0.68,0.72,0.35,0.81,0.08,0.82,0.15,0.63,0.22,0.72,0.18,0.66,0.22,0.47,0.15,0.91,0.06,0.93,0.05,0.81,0.06,0.86,0.05
0.69,0.72,0.36,0.81,0.08,0.83,0.14,0.65,0.18,0.74,0.16,0.72,0.18,0.55,0.14,0.91,0.07,0.91,0.06,0.8,0.07,0.83,0.06
0.68,0.73,0.36,0.8,0.08,0.82,0.16,0.62,0.22,0.72,0.19,0.66,0.22,0.47,0.16,0.92,0.06,0.93,0.05,0.82,0.06,0.86,0.05
0.68,0.72,0.36,0.8,0.09,0.82,0.16,0.62,0.22,0.72,0.19,0.66,0.22,0.46,0.16,0.91,0.06,0.93,0.05,0.82,0.06,0.87,0.05
0.68,0.73,0.36,0.79,0.09,0.82,0.16,0.59,0.24,0.7,0.2,0.63,0.24,0.46,0.16,0.93,0.05,0.92,0.05,0.85,0.05,0.85,0.05
0.69,0.73,0.37,0.81,0.08,0.82,0.16,0.64,0.2,0.73,0.18,0.7,0.2,0.47,0.16,0.91,0.07,0.95,0.04,0.8,0.07,0.89,0.04
0.69,0.73,0.37,0.8,0.09,0.82,0.15,0.6,0.22,0.71,0.18,0.66,0.22,0.5,0.15,0.93,0.05,0.91,0.06,0.84,0.05,0.83,0.06
0.69,0.73,0.36,0.81,0.08,0.83,0.15,0.63,0.21,0.73,0.18,0.67,0.21,0.47,0.15,0.91,0.06,0.93,0.05,0.82,0.06,0.86,0.05
0.69,0.73,0.36,0.81,0.08,0.83,0.15,0.63,0.21,0.73,0.18,0.67,0.21,0.48,0.15,0.91,0.06,0.92,0.05,0.82,0.06,0.85,0.05
0.69,0.72,0.37,0.8,0.08,0.83,0.14,0.62,0.2,0.72,0.17,0.7,0.2,0.53,0.14,0.92,0.06,0.91,0.06,0.82,0.06,0.83,0.06
0.69,0.73,0.36,0.83,0.07,0.85,0.13,0.69,0.16,0.77,0.15,0.74,0.16,0.55,0.13,0.9,0.08,0.92,0.06,0.78,0.08,0.84,0.06
0.69,0.73,0.37,0.83,0.07,0.86,0.12,0.66,0.18,0.76,0.15,0.72,0.18,0.57,0.12,0.91,0.07,0.9,0.07,0.81,0.07,0.8,0.07
0.69,0.73,0.38,0.82,0.08,0.86,0.12,0.64,0.19,0.75,0.15,0.71,0.19,0.57,0.12,0.92,0.06,0.89,0.08,0.82,0.06,0.79,0.08
0.69,0.73,0.38,0.82,0.08,0.85,0.12,0.64,0.19,0.74,0.15,0.71,0.19,0.56,0.12,0.92,0.06,0.89,0.07,0.82,0.06,0.8,0.07
0.69,0.73,0.38,0.82,0.08,0.85,0.13,0.63,0.2,0.74,0.17,0.7,0.2,0.54,0.13,0.92,0.06,0.9,0.07,0.83,0.06,0.81,0.07
0.69,0.73,0.37,0.81,0.08,0.83,0.15,0.63,0.2,0.73,0.17,0.69,0.2,0.48,0.15,0.91,0.06,0.93,0.05,0.81,0.06,0.87,0.05
0.69,0.73,0.38,0.83,0.07,0.86,0.12,0.69,0.16,0.77,0.14,0.75,0.16,0.57,0.12,0.9,0.07,0.91,0.06,0.78,0.07,0.83,0.06
0.69,0.73,0.38,0.83,0.07,0.86,0.12,0.7,0.15,0.78,0.14,0.77,0.15,0.58,0.12,0.9,0.08,0.91,0.06,0.77,0.08,0.83,0.06
0.7,0.73,0.38,0.83,0.07,0.86,0.12,0.69,0.15,0.77,0.14,0.77,0.15,0.58,0.12,0.9,0.07,0.91,0.06,0.78,0.07,0.83,0.06
0.7,0.73,0.38,0.83,0.07,0.86,0.12,0.69,0.16,0.77,0.14,0.76,0.16,0.57,0.12,0.9,0.07,0.92,0.06,0.78,0.07,0.83,0.06
