ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.61,0.73,0.2,0.91,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.96,0.03,0.0,1.0,0.94,0.03,0.0,1.0
0.63,0.72,0.25,0.76,0.12,0.73,0.27,0.49,0.49,0.61,0.38,0.1,0.49,0.01,0.27,0.97,0.02,0.71,0.26,0.94,0.02,0.28,0.26
0.61,0.73,0.22,0.9,0.05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.97,0.02,0.0,1.0,0.96,0.02,0.0,1.0
0.63,0.72,0.24,0.8,0.1,0.78,0.21,0.55,0.43,0.67,0.32,0.1,0.43,0.02,0.21,0.99,0.01,0.74,0.23,0.98,0.01,0.33,0.23
0.64,0.71,0.26,0.76,0.12,0.71,0.29,0.51,0.42,0.61,0.35,0.26,0.42,0.05,0.29,1.0,0.0,0.72,0.24,1.0,0.0,0.37,0.24
0.64,0.72,0.25,0.78,0.11,0.75,0.25,0.55,0.4,0.65,0.33,0.22,0.4,0.04,0.25,1.0,0.0,0.74,0.23,1.0,0.0,0.37,0.23
0.65,0.72,0.27,0.78,0.11,0.73,0.26,0.55,0.37,0.64,0.32,0.33,0.37,0.09,0.26,0.99,0.01,0.78,0.18,0.98,0.01,0.5,0.18
0.65,0.71,0.28,0.74,0.12,0.68,0.31,0.53,0.34,0.6,0.33,0.45,0.34,0.13,0.31,0.98,0.02,0.76,0.19,0.96,0.02,0.52,0.19
0.65,0.7,0.28,0.73,0.12,0.66,0.32,0.52,0.34,0.59,0.33,0.47,0.34,0.15,0.32,0.98,0.02,0.78,0.17,0.96,0.02,0.58,0.17
0.65,0.7,0.28,0.74,0.12,0.68,0.3,0.54,0.32,0.61,0.31,0.49,0.32,0.19,0.3,0.97,0.02,0.82,0.14,0.95,0.02,0.65,0.14
0.65,0.7,0.29,0.75,0.11,0.68,0.29,0.56,0.28,0.62,0.29,0.56,0.28,0.24,0.29,0.96,0.03,0.84,0.12,0.93,0.03,0.71,0.12
0.65,0.7,0.29,0.76,0.11,0.7,0.27,0.58,0.26,0.64,0.27,0.6,0.26,0.28,0.27,0.96,0.03,0.86,0.1,0.91,0.03,0.74,0.1
0.65,0.71,0.29,0.77,0.1,0.72,0.26,0.57,0.3,0.65,0.28,0.5,0.3,0.21,0.26,0.97,0.02,0.84,0.12,0.94,0.02,0.68,0.12
0.65,0.71,0.29,0.77,0.1,0.72,0.25,0.58,0.29,0.65,0.27,0.52,0.29,0.23,0.25,0.97,0.02,0.85,0.11,0.95,0.02,0.72,0.11
0.66,0.7,0.3,0.77,0.1,0.7,0.26,0.61,0.23,0.66,0.24,0.65,0.23,0.29,0.26,0.95,0.04,0.85,0.11,0.89,0.04,0.73,0.11
0.66,0.71,0.3,0.79,0.09,0.73,0.24,0.65,0.2,0.69,0.22,0.67,0.2,0.32,0.24,0.94,0.04,0.87,0.1,0.87,0.04,0.75,0.1
