ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.58,0.71,0.11,0.93,0.03,0.91,0.09,0.85,0.15,0.88,0.12,0.15,0.15,0.11,0.09,0.86,0.09,0.94,0.04,0.81,0.09,0.91,0.04
0.64,0.73,0.27,0.79,0.1,0.79,0.21,0.52,0.45,0.66,0.33,0.1,0.45,0.05,0.21,0.99,0.01,0.93,0.05,0.98,0.01,0.85,0.05
0.65,0.72,0.29,0.76,0.12,0.75,0.24,0.48,0.46,0.61,0.35,0.2,0.46,0.12,0.24,0.99,0.0,0.97,0.02,0.99,0.0,0.95,0.02
0.67,0.71,0.32,0.68,0.15,0.65,0.32,0.39,0.45,0.52,0.39,0.37,0.45,0.18,0.32,0.97,0.02,0.91,0.06,0.95,0.02,0.83,0.06
0.67,0.73,0.32,0.73,0.13,0.73,0.26,0.41,0.5,0.57,0.38,0.22,0.5,0.12,0.26,0.96,0.03,0.96,0.03,0.91,0.03,0.91,0.03
0.67,0.73,0.31,0.76,0.11,0.76,0.23,0.48,0.45,0.62,0.34,0.24,0.45,0.11,0.23,0.99,0.01,0.9,0.07,0.98,0.01,0.77,0.07
0.66,0.73,0.31,0.74,0.12,0.74,0.25,0.45,0.46,0.59,0.35,0.25,0.46,0.12,0.25,0.98,0.01,0.92,0.05,0.97,0.01,0.84,0.05
0.67,0.73,0.32,0.75,0.12,0.75,0.23,0.47,0.41,0.61,0.32,0.36,0.41,0.21,0.23,0.99,0.01,0.98,0.02,0.98,0.01,0.95,0.02
0.67,0.73,0.32,0.76,0.11,0.76,0.23,0.49,0.39,0.62,0.31,0.37,0.39,0.23,0.23,1.0,0.0,0.98,0.01,1.0,0.0,0.97,0.01
0.68,0.73,0.34,0.75,0.12,0.75,0.24,0.47,0.39,0.61,0.32,0.41,0.39,0.24,0.24,0.99,0.01,0.97,0.02,0.98,0.01,0.94,0.02
0.67,0.72,0.33,0.74,0.12,0.73,0.25,0.46,0.39,0.59,0.32,0.42,0.39,0.24,0.25,0.99,0.01,0.96,0.02,0.98,0.01,0.93,0.02
0.67,0.72,0.34,0.74,0.12,0.73,0.25,0.48,0.36,0.6,0.3,0.47,0.36,0.27,0.25,1.0,0.0,0.96,0.03,0.99,0.0,0.92,0.03
0.68,0.73,0.34,0.78,0.1,0.78,0.2,0.54,0.3,0.66,0.25,0.52,0.3,0.31,0.2,0.98,0.02,0.97,0.02,0.95,0.02,0.95,0.02
0.68,0.73,0.35,0.76,0.11,0.77,0.21,0.49,0.33,0.63,0.27,0.52,0.33,0.36,0.21,1.0,0.0,0.98,0.01,1.0,0.0,0.97,0.01
0.68,0.73,0.34,0.77,0.1,0.77,0.2,0.53,0.31,0.65,0.26,0.51,0.31,0.33,0.2,0.98,0.01,1.0,0.0,0.96,0.01,0.99,0.0
0.68,0.73,0.34,0.78,0.1,0.78,0.2,0.55,0.31,0.67,0.26,0.5,0.31,0.29,0.2,0.97,0.02,0.97,0.02,0.95,0.02,0.93,0.02
0.68,0.73,0.36,0.76,0.11,0.76,0.21,0.5,0.32,0.63,0.27,0.53,0.32,0.33,0.21,1.0,0.0,0.99,0.0,0.99,0.0,0.99,0.0
0.68,0.73,0.34,0.79,0.1,0.78,0.2,0.56,0.29,0.67,0.24,0.54,0.29,0.33,0.2,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.68,0.73,0.35,0.8,0.09,0.81,0.17,0.58,0.26,0.7,0.22,0.59,0.26,0.42,0.17,0.97,0.02,0.97,0.02,0.93,0.02,0.94,0.02
0.67,0.73,0.33,0.8,0.09,0.81,0.17,0.57,0.28,0.69,0.23,0.56,0.28,0.41,0.17,0.97,0.02,0.96,0.03,0.94,0.02,0.92,0.03
0.68,0.73,0.35,0.8,0.09,0.81,0.17,0.59,0.25,0.7,0.21,0.62,0.25,0.45,0.17,0.97,0.02,0.96,0.02,0.92,0.02,0.93,0.02
0.68,0.73,0.34,0.79,0.09,0.79,0.19,0.57,0.3,0.68,0.24,0.52,0.3,0.31,0.19,0.97,0.02,0.97,0.02,0.93,0.02,0.95,0.02
0.67,0.73,0.33,0.81,0.09,0.8,0.18,0.59,0.28,0.7,0.23,0.53,0.28,0.32,0.18,0.95,0.03,0.98,0.01,0.91,0.03,0.96,0.01
0.68,0.73,0.34,0.79,0.1,0.78,0.2,0.55,0.3,0.67,0.25,0.53,0.3,0.32,0.2,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.68,0.73,0.34,0.79,0.09,0.78,0.2,0.58,0.28,0.68,0.24,0.55,0.28,0.3,0.2,0.96,0.03,0.95,0.03,0.91,0.03,0.9,0.03
0.68,0.73,0.34,0.79,0.1,0.78,0.2,0.55,0.3,0.67,0.25,0.53,0.3,0.32,0.2,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.68,0.73,0.35,0.79,0.09,0.79,0.18,0.57,0.26,0.68,0.22,0.6,0.26,0.41,0.18,0.97,0.02,0.98,0.01,0.93,0.02,0.96,0.01
0.68,0.73,0.34,0.79,0.09,0.78,0.2,0.58,0.27,0.68,0.24,0.57,0.27,0.32,0.2,0.96,0.03,0.95,0.03,0.91,0.03,0.91,0.03
0.68,0.72,0.34,0.8,0.09,0.8,0.17,0.59,0.26,0.7,0.22,0.6,0.26,0.41,0.17,0.96,0.03,0.98,0.02,0.91,0.03,0.96,0.02
0.68,0.73,0.34,0.79,0.09,0.78,0.21,0.58,0.27,0.68,0.24,0.56,0.27,0.3,0.21,0.96,0.03,0.94,0.04,0.91,0.03,0.87,0.04
0.68,0.73,0.35,0.8,0.09,0.8,0.18,0.59,0.25,0.7,0.21,0.6,0.25,0.38,0.18,0.96,0.03,1.0,0.0,0.91,0.03,1.0,0.0
0.68,0.73,0.34,0.81,0.08,0.81,0.16,0.6,0.24,0.71,0.2,0.61,0.24,0.43,0.16,0.96,0.03,0.97,0.02,0.91,0.03,0.95,0.02
0.68,0.73,0.34,0.81,0.08,0.82,0.15,0.6,0.25,0.71,0.2,0.61,0.25,0.47,0.15,0.97,0.02,0.94,0.04,0.92,0.02,0.89,0.04
0.68,0.72,0.34,0.81,0.08,0.82,0.15,0.61,0.23,0.71,0.19,0.64,0.23,0.5,0.15,0.96,0.03,0.93,0.04,0.92,0.03,0.88,0.04
0.67,0.73,0.33,0.82,0.08,0.82,0.15,0.63,0.23,0.72,0.19,0.63,0.23,0.45,0.15,0.95,0.04,0.97,0.02,0.89,0.04,0.93,0.02
0.68,0.73,0.34,0.82,0.08,0.82,0.16,0.64,0.23,0.73,0.2,0.63,0.23,0.42,0.16,0.94,0.04,0.99,0.01,0.88,0.04,0.98,0.01
0.67,0.73,0.33,0.81,0.08,0.82,0.16,0.61,0.25,0.71,0.21,0.59,0.25,0.42,0.16,0.96,0.03,0.97,0.02,0.91,0.03,0.94,0.02
0.68,0.73,0.34,0.82,0.08,0.82,0.16,0.63,0.23,0.72,0.2,0.63,0.23,0.44,0.16,0.95,0.04,0.97,0.02,0.89,0.04,0.95,0.02
0.68,0.73,0.34,0.83,0.08,0.82,0.16,0.65,0.21,0.73,0.18,0.65,0.21,0.44,0.16,0.94,0.04,0.98,0.01,0.87,0.04,0.97,0.01
0.68,0.73,0.34,0.83,0.08,0.82,0.16,0.65,0.21,0.73,0.18,0.65,0.21,0.44,0.16,0.94,0.04,0.99,0.01,0.87,0.04,0.97,0.01
0.67,0.73,0.33,0.83,0.07,0.84,0.14,0.63,0.24,0.73,0.19,0.6,0.24,0.47,0.14,0.95,0.03,0.94,0.04,0.9,0.03,0.89,0.04
0.67,0.73,0.33,0.84,0.07,0.84,0.14,0.65,0.23,0.74,0.18,0.61,0.23,0.46,0.14,0.95,0.04,0.95,0.03,0.89,0.04,0.9,0.03
0.67,0.73,0.33,0.83,0.07,0.84,0.14,0.64,0.23,0.74,0.18,0.6,0.23,0.46,0.14,0.95,0.03,0.94,0.04,0.9,0.03,0.89,0.04
0.68,0.73,0.34,0.84,0.07,0.85,0.13,0.66,0.21,0.76,0.17,0.63,0.21,0.47,0.13,0.94,0.04,0.96,0.03,0.88,0.04,0.91,0.03
0.68,0.73,0.34,0.85,0.07,0.85,0.13,0.69,0.2,0.77,0.17,0.66,0.2,0.47,0.13,0.93,0.05,0.97,0.02,0.86,0.05,0.94,0.02
0.68,0.73,0.34,0.86,0.06,0.86,0.13,0.72,0.17,0.79,0.15,0.7,0.17,0.49,0.13,0.92,0.06,0.98,0.02,0.84,0.06,0.95,0.02
0.67,0.73,0.33,0.87,0.06,0.87,0.12,0.74,0.16,0.8,0.14,0.72,0.16,0.51,0.12,0.92,0.06,0.97,0.02,0.83,0.06,0.93,0.02
0.67,0.73,0.32,0.88,0.05,0.88,0.1,0.78,0.13,0.83,0.12,0.75,0.13,0.58,0.1,0.91,0.07,0.94,0.04,0.81,0.07,0.89,0.04
0.66,0.73,0.31,0.89,0.05,0.89,0.1,0.81,0.11,0.85,0.11,0.78,0.11,0.59,0.1,0.9,0.07,0.95,0.04,0.8,0.07,0.9,0.04
0.66,0.73,0.31,0.91,0.04,0.91,0.07,0.85,0.09,0.88,0.08,0.83,0.09,0.67,0.07,0.89,0.08,0.93,0.05,0.78,0.08,0.87,0.05
