ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.71,0.29,0.68,0.15,0.66,0.33,0.38,0.56,0.52,0.45,0.15,0.56,0.04,0.33,0.96,0.03,0.8,0.16,0.92,0.03,0.56,0.16
0.68,0.73,0.34,0.75,0.11,0.76,0.22,0.47,0.41,0.61,0.32,0.37,0.41,0.21,0.22,0.98,0.01,0.96,0.03,0.96,0.01,0.92,0.03
0.68,0.73,0.36,0.76,0.11,0.75,0.23,0.51,0.32,0.63,0.28,0.52,0.32,0.27,0.23,0.98,0.01,0.93,0.05,0.97,0.01,0.85,0.05
0.68,0.73,0.35,0.77,0.1,0.77,0.21,0.53,0.3,0.65,0.26,0.55,0.3,0.33,0.21,0.98,0.01,0.97,0.02,0.96,0.01,0.94,0.02
0.69,0.73,0.38,0.77,0.1,0.78,0.2,0.55,0.26,0.67,0.23,0.62,0.26,0.38,0.2,0.98,0.02,0.98,0.02,0.95,0.02,0.95,0.02
0.69,0.73,0.38,0.78,0.09,0.79,0.18,0.57,0.24,0.68,0.21,0.65,0.24,0.41,0.18,0.97,0.02,0.99,0.01,0.93,0.02,0.98,0.01
0.7,0.73,0.38,0.79,0.09,0.8,0.17,0.58,0.23,0.69,0.2,0.68,0.23,0.46,0.17,0.97,0.02,0.99,0.01,0.93,0.02,0.98,0.01
0.69,0.73,0.37,0.79,0.09,0.8,0.17,0.59,0.22,0.7,0.2,0.67,0.22,0.45,0.17,0.96,0.03,0.99,0.01,0.91,0.03,0.98,0.01
0.69,0.73,0.37,0.8,0.08,0.81,0.16,0.61,0.2,0.71,0.18,0.7,0.2,0.49,0.16,0.96,0.03,0.97,0.02,0.9,0.03,0.95,0.02
0.69,0.72,0.37,0.82,0.07,0.84,0.13,0.64,0.18,0.74,0.15,0.73,0.18,0.58,0.13,0.95,0.03,0.94,0.04,0.89,0.03,0.88,0.04
0.68,0.72,0.36,0.83,0.07,0.84,0.13,0.67,0.17,0.76,0.15,0.75,0.17,0.58,0.13,0.94,0.04,0.94,0.04,0.87,0.04,0.89,0.04
0.68,0.72,0.36,0.83,0.07,0.84,0.14,0.68,0.16,0.76,0.15,0.76,0.16,0.57,0.14,0.94,0.05,0.95,0.03,0.86,0.05,0.91,0.03
0.68,0.72,0.36,0.83,0.07,0.83,0.14,0.66,0.17,0.74,0.16,0.74,0.17,0.56,0.14,0.94,0.04,0.95,0.03,0.87,0.04,0.91,0.03
