ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.08,0.0,1.0,0.84,0.08,0.0,1.0
0.57,0.5,0.19,0.11,0.4,0.09,0.83,0.03,0.62,0.06,0.72,0.36,0.62,0.1,0.83,0.85,0.12,0.69,0.22,0.61,0.12,0.57,0.22
0.59,0.57,0.2,0.25,0.35,0.2,0.77,0.09,0.72,0.15,0.74,0.22,0.72,0.04,0.77,0.86,0.1,0.62,0.31,0.71,0.1,0.38,0.31
0.58,0.55,0.19,0.2,0.38,0.16,0.82,0.06,0.76,0.11,0.79,0.2,0.76,0.03,0.82,0.83,0.14,0.61,0.32,0.61,0.14,0.35,0.32
0.57,0.55,0.17,0.2,0.39,0.16,0.82,0.06,0.8,0.11,0.81,0.16,0.8,0.03,0.82,0.81,0.15,0.62,0.3,0.59,0.15,0.39,0.3
0.58,0.58,0.17,0.31,0.34,0.25,0.75,0.12,0.83,0.18,0.79,0.07,0.83,0.01,0.75,0.86,0.1,0.57,0.39,0.74,0.1,0.19,0.39
0.58,0.57,0.19,0.27,0.35,0.22,0.77,0.09,0.77,0.15,0.77,0.17,0.77,0.02,0.77,0.85,0.11,0.61,0.33,0.69,0.11,0.33,0.33
0.6,0.64,0.19,0.49,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.87,0.09,0.0,1.0,0.78,0.09,0.0,1.0
0.6,0.64,0.19,0.5,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.88,0.08,0.0,1.0,0.79,0.08,0.0,1.0
0.6,0.65,0.2,0.52,0.24,0.0,1.0,0.24,0.75,0.12,0.88,0.02,0.75,0.0,1.0,0.89,0.07,0.0,1.0,0.81,0.07,0.0,1.0
0.6,0.61,0.21,0.38,0.3,0.32,0.68,0.14,0.76,0.23,0.72,0.13,0.76,0.02,0.68,0.85,0.11,0.62,0.33,0.71,0.11,0.29,0.33
0.61,0.65,0.21,0.5,0.24,0.43,0.56,0.23,0.7,0.33,0.63,0.11,0.7,0.01,0.56,0.9,0.07,0.63,0.32,0.82,0.07,0.28,0.32
0.62,0.66,0.22,0.54,0.22,0.47,0.52,0.27,0.65,0.37,0.58,0.14,0.65,0.02,0.52,0.92,0.06,0.65,0.3,0.85,0.06,0.33,0.3
0.62,0.65,0.23,0.51,0.24,0.43,0.56,0.25,0.64,0.34,0.6,0.19,0.64,0.03,0.56,0.93,0.05,0.66,0.29,0.86,0.05,0.36,0.29
0.62,0.65,0.23,0.5,0.24,0.43,0.56,0.24,0.64,0.33,0.6,0.19,0.64,0.03,0.56,0.92,0.06,0.66,0.29,0.84,0.06,0.36,0.29
0.62,0.64,0.24,0.47,0.25,0.4,0.58,0.21,0.65,0.3,0.61,0.22,0.65,0.04,0.58,0.9,0.07,0.67,0.27,0.8,0.07,0.41,0.27
0.62,0.63,0.25,0.44,0.27,0.37,0.62,0.19,0.63,0.28,0.62,0.26,0.63,0.04,0.62,0.9,0.07,0.64,0.3,0.79,0.07,0.35,0.3
