ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.57,0.72,0.16,0.98,0.01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.85,0.09,0.0,1.0,0.8,0.09,0.0,1.0
0.6,0.73,0.24,0.94,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.06,0.0,1.0,0.86,0.06,0.0,1.0
0.64,0.74,0.29,0.88,0.06,0.91,0.09,0.65,0.34,0.78,0.22,0.11,0.34,0.11,0.09,0.96,0.03,0.89,0.09,0.93,0.03,0.7,0.09
0.67,0.74,0.32,0.83,0.08,0.85,0.15,0.58,0.35,0.71,0.25,0.33,0.35,0.22,0.15,0.98,0.02,0.98,0.01,0.96,0.02,0.95,0.01
0.66,0.74,0.32,0.81,0.09,0.82,0.17,0.54,0.38,0.68,0.28,0.31,0.38,0.23,0.17,0.99,0.01,0.96,0.03,0.98,0.01,0.91,0.03
0.67,0.73,0.32,0.78,0.1,0.79,0.2,0.52,0.38,0.66,0.29,0.36,0.38,0.22,0.2,0.99,0.01,0.99,0.0,0.98,0.01,0.98,0.0
0.67,0.74,0.34,0.79,0.1,0.8,0.19,0.52,0.36,0.66,0.28,0.39,0.36,0.24,0.19,0.99,0.01,0.99,0.01,0.98,0.01,0.98,0.01
0.67,0.73,0.33,0.78,0.1,0.81,0.18,0.51,0.37,0.66,0.28,0.39,0.37,0.29,0.18,1.0,0.0,0.95,0.03,1.0,0.0,0.9,0.03
0.67,0.72,0.32,0.75,0.11,0.74,0.24,0.52,0.33,0.63,0.29,0.49,0.33,0.29,0.24,0.97,0.02,0.97,0.02,0.94,0.02,0.94,0.02
0.67,0.72,0.33,0.75,0.11,0.74,0.23,0.51,0.34,0.62,0.29,0.48,0.34,0.29,0.23,0.98,0.02,0.98,0.01,0.95,0.02,0.96,0.01
0.67,0.73,0.33,0.77,0.11,0.77,0.21,0.51,0.34,0.64,0.28,0.47,0.34,0.32,0.21,0.99,0.01,0.98,0.01,0.97,0.01,0.96,0.01
0.68,0.73,0.34,0.77,0.1,0.78,0.2,0.51,0.34,0.65,0.27,0.46,0.34,0.32,0.2,0.99,0.01,0.98,0.02,0.98,0.01,0.95,0.02
0.68,0.73,0.35,0.77,0.1,0.79,0.19,0.5,0.35,0.65,0.27,0.47,0.35,0.32,0.19,1.0,0.0,0.98,0.02,0.99,0.0,0.95,0.02
0.68,0.73,0.35,0.77,0.1,0.78,0.2,0.5,0.34,0.64,0.27,0.47,0.34,0.32,0.2,0.99,0.0,0.99,0.01,0.99,0.0,0.97,0.01
0.68,0.73,0.35,0.78,0.1,0.79,0.19,0.54,0.3,0.67,0.24,0.53,0.3,0.33,0.19,0.98,0.02,1.0,0.0,0.95,0.02,1.0,0.0
0.68,0.74,0.36,0.79,0.09,0.8,0.18,0.56,0.29,0.68,0.23,0.55,0.29,0.34,0.18,0.97,0.02,0.99,0.0,0.94,0.02,0.99,0.0
0.68,0.73,0.36,0.78,0.1,0.8,0.18,0.54,0.3,0.67,0.24,0.54,0.3,0.36,0.18,0.98,0.02,0.99,0.01,0.95,0.02,0.97,0.01
0.69,0.74,0.36,0.8,0.09,0.82,0.16,0.57,0.28,0.69,0.22,0.56,0.28,0.4,0.16,0.97,0.02,0.97,0.02,0.94,0.02,0.93,0.02
0.68,0.73,0.36,0.83,0.07,0.86,0.12,0.62,0.23,0.74,0.17,0.64,0.23,0.55,0.12,0.96,0.03,0.91,0.06,0.92,0.03,0.82,0.06
0.69,0.73,0.36,0.82,0.08,0.85,0.13,0.61,0.22,0.73,0.17,0.66,0.22,0.54,0.13,0.96,0.03,0.92,0.06,0.92,0.03,0.85,0.06
0.69,0.73,0.37,0.84,0.07,0.86,0.11,0.66,0.18,0.76,0.14,0.71,0.18,0.58,0.11,0.94,0.04,0.92,0.06,0.88,0.04,0.85,0.06
0.69,0.74,0.37,0.84,0.07,0.87,0.11,0.65,0.2,0.76,0.15,0.69,0.2,0.58,0.11,0.95,0.03,0.91,0.06,0.9,0.03,0.83,0.06
0.69,0.74,0.37,0.84,0.07,0.87,0.11,0.66,0.19,0.77,0.15,0.71,0.19,0.58,0.11,0.95,0.04,0.92,0.05,0.88,0.04,0.84,0.05
0.69,0.73,0.37,0.84,0.07,0.86,0.11,0.66,0.18,0.76,0.14,0.72,0.18,0.59,0.11,0.94,0.04,0.92,0.06,0.88,0.04,0.85,0.06
0.69,0.73,0.37,0.83,0.07,0.85,0.13,0.64,0.21,0.74,0.17,0.68,0.21,0.54,0.13,0.95,0.03,0.93,0.05,0.9,0.03,0.86,0.05
0.69,0.74,0.37,0.83,0.07,0.86,0.12,0.64,0.2,0.75,0.16,0.68,0.2,0.54,0.12,0.95,0.03,0.93,0.05,0.9,0.03,0.86,0.05
0.69,0.74,0.38,0.84,0.07,0.87,0.11,0.66,0.19,0.77,0.15,0.7,0.19,0.56,0.11,0.95,0.04,0.93,0.05,0.89,0.04,0.86,0.05
0.7,0.74,0.38,0.83,0.07,0.86,0.12,0.64,0.2,0.75,0.16,0.69,0.2,0.53,0.12,0.95,0.03,0.94,0.04,0.89,0.03,0.88,0.04
