ACC,F1Score,MCC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,FPR_ratio,FPR_diff,EQO_ratio,EQO_diff,TNR_ratio,TNR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0
0.55,0.71,0.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.78,0.11,0.0,1.0
0.57,0.72,0.14,0.99,0.01,0.0,1.0,0.96,0.04,0.48,0.52,0.23,0.04,0.0,1.0,0.84,0.1,0.0,1.0,0.79,0.1,0.0,1.0
0.6,0.73,0.22,0.96,0.02,0.99,0.01,0.85,0.15,0.92,0.08,0.1,0.15,0.59,0.01,0.89,0.07,0.55,0.4,0.84,0.07,0.2,0.4
0.61,0.73,0.23,0.94,0.03,0.97,0.03,0.79,0.2,0.88,0.12,0.19,0.2,0.46,0.03,0.9,0.06,0.65,0.28,0.86,0.06,0.39,0.28
0.62,0.73,0.25,0.93,0.03,0.97,0.03,0.77,0.21,0.87,0.12,0.23,0.21,0.46,0.03,0.91,0.06,0.71,0.24,0.87,0.06,0.44,0.24
0.62,0.73,0.26,0.93,0.03,0.97,0.03,0.77,0.21,0.87,0.12,0.23,0.21,0.44,0.03,0.91,0.05,0.74,0.22,0.87,0.05,0.45,0.22
0.62,0.73,0.25,0.93,0.03,0.97,0.03,0.77,0.22,0.87,0.12,0.21,0.22,0.44,0.03,0.91,0.05,0.71,0.24,0.87,0.05,0.42,0.24
0.62,0.73,0.25,0.93,0.04,0.97,0.03,0.76,0.23,0.86,0.13,0.18,0.23,0.42,0.03,0.92,0.05,0.68,0.26,0.88,0.05,0.41,0.26
0.62,0.74,0.26,0.92,0.04,0.97,0.03,0.75,0.24,0.86,0.14,0.18,0.24,0.42,0.03,0.92,0.05,0.68,0.27,0.89,0.05,0.39,0.27
0.62,0.74,0.27,0.92,0.04,0.97,0.03,0.74,0.25,0.85,0.14,0.17,0.25,0.42,0.03,0.93,0.05,0.68,0.27,0.89,0.05,0.39,0.27
0.63,0.74,0.27,0.92,0.04,0.96,0.04,0.74,0.25,0.85,0.14,0.17,0.25,0.36,0.04,0.93,0.04,0.72,0.23,0.89,0.04,0.42,0.23
0.63,0.74,0.27,0.91,0.04,0.96,0.04,0.73,0.26,0.84,0.15,0.15,0.26,0.35,0.04,0.93,0.04,0.69,0.26,0.9,0.04,0.4,0.26
0.63,0.74,0.27,0.91,0.04,0.96,0.04,0.73,0.26,0.84,0.15,0.15,0.26,0.33,0.04,0.93,0.04,0.69,0.25,0.9,0.04,0.41,0.25
0.63,0.74,0.27,0.91,0.04,0.96,0.04,0.73,0.26,0.84,0.15,0.15,0.26,0.33,0.04,0.93,0.04,0.69,0.25,0.9,0.04,0.41,0.25
0.62,0.74,0.26,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.15,0.26,0.31,0.05,0.93,0.04,0.7,0.24,0.9,0.04,0.43,0.24
0.63,0.74,0.27,0.91,0.04,0.95,0.04,0.72,0.26,0.83,0.15,0.16,0.26,0.36,0.04,0.93,0.04,0.69,0.25,0.9,0.04,0.42,0.25
0.62,0.73,0.26,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.16,0.26,0.33,0.05,0.93,0.04,0.7,0.24,0.9,0.04,0.45,0.24
0.63,0.74,0.27,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.33,0.05,0.93,0.04,0.73,0.22,0.9,0.04,0.47,0.22
0.63,0.74,0.27,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.33,0.05,0.93,0.04,0.73,0.22,0.9,0.04,0.47,0.22
0.63,0.74,0.27,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.33,0.05,0.93,0.04,0.73,0.22,0.9,0.04,0.47,0.22
0.63,0.74,0.27,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.33,0.05,0.93,0.04,0.73,0.22,0.9,0.04,0.47,0.22
0.63,0.74,0.26,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.38,0.05,0.93,0.04,0.69,0.25,0.9,0.04,0.43,0.25
0.63,0.74,0.26,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.38,0.05,0.93,0.04,0.69,0.25,0.9,0.04,0.43,0.25
0.63,0.74,0.26,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.38,0.05,0.93,0.04,0.69,0.25,0.9,0.04,0.43,0.25
0.63,0.74,0.26,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.38,0.05,0.93,0.04,0.69,0.25,0.9,0.04,0.43,0.25
0.63,0.74,0.26,0.91,0.04,0.95,0.05,0.72,0.26,0.83,0.15,0.18,0.26,0.38,0.05,0.93,0.04,0.69,0.25,0.9,0.04,0.43,0.25
0.63,0.74,0.27,0.91,0.04,0.95,0.05,0.72,0.27,0.83,0.16,0.18,0.27,0.38,0.05,0.94,0.04,0.69,0.25,0.9,0.04,0.43,0.25
0.63,0.74,0.27,0.91,0.04,0.95,0.05,0.72,0.27,0.83,0.16,0.18,0.27,0.38,0.05,0.94,0.04,0.69,0.25,0.9,0.04,0.43,0.25
