ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,0.96,0.02,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.81,0.12,0.0,1.0,0.76,0.12,0.0,1.0
0.59,0.87,0.07,0.0,1.0,0.04,0.29,0.71,0.29,0.0,1.0,0.89,0.07,0.0,1.0,0.84,0.07,0.0,1.0
0.65,0.72,0.14,0.72,0.28,0.03,0.59,0.4,0.59,0.02,0.28,0.95,0.03,0.89,0.07,0.92,0.03,0.82,0.07
0.67,0.74,0.13,0.74,0.25,0.19,0.5,0.44,0.5,0.04,0.25,0.97,0.02,0.8,0.18,0.95,0.02,0.42,0.18
0.68,0.72,0.13,0.71,0.28,0.34,0.44,0.43,0.44,0.09,0.28,0.99,0.01,0.82,0.15,0.97,0.01,0.53,0.15
0.68,0.77,0.1,0.78,0.19,0.59,0.28,0.54,0.28,0.42,0.19,0.97,0.02,0.96,0.03,0.94,0.02,0.92,0.03
0.67,0.86,0.06,0.92,0.06,0.74,0.17,0.67,0.17,0.78,0.06,0.96,0.03,0.83,0.12,0.91,0.03,0.72,0.12
0.68,0.93,0.03,0.99,0.01,0.86,0.09,0.81,0.09,0.98,0.01,0.93,0.05,0.79,0.14,0.85,0.05,0.67,0.14
0.68,0.96,0.01,0.96,0.03,0.94,0.04,0.91,0.04,0.89,0.03,0.91,0.07,0.79,0.15,0.8,0.07,0.67,0.15
0.67,0.99,0.0,0.89,0.08,0.99,0.0,0.99,0.0,0.76,0.08,0.91,0.07,0.76,0.17,0.79,0.07,0.63,0.17
0.67,0.97,0.01,0.86,0.11,0.98,0.01,0.97,0.01,0.69,0.11,0.91,0.07,0.74,0.19,0.79,0.07,0.6,0.19
0.67,0.95,0.02,0.85,0.11,0.93,0.04,0.9,0.04,0.67,0.11,0.89,0.08,0.74,0.18,0.75,0.08,0.62,0.18
0.67,0.96,0.02,0.86,0.1,0.94,0.04,0.91,0.04,0.69,0.1,0.89,0.08,0.75,0.18,0.75,0.08,0.62,0.18
0.67,0.97,0.01,0.88,0.09,0.96,0.03,0.93,0.03,0.73,0.09,0.89,0.08,0.76,0.17,0.75,0.08,0.64,0.17
