ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.47,0.32,0.05,0.56,0.03,0.93,0.07,0.04,0.07,0.96,0.03,0.67,0.32,0.76,0.12,0.15,0.32,0.8,0.12,0.3,0.05
0.61,0.58,0.17,0.58,0.31,0.48,0.43,0.3,0.43,0.45,0.31,0.94,0.04,0.83,0.1,0.88,0.04,0.81,0.1,0.44,0.37
0.65,0.82,0.09,0.83,0.16,0.18,0.4,0.56,0.4,0.12,0.16,0.98,0.01,0.99,0.01,0.97,0.01,0.98,0.01,0.7,0.28
0.65,0.85,0.08,0.89,0.11,0.08,0.4,0.58,0.4,0.09,0.11,0.99,0.01,0.86,0.11,0.98,0.01,0.67,0.11,0.73,0.26
0.67,0.84,0.08,0.86,0.13,0.23,0.37,0.58,0.37,0.07,0.13,0.98,0.01,0.88,0.1,0.97,0.01,0.56,0.1,0.72,0.25
0.67,0.81,0.09,0.83,0.16,0.34,0.36,0.55,0.36,0.18,0.16,0.98,0.01,0.95,0.04,0.97,0.01,0.86,0.04,0.69,0.26
0.68,0.79,0.1,0.81,0.18,0.37,0.37,0.52,0.37,0.23,0.18,1.0,0.0,0.99,0.01,1.0,0.0,0.98,0.01,0.67,0.28
0.68,0.8,0.09,0.82,0.16,0.5,0.31,0.56,0.31,0.36,0.16,0.98,0.01,0.96,0.03,0.96,0.01,0.91,0.03,0.69,0.23
0.68,0.79,0.1,0.8,0.18,0.54,0.3,0.54,0.3,0.36,0.18,0.98,0.01,0.98,0.01,0.95,0.01,0.96,0.01,0.67,0.24
0.68,0.79,0.09,0.82,0.16,0.56,0.29,0.55,0.29,0.43,0.16,0.98,0.01,0.94,0.04,0.96,0.01,0.88,0.04,0.69,0.22
0.69,0.81,0.08,0.83,0.15,0.61,0.25,0.58,0.25,0.48,0.15,0.97,0.02,0.93,0.05,0.94,0.02,0.87,0.05,0.7,0.2
0.69,0.83,0.08,0.85,0.13,0.63,0.23,0.62,0.23,0.5,0.13,0.96,0.03,0.93,0.05,0.92,0.03,0.86,0.05,0.73,0.18
0.69,0.82,0.08,0.83,0.14,0.65,0.23,0.62,0.23,0.47,0.14,0.95,0.03,0.95,0.03,0.9,0.03,0.91,0.03,0.72,0.18
0.69,0.84,0.07,0.88,0.11,0.66,0.21,0.63,0.21,0.57,0.11,0.96,0.03,0.91,0.07,0.91,0.03,0.81,0.07,0.76,0.16
0.69,0.86,0.06,0.9,0.08,0.71,0.18,0.68,0.18,0.66,0.08,0.95,0.04,0.88,0.08,0.89,0.04,0.77,0.08,0.79,0.13
0.69,0.86,0.06,0.91,0.08,0.73,0.17,0.68,0.17,0.68,0.08,0.95,0.04,0.88,0.09,0.89,0.04,0.77,0.09,0.8,0.12
0.69,0.87,0.06,0.91,0.08,0.75,0.15,0.71,0.15,0.68,0.08,0.94,0.04,0.89,0.08,0.86,0.04,0.79,0.08,0.81,0.11
0.69,0.87,0.06,0.9,0.08,0.77,0.15,0.71,0.15,0.68,0.08,0.94,0.05,0.89,0.07,0.86,0.05,0.8,0.07,0.8,0.11
0.7,0.87,0.05,0.9,0.08,0.79,0.13,0.72,0.13,0.7,0.08,0.93,0.05,0.9,0.07,0.85,0.05,0.8,0.07,0.81,0.11
0.7,0.86,0.06,0.9,0.08,0.79,0.14,0.71,0.14,0.69,0.08,0.94,0.05,0.9,0.07,0.86,0.05,0.8,0.07,0.8,0.11
0.69,0.88,0.05,0.92,0.06,0.81,0.12,0.75,0.12,0.75,0.06,0.93,0.05,0.88,0.08,0.84,0.05,0.78,0.08,0.83,0.09
0.7,0.87,0.05,0.92,0.07,0.8,0.13,0.73,0.13,0.74,0.07,0.93,0.05,0.88,0.08,0.85,0.05,0.78,0.08,0.82,0.1
0.69,0.87,0.05,0.91,0.07,0.79,0.13,0.74,0.13,0.71,0.07,0.93,0.05,0.89,0.08,0.84,0.05,0.79,0.08,0.82,0.1
